,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,9.7,24.8,31.0,1.86,1.52
2010-02,0.0,9.3,27.5,32.4,1.92,1.12
2010-03,0.0,31.6,37.2,52.6,2.03,-0.32
2010-04,0.0,47.2,49.4,68.8,2.63,-0.76
2010-05,0.0,52.4,56.4,74.4,4.8,0.08
2010-06,0.0,63.1,70.0,82.4,4.12,-0.21
2010-07,0.0,68.8,71.9,86.0,4.46,1.73
2010-08,0.0,69.0,70.8,85.3,1.69,-1.0
2010-09,0.0,54.6,62.9,78.5,4.13,0.34
2010-10,0.0,48.0,47.1,66.8,1.67,-1.47
2010-11,1.0,27.2,37.5,53.6,1.87,-0.94
2010-12,0.0,9.6,28.0,30.8,0.86,-1.67
2011-01,0.0,6.4,21.9,30.9,0.28,-2.33
2011-02,0.0,10.0,26.1,39.0,1.57,-1.33
2011-03,0.0,19.2,40.2,48.7,0.74,-3.04
2011-04,0.0,39.1,47.7,62.8,3.49,-0.75
2011-05,0.0,50.9,55.1,71.7,4.47,-1.11
2011-06,0.0,62.4,70.0,81.2,1.17,-4.37
2011-07,0.0,71.1,75.4,88.4,0.79,-5.01
2011-08,0.0,68.6,73.8,83.0,2.36,-2.25
2011-09,0.0,58.3,56.2,73.3,1.72,-1.7
2011-10,0.0,48.4,47.8,63.0,2.79,-0.4
2011-11,0.0,30.5,38.5,56.5,4.38,2.07
2011-12,1.0,23.0,30.0,44.0,2.48,1.25
2012-01,0.0,20.0,29.0,40.4,1.86,0.91
2012-02,0.0,21.0,32.9,43.4,1.86,0.55
2012-03,0.0,40.6,47.8,63.6,4.56,1.35
2012-04,0.0,45.8,52.7,62.0,3.45,-0.28
2012-05,0.0,55.0,60.1,78.9,2.15,-3.01
2012-06,4.0,65.5,66.4,83.1,2.45,-2.29
2012-07,72.0,74.1,72.3,89.2,1.16,-3.64
2012-08,19.0,67.4,67.5,83.7,2.42,-1.52
2012-09,5.0,58.2,61.0,74.8,2.94,-0.89
2012-10,3.0,41.2,46.6,62.2,1.2,-1.76
2012-11,0.0,27.5,37.1,49.9,0.63,-2.66
2012-12,0.0,13.3,29.7,44.7,1.02,-2.08
2013-01,0.0,11.4,28.0,38.7,1.77,-1.0
2013-02,0.0,16.8,29.1,36.8,3.24,0.77
2013-03,0.0,17.6,35.2,42.5,1.59,-1.1
2013-04,0.0,31.3,42.3,62.6,3.81,1.29
2013-05,0.0,53.4,54.9,74.8,4.73,0.2
2013-06,0.0,63.3,66.5,80.0,3.87,0.02
2013-07,1.0,68.3,68.0,81.9,5.28,3.19
2013-08,21.0,68.6,68.9,80.7,3.34,2.08
2013-09,23.0,62.0,62.5,76.3,2.58,-0.88
2013-10,15.0,41.6,48.3,64.8,3.1,0.36
2013-11,0.0,26.2,35.4,47.4,1.72,-0.23
2013-12,0.0,5.0,23.7,39.4,1.67,0.26
2014-01,0.0,8.5,22.0,29.5,0.33,-1.19
2014-02,0.0,5.6,24.3,32.6,0.49,-1.36
2014-03,0.0,22.7,32.3,44.5,1.74,-0.65
2014-04,0.0,38.2,45.5,63.7,1.69,-1.51
2014-05,0.0,53.7,55.8,73.2,3.14,-1.71
2014-06,1.0,62.5,67.1,81.2,5.71,1.57
2014-07,1.0,66.8,66.7,79.9,4.57,2.83
2014-08,2.0,67.0,68.4,81.5,1.55,-0.01
2014-09,3.0,57.8,61.8,75.7,2.57,-0.86
2014-10,2.0,46.5,51.2,63.0,3.44,0.11
2014-11,0.0,20.2,32.1,45.2,2.2,0.26
2014-12,0.0,18.2,33.9,41.6,1.44,-0.46
2015-01,0.0,16.0,25.8,32.5,1.21,-0.32
2015-02,0.0,8.4,25.3,27.4,1.18,-0.48
2015-03,1.0,33.0,39.1,45.8,2.41,-0.16
2015-04,0.0,44.3,49.8,63.0,4.85,1.71
2015-05,0.0,52.4,56.4,77.0,14.44,9.17
2015-06,3.0,65.1,67.6,79.2,4.81,0.9
2015-07,3.0,69.9,71.3,81.8,5.43,3.44
2015-08,18.0,68.0,67.3,81.2,2.45,1.24
2015-09,19.0,62.0,64.4,80.1,2.07,-1.54
2015-10,5.0,47.8,50.6,65.0,3.26,0.14
2015-11,0.0,32.5,40.1,57.7,6.05,4.24
2015-12,0.0,21.1,32.7,51.7,5.56,5.86
2016-01,0.0,14.6,26.9,35.8,0.5,-0.47
2016-02,0.0,25.6,33.4,42.6,1.02,-0.88
2016-03,0.0,36.3,41.4,56.4,2.47,-0.46
2016-04,0.0,41.8,48.8,62.3,6.05,3.04
2016-05,0.0,56.6,54.9,70.7,3.86,-0.48
2016-06,0.0,66.0,67.7,83.0,3.26,-0.73
2016-07,4.0,69.3,71.7,85.4,3.72,0.63
2016-08,7.0,68.0,69.3,86.1,2.9,0.27
2016-09,8.0,58.6,63.1,80.9,3.53,-0.2
2016-10,1.0,46.1,53.9,68.6,1.87,-1.77
2016-11,1.0,39.3,42.7,56.8,1.25,-2.12
2016-12,0.0,10.2,26.7,37.9,0.76,-2.03
2017-01,0.0,11.2,28.6,41.6,2.59,0.23
2017-02,0.0,20.5,36.7,50.3,2.05,-1.12
2017-03,0.0,27.4,43.0,49.6,2.6,-1.08
2017-04,0.0,42.7,49.8,68.4,6.62,3.38
2017-05,0.0,54.8,53.8,70.7,4.49,-0.01
2017-06,1.0,64.8,66.0,81.0,2.57,-1.15
2017-07,6.0,72.2,70.8,83.0,3.85,0.71
2017-08,13.0,65.2,67.1,80.5,6.42,4.9
2017-09,10.0,58.3,61.1,77.3,2.57,-0.46
