year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,OR,440946.0,567767.0,623055.0,215164.0,423582.0,545851.0,635317.0,275725.0,3727407.0,1846932.0,1880475.0,3214583.0,64995.0,59700.0,129932.0,9685.0,1464196.0,
2010,OR,442118.0,566352.0,629520.0,224266.0,421521.0,551078.0,643571.0,283499.0,3761925.0,1862256.0,1899669.0,3220250.0,66427.0,60612.0,135518.0,12100.0,1499267.0,0400000US41
2011,OR,442218.0,571327.0,636506.0,232030.0,422239.0,555689.0,651434.0,290548.0,3801991.0,1882081.0,1919910.0,3245856.0,68155.0,57114.0,139258.0,13447.0,1509554.0,0400000US41
2012,OR,442579.0,574622.0,640766.0,241219.0,421664.0,559354.0,657116.0,299308.0,3836628.0,1899186.0,1937442.0,3272707.0,69377.0,52637.0,143652.0,14132.0,1512718.0,0400000US41
2013,OR,441274.0,575965.0,645554.0,251221.0,421014.0,563069.0,661772.0,308852.0,3868721.0,1914014.0,1954707.0,3297149.0,70328.0,47411.0,147986.0,14993.0,1516456.0,0400000US41
2014,OR,440072.0,577445.0,649210.0,262326.0,420017.0,566025.0,665301.0,319947.0,3900343.0,1929053.0,1971290.0,3317668.0,70700.0,47155.0,152259.0,14513.0,1522988.0,0400000US41
2015,OR,440324.0,585370.0,648207.0,274552.0,420027.0,572027.0,666401.0,332325.0,3939233.0,1948453.0,1990780.0,3352941.0,72837.0,46258.0,156695.0,15042.0,1533430.0,0400000US41
2016,OR,441109.0,594898.0,647239.0,288266.0,420286.0,579871.0,664290.0,346308.0,3982267.0,1971512.0,2010755.0,3387825.0,74012.0,45233.0,160155.0,14936.0,1545745.0,0400000US41
2017,OR,442980.0,604190.0,648086.0,298566.0,421276.0,588754.0,664752.0,356523.0,4025127.0,1993822.0,2031305.0,3416776.0,76347.0,45332.0,166351.0,15157.0,1571631.0,0400000US41
2018,OR,445061.0,616658.0,649533.0,311769.0,423117.0,599017.0,666011.0,370777.0,4081943.0,2023021.0,2058922.0,3445933.0,77789.0,46961.0,174510.0,16006.0,1591835.0,0400000US41
2019,OR,445026.0,627000.0,650644.0,324668.0,422917.0,609139.0,665522.0,384887.0,4129803.0,2047338.0,2082465.0,3480920.0,78679.0,48060.0,180580.0,16625.0,1611982.0,0400000US41
2020,OR,444697.0,634033.0,655469.0,336428.0,422379.0,614882.0,669954.0,398504.0,4176346.0,2070627.0,2105719.0,3449081.0,79117.0,45683.0,187801.0,16445.0,1642579.0,0400000US41
