,fips,state,year,month,count
2000-01,44,RI,2000,1,0
2000-02,44,RI,2000,2,0
2000-03,44,RI,2000,3,0
2000-04,44,RI,2000,4,0
2000-05,44,RI,2000,5,0
2000-06,44,RI,2000,6,0
2000-07,44,RI,2000,7,0
2000-08,44,RI,2000,8,0
2000-09,44,RI,2000,9,0
2000-10,44,RI,2000,10,0
2000-11,44,RI,2000,11,0
2000-12,44,RI,2000,12,0
2001-01,44,RI,2001,1,0
2001-02,44,RI,2001,2,0
2001-03,44,RI,2001,3,0
2001-04,44,RI,2001,4,0
2001-05,44,RI,2001,5,0
2001-06,44,RI,2001,6,0
2001-07,44,RI,2001,7,0
2001-08,44,RI,2001,8,0
2001-09,44,RI,2001,9,0
2001-10,44,RI,2001,10,0
2001-11,44,RI,2001,11,0
2001-12,44,RI,2001,12,0
2002-01,44,RI,2002,1,0
2002-02,44,RI,2002,2,0
2002-03,44,RI,2002,3,0
2002-04,44,RI,2002,4,0
2002-05,44,RI,2002,5,0
2002-06,44,RI,2002,6,0
2002-07,44,RI,2002,7,0
2002-08,44,RI,2002,8,0
2002-09,44,RI,2002,9,1
2002-10,44,RI,2002,10,0
2002-11,44,RI,2002,11,0
2002-12,44,RI,2002,12,0
2003-01,44,RI,2003,1,0
2003-02,44,RI,2003,2,0
2003-03,44,RI,2003,3,0
2003-04,44,RI,2003,4,0
2003-05,44,RI,2003,5,0
2003-06,44,RI,2003,6,0
2003-07,44,RI,2003,7,0
2003-08,44,RI,2003,8,1
2003-09,44,RI,2003,9,1
2003-10,44,RI,2003,10,3
2003-11,44,RI,2003,11,0
2003-12,44,RI,2003,12,0
2004-01,44,RI,2004,1,0
2004-02,44,RI,2004,2,0
2004-03,44,RI,2004,3,0
2004-04,44,RI,2004,4,0
2004-05,44,RI,2004,5,0
2004-06,44,RI,2004,6,0
2004-07,44,RI,2004,7,0
2004-08,44,RI,2004,8,0
2004-09,44,RI,2004,9,0
2004-10,44,RI,2004,10,0
2004-11,44,RI,2004,11,0
2004-12,44,RI,2004,12,0
2005-01,44,RI,2005,1,0
2005-02,44,RI,2005,2,0
2005-03,44,RI,2005,3,0
2005-04,44,RI,2005,4,0
2005-05,44,RI,2005,5,0
2005-06,44,RI,2005,6,0
