,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,26.8,32.9,54.0,5.8,2.37,,,,,,,,,,,,,,,,,
2000-02,0.0,33.0,35.7,63.4,1.62,-2.4,,,,,,,,,,,,,,,,,
2000-03,0.0,42.3,44.5,71.2,4.08,-0.75,,,,,,,,,,,,,,,,,
2000-04,0.0,46.1,47.8,73.0,2.79,-0.38,,,,,,,,,,,,,,,,,
2000-05,0.0,57.2,60.0,86.7,1.21,-3.2,,,,,,,,,,,,,,,,,
2000-06,0.0,66.2,66.5,90.3,3.79,-1.7,,,,,,,,,,,,,,,,,
2000-07,0.0,68.5,68.8,90.8,4.83,-1.18,,,,,,,,,,,,,,,,,
2000-08,0.0,68.7,68.4,89.1,4.1,-1.67,,,,,,,,,,,,,,,,,
2000-09,0.0,62.2,62.6,81.8,7.63,2.96,,,,,,,,,,,,,,,,,
2000-10,0.0,52.3,48.2,77.0,0.02,-2.42,,,,,,,,,,,,,,,,,
2000-11,0.0,42.2,39.6,64.2,3.5,0.84,,,,,,,,,,,,,,,,,
2000-12,0.0,28.1,28.1,49.0,1.87,-1.04,,,,,,,,,,,,,,,,,
2001-01,0.0,28.0,31.4,55.2,2.02,-1.57,,,,,,,,,,,,,,,,,
2001-02,0.0,30.9,39.5,63.1,2.4,-1.72,,,,,,,,,,,,,,,,,
2001-03,0.0,35.3,40.7,63.9,6.38,1.94,,,,,,,,,,,,,,,,,
2001-04,0.0,47.5,50.4,76.6,0.96,-2.8,,,,,,,,,,,,,,,,,
2001-05,0.0,58.9,57.3,84.2,2.61,-1.66,,,,,,,,,,,,,,,,,
2001-06,0.0,68.9,66.7,87.3,5.4,0.39,,,,,,,,,,,,,,,,,
2001-07,0.0,68.2,68.5,88.2,5.24,-0.14,,,,,,,,,,,,,,,,,
2001-08,0.0,72.7,69.2,90.6,2.66,-2.87,,,,,,,,,,,,,,,,,
2001-09,0.0,63.6,60.4,82.1,3.72,-0.56,,,,,,,,,,,,,,,,,
2001-10,0.0,53.6,46.5,75.3,0.88,-2.16,,,,,,,,,,,,,,,,,
2001-11,0.0,46.9,44.8,73.1,0.98,-3.07,,,,,,,,,,,,,,,,,
2001-12,0.0,38.6,39.8,64.2,1.47,-4.02,,,,,,,,,,,,,,,,,
2002-01,0.0,34.7,34.9,59.0,3.49,-1.72,,,,,,,,,,,,,,,,,
2002-02,0.0,34.9,34.7,61.0,2.06,-2.66,,,,,,,,,,,,,,,,,
2002-03,0.0,39.3,43.0,69.0,4.28,-0.17,,,,,,,,,,,,,,,,,
2002-04,0.0,50.0,55.1,79.6,1.84,-2.47,,,,,,,,,,,,,,,,,
2002-05,0.0,55.3,56.0,81.2,3.49,-0.23,,,,,,,,,,,,,,,,,
2002-06,0.0,64.6,66.2,89.4,3.01,-1.75,,,,,,,,,,,,,,,,,
2002-07,1.0,72.5,70.7,93.2,3.25,-3.0,,,,,,,,,,,,,,,,,
2002-08,0.0,72.6,68.4,90.8,5.94,-0.19,,,,,,,,,,,,,,,,,
2002-09,0.0,65.6,67.1,84.5,5.4,0.26,,,,,,,,,,,,,,,,,
2002-10,0.0,51.1,58.0,74.8,4.73,1.07,,,,,,,,,,,,,,,,,
2002-11,0.0,41.7,40.4,63.2,4.42,1.99,,,,,,,,,,,,,,,,,
2002-12,0.0,31.8,33.4,55.0,4.63,1.82,,,,,,,,,,,,,,,,,
