,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,0.13128793,0.38461536,0.35914636
2010-02,0.122920826,0.38461536,0.35914636
2010-03,0.122920826,0.38461536,0.35914636
2010-04,0.18468358,0.38461536,0.35914636
2010-05,0.25127137,0.38461536,0.35914636
2010-06,0.2818409,0.38461536,0.35914636
2010-07,0.38116056,0.38461536,0.51607144
2010-08,0.50440073,0.38461536,0.51607144
2010-09,0.2562677,0.38461536,0.51607144
2010-10,0.77245873,0.38461536,0.51607144
2010-11,0.122920826,0.38461536,0.36666667
2010-12,0.122920826,0.38461536,0.35914636
2011-01,0.122920826,0.356,0.35914636
2011-02,0.122920826,0.356,0.35914636
2011-03,0.122920826,0.356,0.35914636
2011-04,0.122920826,0.356,0.35914636
2011-05,0.2673442,0.356,0.35914636
2011-06,0.057283632,0.356,0.35914636
2011-07,0.2818409,0.356,0.51607144
2011-08,0.2818409,0.356,0.51607144
2011-09,0.29598576,0.356,0.51607144
2011-10,0.33986744,0.356,0.51607144
2011-11,0.122920826,0.356,0.36666667
2011-12,0.122920826,0.356,0.35914636
2012-01,0.122920826,0.82307696,0.35914636
2012-02,0.122920826,0.82307696,0.35914636
2012-03,0.122920826,0.82307696,0.35914636
2012-04,0.122920826,0.82307696,0.35914636
2012-05,0.14716235,0.82307696,0.35914636
2012-06,0.32931373,0.82307696,0.35914636
2012-07,1.3710858,0.82307696,0.51607144
2012-08,6.474922,0.82307696,2.375
2012-09,2.2918007,0.82307696,1.4000001
2012-10,0.798441,0.82307696,0.575
2012-11,0.122920826,0.82307696,0.36666667
2012-12,0.122920826,0.82307696,0.35914636
2013-01,0.122920826,0.43076923,0.35914636
2013-02,0.13128793,0.43076923,0.35914636
2013-03,0.122920826,0.43076923,0.35914636
2013-04,0.13128793,0.43076923,0.35914636
2013-05,0.13630992,0.43076923,0.35914636
2013-06,0.20479998,0.43076923,0.35914636
2013-07,0.20479998,0.43076923,0.51607144
2013-08,0.44641376,0.43076923,0.51607144
2013-09,1.0843323,0.43076923,0.51607144
2013-10,0.798441,0.43076923,0.575
2013-11,0.122920826,0.43076923,0.36666667
2013-12,0.13128793,0.43076923,0.35914636
2014-01,0.122920826,0.43076923,0.35914636
2014-02,0.122920826,0.43076923,0.35914636
2014-03,0.122920826,0.43076923,0.35914636
2014-04,0.13128793,0.43076923,0.35914636
2014-05,0.11547661,0.43076923,0.35914636
2014-06,0.15694803,0.43076923,0.35914636
2014-07,0.3794499,0.43076923,0.51607144
2014-08,0.41916794,0.43076923,0.51607144
2014-09,0.13803598,0.43076923,0.39999998
2014-10,0.33986744,0.43076923,0.39999998
2014-11,0.13128793,0.43076923,0.36666667
2014-12,0.4621836,0.43076923,0.35914636
2015-01,0.122920826,0.356,0.35914636
2015-02,0.13128793,0.356,0.35914636
2015-03,0.122920826,0.356,0.35914636
2015-04,0.16359514,0.356,0.35914636
2015-05,0.4737793,0.356,0.35914636
2015-06,0.057283632,0.356,0.35914636
2015-07,0.2818409,0.356,0.51607144
2015-08,0.3794499,0.356,0.51607144
2015-09,0.29598576,0.356,0.51607144
2015-10,0.20927234,0.356,0.51607144
2015-11,0.20927234,0.356,0.36666667
2015-12,0.13128793,0.356,0.35914636
2016-01,0.122920826,0.5,0.35914636
2016-02,0.13128793,0.5,0.35914636
2016-03,0.122920826,0.5,0.35914636
2016-04,0.122920826,0.5,0.35914636
2016-05,0.6651554,0.5,0.35914636
2016-06,0.15694803,0.5,0.35914636
2016-07,0.2818409,0.5,0.51607144
2016-08,1.5929925,0.5,0.875
2016-09,0.32323155,0.5,0.6
2016-10,1.60762,0.5,0.725
2016-11,0.122920826,0.5,0.425
2016-12,0.122920826,0.5,0.35914636
2017-01,0.13128793,0.7307693,0.35914636
2017-02,0.122920826,0.7307693,0.35914636
2017-03,0.122920826,0.7307693,0.35914636
2017-04,0.16359514,0.7307693,0.35914636
2017-05,0.10939443,0.7307693,0.35914636
2017-06,0.32931373,0.7307693,0.35914636
2017-07,1.5320407,0.7307693,0.51607144
2017-08,1.0043902,0.7307693,0.8
2017-09,3.2089422,0.7307693,1.4000001
2017-10,3.3273382,0.7307693,1.3625
2017-11,0.122920826,0.7307693,0.425
2017-12,0.122920826,0.7307693,0.35914636
2018-01,0.122920826,0.63846153,0.35914636
2018-02,0.122920826,0.63846153,0.35914636
2018-03,0.122920826,0.63846153,0.35914636
2018-04,0.13128793,0.63846153,0.35914636
2018-05,0.14716235,0.63846153,0.35914636
2018-06,0.15694803,0.63846153,0.35914636
2018-07,1.5320407,0.63846153,0.51607144
2018-08,1.5929925,0.63846153,0.8
2018-09,1.5320407,0.63846153,1.3625
2018-10,2.8113701,0.63846153,1.3625
2018-11,0.6694676,0.63846153,0.575
2018-12,0.20927234,0.63846153,0.35914636
2019-01,0.122920826,0.39411765,0.35914636
2019-02,0.122920826,0.39411765,0.35914636
2019-03,0.122920826,0.39411765,0.35914636
2019-04,0.122920826,0.39411765,0.35914636
2019-05,0.48985213,0.39411765,0.35914636
2019-06,0.32323155,0.39411765,0.35914636
2019-07,0.3054054,0.39411765,0.51607144
2019-08,0.8653525,0.39411765,0.51607144
2019-09,0.37945595,0.39411765,0.51607144
2019-10,0.7407607,0.39411765,0.51607144
2019-11,0.122920826,0.39411765,0.36666667
2019-12,0.13128793,0.39411765,0.35914636
2020-01,0.122920826,0.45384616,0.35914636
2020-02,0.13128793,0.45384616,0.35914636
2020-03,0.122920826,0.45384616,0.35914636
2020-04,0.13128793,0.45384616,0.35914636
2020-05,0.3345304,0.45384616,0.35914636
2020-06,0.32931373,0.45384616,0.35914636
2020-07,0.38116056,0.45384616,0.51607144
2020-08,1.1757796,0.45384616,0.51607144
2020-09,1.2504921,0.45384616,0.6
2020-10,0.17923816,0.45384616,0.425
2020-11,0.13128793,0.45384616,0.36666667
2020-12,0.122920826,0.45384616,0.35914636
2021-01,0.13128793,0.39411765,0.35914636
2021-02,0.13128793,0.39411765,0.35914636
2021-03,0.122920826,0.39411765,0.35914636
2021-04,0.122920826,0.39411765,0.35914636
2021-05,1.9112868,0.39411765,0.35914636
2021-06,0.44641376,0.39411765,0.35914636
2021-07,0.9323164,0.39411765,0.51607144
2021-08,1.5320407,0.39411765,0.8
2021-09,2.6153002,0.39411765,0.725
2021-10,1.9112868,0.39411765,2.375
2021-11,0.122920826,0.39411765,0.36666667
2021-12,0.122920826,0.39411765,0.35914636
2022-01,0.122920826,0.39411765,0.35914636
2022-02,0.122920826,0.39411765,0.35914636
2022-03,0.122920826,0.39411765,0.35914636
2022-04,0.13128793,0.39411765,0.35914636
2022-05,1.0359595,0.39411765,0.35914636
2022-06,0.15694803,0.39411765,0.35914636
2022-07,1.5320407,0.39411765,0.51607144
2022-08,1.5320407,0.39411765,0.51607144
2022-09,2.0692928,0.39411765,0.8
2022-10,0.33986744,0.39411765,0.575
2022-11,0.122920826,0.39411765,0.425
2022-12,0.122920826,0.39411765,0.35914636
2023-01,0.122920826,0.39411765,0.35914636
2023-02,0.122920826,0.39411765,0.35914636
2023-03,0.122920826,0.39411765,0.35914636
2023-04,0.122920826,0.39411765,0.35914636
