,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-02,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-03,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-04,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-05,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-06,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-07,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-08,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-09,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-10,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-11,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2010-12,102773.0,117075.0,130696.0,49702.0,96570.0,110109.0,128194.0,64343.0
2011-01,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-02,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-03,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-04,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-05,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-06,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-07,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-08,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-09,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-10,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-11,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2011-12,103471.0,118574.0,131946.0,50704.0,96907.0,111303.0,129682.0,65110.0
2012-01,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-02,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-03,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-04,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-05,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-06,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-07,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-08,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-09,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-10,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-11,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2012-12,104233.0,120531.0,132993.0,51577.0,97699.0,112302.0,130661.0,65875.0
2013-01,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-02,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-03,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-04,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-05,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-06,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-07,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-08,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-09,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-10,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-11,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2013-12,105274.0,123160.0,133067.0,52881.0,98907.0,114177.0,131137.0,66595.0
2014-01,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-02,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-03,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-04,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-05,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-06,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-07,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-08,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-09,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-10,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-11,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2014-12,106080.0,125115.0,133754.0,54545.0,99930.0,115651.0,131834.0,67799.0
2015-01,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-02,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-03,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-04,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-05,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-06,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
2015-07,106567.0,126162.0,134251.0,56497.0,101099.0,117372.0,132126.0,69116.0
