,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-02,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-03,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-04,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-05,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-06,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-07,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-08,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-09,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-10,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-11,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2010-12,-1.6309030682670171,-1.6301218550430454,-1.6313277926122487,-1.6141880939075992,-1.560454152564136,-1.7206194284760135,-1.524390383748375,-0.7590356492090929,-1.5576319194779136
2011-01,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-02,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-03,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-04,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-05,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-06,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-07,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-08,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-09,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
2011-10,-1.386289416755917,-1.3918909473794543,-1.3794995626378448,-1.3871959766820021,-1.417019586079007,-1.528571613960728,-1.3540581368984548,-1.1888660633006634,-1.312839043535406
