year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,TX,3395594.0,3930274.0,3532343.0,1022239.0,3237520.0,3718628.0,3602831.0,1379613.0,23819042.0,11880450.0,11938592.0,17111322.0,2738904.0,121241.0,810844.0,19237.0,8269046.0,
2010,TX,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0,0400000US48
2011,TX,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0,0400000US48
2012,TX,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0,0400000US48
2013,TX,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0,0400000US48
2014,TX,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0,0400000US48
2015,TX,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0,0400000US48
2016,TX,3639131.0,4310056.0,4059667.0,1370311.0,3493345.0,4168068.0,4189601.0,1726256.0,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0,0400000US48
2017,TX,3681344.0,4390221.0,4117969.0,1427443.0,3531773.0,4231224.0,4251175.0,1788463.0,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0,0400000US48
2018,TX,3719941.0,4475202.0,4169258.0,1485374.0,3572745.0,4312215.0,4298020.0,1852440.0,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0,0400000US48
2019,TX,3741895.0,4533372.0,4215623.0,1543119.0,3596550.0,4371784.0,4339105.0,1919408.0,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0,0400000US48
2020,TX,3764839.0,4591172.0,4262142.0,1603567.0,3616643.0,4425303.0,4381974.0,1989802.0,28635442.0,14221720.0,14413722.0,19805623.0,3464424.0,137921.0,1415664.0,25328.0,9906070.0,0400000US48
