,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-02,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-03,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-04,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-05,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-06,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-07,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-08,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-09,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-10,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-11,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2010-12,3413093.0,3926492.0,3651747.0,1067438.0,3259142.0,3831804.0,3762971.0,1399204.0
2011-01,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-02,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-03,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-04,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-05,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-06,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-07,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-08,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-09,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-10,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-11,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2011-12,3465129.0,3984910.0,3734932.0,1106148.0,3309333.0,3884855.0,3851438.0,1437442.0
2012-01,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-02,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-03,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-04,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-05,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-06,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-07,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-08,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-09,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-10,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-11,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2012-12,3501914.0,4045613.0,3811312.0,1150973.0,3347415.0,3937963.0,3929290.0,1484417.0
2013-01,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-02,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-03,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-04,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-05,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-06,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-07,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-08,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-09,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-10,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-11,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2013-12,3540129.0,4110864.0,3878375.0,1199788.0,3384779.0,3985142.0,4003738.0,1536558.0
2014-01,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-02,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-03,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-04,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-05,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-06,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-07,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-08,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-09,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-10,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-11,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2014-12,3570160.0,4178413.0,3946351.0,1254761.0,3419928.0,4048072.0,4079352.0,1594996.0
2015-01,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-02,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-03,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-04,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-05,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-06,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-07,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-08,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-09,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-10,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-11,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2015-12,3603114.0,4242778.0,4014267.0,1311157.0,3455896.0,4108482.0,4145845.0,1657075.0
2016-01,3639131.0,4310056.0,4059667.0,1370311.0,3493345.0,4168068.0,4189601.0,1726256.0
