,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-02,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-03,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-04,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-05,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-06,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-07,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-08,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-09,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-10,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-11,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2010-12,-1.6705486305623056,-1.587167725876734,-1.6662630382818617,-1.557912424361867,-1.6559293618981168,-1.5819460349732455,-1.6652974974799608,-1.5412427509129634
2011-01,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-02,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-03,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-04,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-05,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-06,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-07,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-08,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-09,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-10,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-11,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
2011-12,-1.3400063558538033,-1.3558742647149042,-1.391340333657736,-1.3567124796975223,-1.350803240770899,-1.342396543725438,-1.4038505630889326,-1.3536637385166326
