,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-02,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-03,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-04,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-05,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-06,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-07,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-08,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-09,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-10,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-11,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2010-12,24311891.0,12058770.0,12253121.0,17503446.0,2864666.0,119680.0,904831.0,19005.0,8539206.0
2011-01,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-02,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-03,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-04,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-05,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-06,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-07,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-08,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-09,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-10,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-11,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2011-12,24774187.0,12291119.0,12483068.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,8667807.0
2012-01,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-02,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-03,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-04,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-05,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-06,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-07,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-08,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-09,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-10,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-11,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2012-12,25208897.0,12509812.0,12699085.0,18670767.0,2972834.0,127794.0,979385.0,20671.0,8782598.0
2013-01,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-02,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-03,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-04,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-05,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-06,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-07,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-08,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-09,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-10,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-11,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2013-12,25639373.0,12729156.0,12910217.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,8886471.0
2014-01,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-02,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-03,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-04,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-05,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-06,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-07,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-08,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-09,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-10,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-11,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2014-12,26092033.0,12949685.0,13142348.0,19499105.0,3094227.0,127236.0,1067008.0,21867.0,9013582.0
2015-01,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-02,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-03,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-04,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-05,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-06,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-07,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-08,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-09,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-10,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-11,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2015-12,26538614.0,13171316.0,13367298.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,9149196.0
2016-01,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-02,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-03,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-04,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-05,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-06,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-07,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-08,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-09,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-10,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-11,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2016-12,26956435.0,13379165.0,13577270.0,20174403.0,3221133.0,128145.0,1175423.0,22248.0,9289554.0
2017-01,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-02,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-03,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-04,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-05,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-06,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-07,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-08,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-09,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-10,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-11,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2017-12,27419612.0,13616977.0,13802635.0,20459525.0,3286950.0,130360.0,1236852.0,23531.0,9430419.0
2018-01,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-02,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-03,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-04,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-05,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-06,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-07,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-08,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-09,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-10,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-11,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2018-12,27885195.0,13849775.0,14035420.0,20720689.0,3365783.0,136061.0,1308257.0,23672.0,9553046.0
2019-01,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
2019-02,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
2019-03,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
2019-04,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
2019-05,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
2019-06,28260856.0,14034009.0,14226847.0,20903375.0,3428211.0,141425.0,1357273.0,25292.0,9691647.0
