year,month,Value
1990,1,0.98
1990,2,1.2
1990,3,1.27
1990,4,1.35
1990,5,0.79
1990,6,0.92
1990,7,0.83
1990,8,0.69
1990,9,1.35
1990,10,0.94
1990,11,0.94
1990,12,0.89
1991,1,0.8
1991,2,0.49
1991,3,1.66
1991,4,1.12
1991,5,1.66
1991,6,0.65
1991,7,0.65
1991,8,1.37
1991,9,1.58
1991,10,1.36
1991,11,1.47
1991,12,0.7
1992,1,0.63
1992,2,1.35
1992,3,1.83
1992,4,0.38
1992,5,1.72
1992,6,0.54
1992,7,1.09
1992,8,1.04
1992,9,0.52
1992,10,1.5
1992,11,0.88
1992,12,1.52
1993,1,3.02
1993,2,2.36
1993,3,1.52
1993,4,0.82
1993,5,1.57
1993,6,0.95
1993,7,0.59
1993,8,1.19
1993,9,0.39
1993,10,1.95
1993,11,0.79
1993,12,0.49
1994,1,0.48
1994,2,1.58
1994,3,0.83
1994,4,1.85
1994,5,0.79
1994,6,0.12
1994,7,0.32
1994,8,1.23
1994,9,1.18
1994,10,2.07
1994,11,1.77
1994,12,0.9
1995,1,1.73
1995,2,0.9
1995,3,2.4
1995,4,1.74
1995,5,3.06
1995,6,1.63
1995,7,0.75
1995,8,0.93
1995,9,0.71
1995,10,0.25
1995,11,0.54
1995,12,0.91
1996,1,1.52
1996,2,1.42
1996,3,1.33
1996,4,0.84
1996,5,1.36
1996,6,0.37
1996,7,0.84
1996,8,0.31
1996,9,1.31
1996,10,1.39
1996,11,1.78
1996,12,1.71
1997,1,2.47
1997,2,1.0
1997,3,0.32
1997,4,1.85
1997,5,1.11
1997,6,1.27
1997,7,1.09
1997,8,2.04
1997,9,2.96
1997,10,1.09
1997,11,0.95
1997,12,0.65
1998,1,1.33
1998,2,2.33
1998,3,1.61
1998,4,1.34
1998,5,1.19
1998,6,1.83
1998,7,1.49
1998,8,0.82
1998,9,1.73
1998,10,2.1
1998,11,1.03
1998,12,0.6
1999,1,1.05
1999,2,0.93
1999,3,0.41
1999,4,2.6
1999,5,1.31
1999,6,1.13
1999,7,1.5
1999,8,1.81
1999,9,0.8
1999,10,0.12
1999,11,0.22
1999,12,0.55
2000,1,1.42
2000,2,1.92
2000,3,1.29
2000,4,0.58
2000,5,0.93
2000,6,0.49
2000,7,0.31
2000,8,1.57
2000,9,0.93
2000,10,2.77
2000,11,0.68
2000,12,0.64
2001,1,1.02
2001,2,1.24
2001,3,1.24
2001,4,1.49
2001,5,0.65
2001,6,0.37
2001,7,0.95
2001,8,1.27
2001,9,0.31
2001,10,0.51
2001,11,1.52
2001,12,1.12
2002,1,0.43
2002,2,0.28
2002,3,0.8
2002,4,0.87
2002,5,0.38
2002,6,0.15
2002,7,0.61
2002,8,0.29
2002,9,2.27
2002,10,1.32
2002,11,0.93
2002,12,0.71
2003,1,0.4
2003,2,1.47
2003,3,1.33
2003,4,0.93
2003,5,1.08
2003,6,0.56
2003,7,0.39
2003,8,1.19
2003,9,0.64
2003,10,0.43
2003,11,1.35
2003,12,1.76
2004,1,0.6
2004,2,1.89
2004,3,0.33
2004,4,1.82
2004,5,0.63
2004,6,0.66
2004,7,0.82
2004,8,0.89
2004,9,1.22
2004,10,3.43
2004,11,1.69
2004,12,1.29
2005,1,2.76
2005,2,1.61
2005,3,1.63
2005,4,1.75
2005,5,1.74
2005,6,1.43
2005,7,0.41
2005,8,1.32
2005,9,0.92
2005,10,1.38
2005,11,0.65
2005,12,1.08
2006,1,1.35
2006,2,0.56
2006,3,2.4
2006,4,1.16
2006,5,0.42
2006,6,0.42
2006,7,1.21
2006,8,0.9
2006,9,1.4
2006,10,3.08
2006,11,0.7
2006,12,0.81
2007,1,0.53
2007,2,1.05
2007,3,0.82
2007,4,0.91
2007,5,0.68
2007,6,0.39
2007,7,0.91
2007,8,1.21
2007,9,1.4
2007,10,0.85
2007,11,0.33
2007,12,2.2
2008,1,1.67
2008,2,1.53
2008,3,0.67
2008,4,0.42
2008,5,1.07
2008,6,0.65
2008,7,0.53
2008,8,0.92
2008,9,0.62
2008,10,0.82
2008,11,1.07
2008,12,1.69
2009,1,1.12
2009,2,0.98
2009,3,0.79
2009,4,1.56
2009,5,1.23
2009,6,1.74
2009,7,0.49
2009,8,0.39
2009,9,0.75
2009,10,0.79
2009,11,0.4
2009,12,1.56
2010,1,1.58
2010,2,1.11
2010,3,1.3
2010,4,1.39
2010,5,1.24
2010,6,0.79
2010,7,0.83
2010,8,1.38
2010,9,0.26
2010,10,2.57
2010,11,1.4
2010,12,3.38
2011,1,0.39
2011,2,1.21
2011,3,1.27
2011,4,2.02
2011,5,2.81
2011,6,0.54
2011,7,1.72
2011,8,0.96
2011,9,0.96
2011,10,1.42
2011,11,0.9
2011,12,0.51
2012,1,0.97
2012,2,1.04
2012,3,0.73
2012,4,0.73
2012,5,0.28
2012,6,0.03
2012,7,1.41
2012,8,1.07
2012,9,1.04
2012,10,0.96
2012,11,0.67
2012,12,1.76
2013,1,1.01
2013,2,0.52
2013,3,0.73
2013,4,1.28
2013,5,0.97
2013,6,0.02
2013,7,1.5
2013,8,1.4
2013,9,2.74
2013,10,1.01
2013,11,1.02
2013,12,1.01
2014,1,0.61
2014,2,1.06
2014,3,0.99
2014,4,0.94
2014,5,1.02
2014,6,0.24
2014,7,1.14
2014,8,2.46
2014,9,2.66
2014,10,0.2
2014,11,0.75
2014,12,1.26
2015,1,0.92
2015,2,0.63
2015,3,0.85
2015,4,0.98
2015,5,3.2
2015,6,0.97
2015,7,1.46
2015,8,1.27
2015,9,0.88
2015,10,1.8
2015,11,1.07
2015,12,1.38
2016,1,1.42
2016,2,0.62
2016,3,1.2
2016,4,1.7
2016,5,1.36
2016,6,0.33
2016,7,0.62
2016,8,0.94
2016,9,2.08
2016,10,0.89
2016,11,0.95
2016,12,1.93
2017,1,2.76
2017,2,1.54
2017,3,1.59
2017,4,1.17
2017,5,0.64
2017,6,0.16
2017,7,1.39
2017,8,0.94
2017,9,1.54
2017,10,0.18
2017,11,0.53
2017,12,0.39
2018,1,0.86
2018,2,0.83
2018,3,1.29
2018,4,0.86
2018,5,1.14
2018,6,0.05
2018,7,0.84
2018,8,1.02
2018,9,0.08
2018,10,2.93
2018,11,0.85
2018,12,0.83
2019,1,1.51
2019,2,2.31
2019,3,2.61
2019,4,1.74
2019,5,2.94
2019,6,0.49
2019,7,0.59
2019,8,0.35
2019,9,0.85
2019,10,0.24
2019,11,1.86
2019,12,1.45
2020,1,0.77
2020,2,0.71
2020,3,1.53
2020,4,0.56
2020,5,0.32
2020,6,0.95
2020,7,0.4
2020,8,0.14
2020,9,0.25
2020,10,0.2
2020,11,0.73
2020,12,0.68
2021,1,0.74
2021,2,0.92
2021,3,1.19
2021,4,0.73
2021,5,0.34
2021,6,0.25
2021,7,1.67
2021,8,2.14
2021,9,0.87
2021,10,2.21
2021,11,0.25
2021,12,2.24
2022,1,0.31
2022,2,0.5
2022,3,0.9
2022,4,0.65
2022,5,0.69
2022,6,0.47
2022,7,0.91
2022,8,1.6
2022,9,1.33
2022,10,1.0
2022,11,1.26
2022,12,1.78
