,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-02,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-03,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-04,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-05,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-06,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-07,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-08,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-09,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-10,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-11,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2010-12,-1.664570565472556,-1.6623039924765306,-1.666867852257342,-1.7110302619275168,-1.7817415383144428,-1.423881077038281,-1.5481186207571807,-1.996400058333385,-1.5692622925527302
2011-01,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-02,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-03,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-04,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-05,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-06,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-07,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-08,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-09,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-10,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-11,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2011-12,-1.3454759723738774,-1.3451748393733072,-1.3458002992223017,-1.3293071470038584,-1.193012244451418,-1.4113048036088005,-1.3386267526407774,-1.1419711250855964,-1.2441031233171598
2012-01,-1.0650680725471553,-1.0650970872653909,-1.0650686546645265,-1.0132561635257196,-0.9527437574294977,-1.4330333237279937,-1.195975186006985,-0.7104464487623336,-1.006470169368873
