,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos,count
2010-01,-1.3171771661496001,-1.5352147614050853,-1.642545614717843,0.18526305632918533,0.710778109118332,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,0.6812594871986655,1.2107528277522954,0.0
2010-02,-1.1341269493150639,-1.5426386221608135,-1.7281106925989818,-0.6720848817743011,-0.04965717453560989,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264962,0.7133708190395334,0.0
2010-03,-0.45204670089039906,-0.6342957475948905,-0.6044118896357636,0.473961832137412,0.3136190218632992,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.3687636129463088,0.015778040288952595,0.0
2010-04,0.13125517056209285,-0.08598810013477097,0.38582099980666545,-1.6003518219969612,-1.9395204156671364,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264976,-0.7053820354007986,0.0
2010-05,0.6998104446109975,0.6456252738438043,0.7018228943537062,0.23271706793577274,-0.45872833801625684,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,0.6812594871986655,-1.2502707088908618,0.0
2010-06,1.0423577094303205,1.3164755704925468,1.426861802662509,-0.9888340887480727,-1.656998852105667,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,-0.016654033921809603,-1.453675654900248,0.0
2010-07,1.4978623464647816,1.3884625062997529,1.6277970380656657,-0.7743349670702562,-2.3853682877552775,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,-0.7262037136073767,-1.2502707088908604,1.0
2010-08,1.2571919482547789,1.3884625062997529,1.3426871643692992,0.4407326405016902,-0.7406627255046714,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,2.105651165030126,1.2761835763626046,-0.5429891195407615,-0.5357180199420537,0.06078844352967486,0.45432165671054797,-0.05875698636701773,-1.2538736295058936,-0.7053820354007986,2.0
2010-09,0.8882529909632575,0.7866199016602612,1.1156544667425627,0.9620842146061979,0.2968105963286477,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,1.9045179680974054,1.8882839585462494,1.290782269705687,-0.5357180199420537,1.027524702175265,0.45432165671054797,0.4545454307339026,-1.4489158007263132,0.015778040288952595,0.0
2010-10,0.07397539633310977,0.024872299385460938,0.18894488577110832,-0.08247109544418077,-0.13046716613647313,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,1.9003612281121223,1.3054069249872533,1.027524702175265,-1.0063290142646812,0.4545454307339026,-1.2538736295058936,0.7133708190395334,1.0
2010-11,-0.5023034253817457,-0.7914118060600065,-0.6044118896357636,-1.3906077115293016,-1.0597693500402197,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,1.2761835763626046,-0.5429891195407615,1.9113248664308429,1.027524702175265,0.45432165671054797,-1.0061060504913282,-0.7262037136073767,1.2107528277522928,0.0
2010-12,-1.2796328445606808,-1.6617860862467506,-1.8406579280470539,-0.6793608168241224,-0.1826777996090148,-1.651174280576712,-1.6246558714535402,-1.8996659007584147,-1.564538535760775,-1.7239468883297495,-1.673604700412674,-1.9188681581139222,-1.5403724099097253,-1.6559249838360055,-1.6490792722128615,-1.6627829721407792,-1.7750235481561805,-1.6700752073089444,1.2035997102848628,-1.6068926016274663,0.34101461997513643,-1.567209805606825,-0.5306422276416307,-0.550862634577223,1.290782269705687,-0.5357180199420537,0.06078844352967486,-0.5455599501309287,0.4545454307339026,-0.016654033921809603,1.3902147191927885,0.0
2011-01,-1.551460489559407,-1.5723608130659743,-1.6768902132609242,-1.718412602171677,-1.2663609564377507,-1.4757520059958913,-1.452988423350742,-1.699748246552268,-1.3618908209417564,-1.6727825716862357,-1.4421569402841603,-1.5417198114288706,-1.351457876315341,-1.4243442442219667,-1.4216146881214176,-1.4270899220245667,-1.5247618784081594,-1.4227335495636613,1.5582616274551893,-1.3635435185008593,-1.5733338860370316,-1.3255355711497685,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,1.3054069249872533,0.06078844352967486,-0.058991382542392584,-0.5453261461610098,0.6812594871986655,1.2107528277522954,0.0
2011-02,-1.4506561322996325,-1.145483810635754,-0.9726308021830264,-1.6395818655857477,-1.4762471771708454,-1.4757520059958913,-1.452988423350742,-1.699748246552268,-1.3618908209417564,-1.6727825716862357,-1.4421569402841603,-1.5417198114288706,-1.351457876315341,-1.4243442442219667,-1.4216146881214176,-1.4270899220245667,-1.5247618784081594,-1.4227335495636613,1.5582616274551893,-1.3635435185008593,-1.5733338860370316,-1.3255355711497685,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.1855080170264962,0.7133708190395334,0.0
2011-03,-0.9165617318850376,-0.7341486899214206,-0.6946123441065799,0.9109166347545291,0.894286686490819,-1.4757520059958913,-1.452988423350742,-1.699748246552268,-1.3618908209417564,-1.6727825716862357,-1.4421569402841603,-1.5417198114288706,-1.351457876315341,-1.4243442442219667,-1.4216146881214176,-1.4270899220245667,-1.5247618784081594,-1.4227335495636613,1.5582616274551893,-1.3635435185008593,-1.5733338860370316,-1.3255355711497685,-0.5306422276416307,-0.550862634577223,-0.5429891195407615,-0.5357180199420537,-0.7453876208659832,-0.058991382542392584,-0.05875698636701773,1.3687636129463088,0.015778040288952595,0.0
