year,month,Value
1990,1,42.0
1990,2,44.4
1990,3,49.3
1990,4,54.2
1990,5,62.2
1990,6,70.8
1990,7,75.6
1990,8,73.2
1990,9,66.4
1990,10,58.5
1990,11,49.3
1990,12,42.7
1991,1,37.1
1991,2,41.0
1991,3,47.4
1991,4,56.4
1991,5,68.6
1991,6,71.8
1991,7,76.9
1991,8,73.9
1991,9,67.4
1991,10,56.8
1991,11,45.3
1991,12,41.1
1992,1,37.4
1992,2,40.4
1992,3,44.2
1992,4,54.1
1992,5,59.2
1992,6,67.5
1992,7,75.6
1992,8,70.4
1992,9,66.8
1992,10,53.4
1992,11,46.6
1992,12,37.4
1993,1,38.8
1993,2,34.8
1993,3,41.3
1993,4,52.8
1993,5,64.2
1993,6,71.0
1993,7,78.2
1993,8,74.7
1993,9,68.4
1993,10,54.8
1993,11,46.3
1993,12,35.4
1994,1,29.4
1994,2,37.5
1994,3,45.2
1994,4,58.6
1994,5,59.3
1994,6,73.6
1994,7,76.0
1994,8,71.7
1994,9,65.1
1994,10,54.6
1994,11,50.4
1994,12,42.2
1995,1,37.3
1995,2,34.9
1995,3,47.7
1995,4,54.6
1995,5,62.6
1995,6,70.6
1995,7,76.3
1995,8,76.1
1995,9,66.1
1995,10,58.0
1995,11,41.9
1995,12,33.7
1996,1,32.9
1996,2,36.1
1996,3,40.5
1996,4,54.4
1996,5,62.9
1996,6,72.1
1996,7,73.3
1996,8,72.2
1996,9,66.2
1996,10,56.3
1996,11,41.0
1996,12,40.3
1997,1,35.2
1997,2,41.6
1997,3,48.0
1997,4,50.8
1997,5,58.8
1997,6,68.6
1997,7,75.3
1997,8,72.1
1997,9,66.4
1997,10,55.9
1997,11,43.3
1997,12,38.0
1998,1,40.7
1998,2,41.5
1998,3,45.4
1998,4,55.6
1998,5,65.5
1998,6,71.7
1998,7,75.3
1998,8,74.6
1998,9,71.6
1998,10,57.4
1998,11,47.4
1998,12,42.6
1999,1,39.0
1999,2,40.0
1999,3,42.3
1999,4,56.1
1999,5,62.9
1999,6,70.7
1999,7,77.6
1999,8,74.8
1999,9,66.0
1999,10,54.7
1999,11,51.4
1999,12,39.7
2000,1,34.0
2000,2,41.5
2000,3,49.6
2000,4,53.9
2000,5,65.7
2000,6,72.6
2000,7,72.3
2000,8,72.4
2000,9,65.7
2000,10,57.4
2000,11,43.6
2000,12,30.1
2001,1,34.3
2001,2,41.2
2001,3,42.0
2001,4,56.6
2001,5,63.0
2001,6,71.5
2001,7,71.9
2001,8,75.0
2001,9,64.8
2001,10,55.2
2001,11,51.2
2001,12,43.4
2002,1,39.2
2002,2,40.5
2002,3,46.3
2002,4,57.7
2002,5,62.0
2002,6,72.9
2002,7,76.6
2002,8,75.8
2002,9,69.4
2002,10,57.5
2002,11,44.8
2002,12,36.0
2003,1,31.1
2003,2,34.8
2003,3,48.0
2003,4,54.7
2003,5,61.7
2003,6,68.9
2003,7,74.5
2003,8,75.5
2003,9,66.7
2003,10,55.2
2003,11,51.5
2003,12,36.8
2004,1,32.1
2004,2,36.3
2004,3,47.8
2004,4,55.4
2004,5,68.9
2004,6,70.8
2004,7,74.6
2004,8,71.8
2004,9,67.9
2004,10,57.3
2004,11,49.5
2004,12,38.2
2005,1,37.7
2005,2,39.3
2005,3,41.8
2005,4,55.0
2005,5,59.8
2005,6,71.8
2005,7,77.1
2005,8,76.3
2005,9,70.4
2005,10,58.2
2005,11,48.7
2005,12,35.1
2006,1,42.4
2006,2,37.4
2006,3,46.1
2006,4,58.0
2006,5,61.1
2006,6,70.7
2006,7,75.9
2006,8,76.5
2006,9,64.8
2006,10,54.2
2006,11,48.7
2006,12,43.1
2007,1,39.9
2007,2,31.9
2007,3,49.2
2007,4,53.4
2007,5,64.4
2007,6,71.9
2007,7,73.8
2007,8,77.5
2007,9,69.4
2007,10,62.5
2007,11,46.2
2007,12,41.5
2008,1,36.0
2008,2,40.3
2008,3,46.8
2008,4,55.9
2008,5,61.3
2008,6,74.0
2008,7,74.6
2008,8,72.3
2008,9,68.2
2008,10,54.8
2008,11,44.1
2008,12,40.2
2009,1,32.6
2009,2,38.9
2009,3,45.1
2009,4,55.4
2009,5,64.1
2009,6,71.6
2009,7,71.9
2009,8,75.2
2009,9,66.6
2009,10,55.3
2009,11,49.5
2009,12,35.7
2010,1,32.7
2010,2,31.9
2010,3,47.4
2010,4,58.6
2010,5,66.2
2010,6,76.0
2010,7,77.9
2010,8,76.0
2010,9,70.0
2010,10,58.0
2010,11,46.3
2010,12,30.1
2011,1,32.1
2011,2,40.9
2011,3,46.0
2011,4,58.2
2011,5,64.8
2011,6,73.4
2011,7,77.8
2011,8,74.9
2011,9,68.2
2011,10,55.5
