year,month,Value
1990,1,39.7
1990,2,39.5
1990,3,51.4
1990,4,59.3
1990,5,60.6
1990,6,68.2
1990,7,80.6
1990,8,78.2
1990,9,75.9
1990,10,53.6
1990,11,45.9
1990,12,30.5
1991,1,34.8
1991,2,48.4
1991,3,46.2
1991,4,55.3
1991,5,59.8
1991,6,65.1
1991,7,78.1
1991,8,78.6
1991,9,74.3
1991,10,58.6
1991,11,42.6
1991,12,39.5
1992,1,39.7
1992,2,46.4
1992,3,56.4
1992,4,57.9
1992,5,69.8
1992,6,76.3
1992,7,76.1
1992,8,79.2
1992,9,67.5
1992,10,58.4
1992,11,42.0
1992,12,32.9
1993,1,30.4
1993,2,37.6
1993,3,47.6
1993,4,53.0
1993,5,68.6
1993,6,67.6
1993,7,68.5
1993,8,74.7
1993,9,72.2
1993,10,60.7
1993,11,41.1
1993,12,37.2
1994,1,42.2
1994,2,38.1
1994,3,52.9
1994,4,58.3
1994,5,65.6
1994,6,69.4
1994,7,81.6
1994,8,78.5
1994,9,74.4
1994,10,56.6
1994,11,39.0
1994,12,36.8
1995,1,38.2
1995,2,45.8
1995,3,49.0
1995,4,55.2
1995,5,66.6
1995,6,69.4
1995,7,77.2
1995,8,72.7
1995,9,73.3
1995,10,54.2
1995,11,46.8
1995,12,36.8
1996,1,34.4
1996,2,40.1
1996,3,48.2
1996,4,55.7
1996,5,58.0
1996,6,69.7
1996,7,81.0
1996,8,78.9
1996,9,66.4
1996,10,54.9
1996,11,41.5
1996,12,33.5
1997,1,36.2
1997,2,41.3
1997,3,46.7
1997,4,53.6
1997,5,66.0
1997,6,67.7
1997,7,75.9
1997,8,79.7
1997,9,70.6
1997,10,54.9
1997,11,46.5
1997,12,38.1
1998,1,37.4
1998,2,44.0
1998,3,49.6
1998,4,57.2
1998,5,62.7
1998,6,69.9
1998,7,81.8
1998,8,81.2
1998,9,76.0
1998,10,57.1
1998,11,44.9
1998,12,35.9
1999,1,39.5
1999,2,41.3
1999,3,47.3
1999,4,55.6
1999,5,59.9
1999,6,66.8
1999,7,75.3
1999,8,78.0
1999,9,71.2
1999,10,57.4
1999,11,47.4
1999,12,39.6
2000,1,35.9
2000,2,42.0
2000,3,47.8
2000,4,59.3
2000,5,61.6
2000,6,70.6
2000,7,76.7
2000,8,77.2
2000,9,67.8
2000,10,56.6
2000,11,39.2
2000,12,34.5
2001,1,37.1
2001,2,39.9
2001,3,49.5
2001,4,53.4
2001,5,66.0
2001,6,66.9
2001,7,76.3
2001,8,79.3
2001,9,72.6
2001,10,54.9
2001,11,45.9
2001,12,36.9
2002,1,38.1
2002,2,42.3
2002,3,43.6
2002,4,55.2
2002,5,60.5
2002,6,71.9
2002,7,79.9
2002,8,77.5
2002,9,70.6
2002,10,57.2
2002,11,46.8
2002,12,39.0
2003,1,41.1
2003,2,43.6
2003,3,49.0
2003,4,54.0
2003,5,62.4
2003,6,73.9
2003,7,82.7
2003,8,80.2
2003,9,73.0
2003,10,60.6
2003,11,40.8
2003,12,36.5
2004,1,34.5
2004,2,42.0
2004,3,53.0
2004,4,61.2
2004,5,63.0
2004,6,72.8
2004,7,80.9
2004,8,79.2
2004,9,66.7
2004,10,58.0
2004,11,45.3
2004,12,39.9
2005,1,37.2
2005,2,46.5
2005,3,52.8
2005,4,56.8
2005,5,65.3
2005,6,67.8
2005,7,78.8
2005,8,80.3
2005,9,68.1
2005,10,56.9
2005,11,41.5
2005,12,34.9
2006,1,40.8
2006,2,41.2
2006,3,47.4
2006,4,56.3
2006,5,65.2
2006,6,71.6
2006,7,81.5
2006,8,78.6
2006,9,72.1
2006,10,57.6
2006,11,42.3
2006,12,36.0
2007,1,35.2
2007,2,41.7
2007,3,50.3
2007,4,55.2
2007,5,65.6
2007,6,69.0
2007,7,81.5
2007,8,76.4
2007,9,68.9
2007,10,54.8
2007,11,43.6
2007,12,35.7
2008,1,33.7
2008,2,42.8
2008,3,45.7
2008,4,51.3
2008,5,64.2
2008,6,68.0
2008,7,78.1
2008,8,76.6
2008,9,71.0
2008,10,56.8
2008,11,46.5
2008,12,32.2
2009,1,36.2
2009,2,40.5
2009,3,43.5
2009,4,55.2
2009,5,64.8
2009,6,72.0
2009,7,81.6
2009,8,78.2
2009,9,73.1
2009,10,53.0
2009,11,44.6
2009,12,32.8
2010,1,41.1
2010,2,45.6
2010,3,50.8
2010,4,54.2
2010,5,59.0
2010,6,66.2
2010,7,77.8
2010,8,76.4
2010,9,67.1
2010,10,58.0
2010,11,41.1
2010,12,36.9
2011,1,37.9
2011,2,38.6
2011,3,45.9
2011,4,49.5
2011,5,58.8
2011,6,66.1
2011,7,73.5
2011,8,78.6
2011,9,74.5
2011,10,55.4
2011,11,43.1
2011,12,37.6
2012,1,37.5
2012,2,41.4
2012,3,45.7
2012,4,56.4
2012,5,62.4
2012,6,65.1
2012,7,77.9
2012,8,80.6
2012,9,73.9
2012,10,57.0
2012,11,44.7
2012,12,37.2
2013,1,34.6
2013,2,42.5
2013,3,49.5
2013,4,54.8
2013,5,65.0
2013,6,69.8
2013,7,81.4
2013,8,78.6
