,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-02,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-03,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-04,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-05,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-06,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-07,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-08,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-09,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-10,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-11,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2010-12,800330.0,1015595.0,1105524.0,346039.0,760451.0,975696.0,1123124.0,434538.0
2011-01,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-02,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-03,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-04,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-05,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-06,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-07,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-08,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
2011-09,803939.0,1031565.0,1119773.0,359421.0,765279.0,985831.0,1139180.0,447857.0
