,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,32.7,31.5,41.1,6.24,-0.16
2010-02,0.0,31.9,31.4,45.6,3.38,-1.92
2010-03,0.0,47.4,31.1,50.8,3.72,-1.05
2010-04,0.0,58.6,34.9,54.2,4.04,1.76
2010-05,0.0,66.2,38.4,59.0,4.28,3.5
2010-06,0.0,76.0,45.6,66.2,3.28,2.4
2010-07,0.0,77.9,50.7,77.8,0.41,0.71
2010-08,0.0,76.0,50.6,76.4,0.74,0.07
2010-09,0.0,70.0,47.0,67.1,3.46,2.28
2010-10,1.0,58.0,39.1,58.0,4.29,0.86
2010-11,0.0,46.3,28.4,41.1,5.78,0.08
2010-12,0.0,30.1,26.9,36.9,7.7,1.08
2011-01,0.0,32.1,26.4,37.9,6.53,0.4
2011-02,0.0,40.9,23.6,38.6,4.09,-0.54
2011-03,0.0,46.0,30.8,45.9,7.81,4.21
2011-04,0.0,58.2,31.0,49.5,4.67,3.36
2011-05,0.0,64.8,38.3,58.8,4.09,3.24
2011-06,0.0,73.4,44.9,66.1,1.44,-0.27
2011-07,0.0,77.8,48.5,73.5,1.06,0.98
2011-08,0.0,74.9,51.1,78.6,0.2,-1.04
2011-09,0.0,68.2,47.6,74.5,1.29,-1.38
2011-10,0.0,55.5,39.0,55.4,3.34,-0.63
2011-11,0.0,49.4,27.5,43.1,6.1,0.16
2011-12,0.0,42.6,24.3,37.6,3.2,-3.55
2012-01,0.0,38.9,23.9,37.5,6.35,0.25
2012-02,0.0,41.8,27.7,41.4,4.76,-0.05
2012-03,0.0,55.2,29.5,45.7,7.87,4.39
2012-04,0.0,55.6,35.6,56.4,3.93,1.38
2012-05,0.0,67.3,39.4,62.4,2.31,0.32
2012-06,0.0,70.2,44.8,65.1,3.93,3.4
2012-07,0.0,78.7,52.5,77.9,1.43,2.49
2012-08,4.0,74.0,51.9,80.6,0.1,-0.37
2012-09,0.0,66.9,45.5,73.9,0.16,-2.8
2012-10,0.0,56.4,37.8,57.0,6.47,2.81
2012-11,0.0,42.7,33.3,44.7,7.31,1.23
2012-12,0.0,42.9,27.9,37.2,8.25,1.6
2013-01,0.0,38.5,23.6,34.6,3.97,-1.85
2013-02,0.0,36.8,28.4,42.5,2.76,-2.31
2013-03,0.0,40.1,30.8,49.5,3.75,-0.92
2013-04,0.0,56.0,34.7,54.8,4.23,2.01
2013-05,0.0,62.5,41.9,65.0,3.01,0.95
2013-06,0.0,72.2,47.6,69.8,2.26,0.59
2013-07,0.0,75.6,52.9,81.4,0.16,-0.48
2013-08,0.0,71.8,53.7,78.6,1.6,0.23
2013-09,0.0,66.3,49.4,69.9,5.6,4.93
2013-10,0.0,57.6,35.6,56.6,1.37,-1.57
2013-11,0.0,43.7,29.8,43.6,4.03,-1.79
2013-12,0.0,40.3,21.8,34.7,2.94,-3.81
2014-01,0.0,29.4,28.3,39.9,4.42,-1.6
2014-02,0.0,37.0,23.4,36.3,6.28,1.85
2014-03,0.0,40.7,31.2,49.0,7.78,3.95
2014-04,0.0,55.0,35.4,56.3,3.78,1.2
2014-05,0.0,65.2,42.4,66.2,2.44,0.0
2014-06,2.0,72.5,46.9,69.8,1.73,-0.25
2014-07,1.0,73.4,54.8,82.4,0.77,-0.52
2014-08,2.0,71.3,54.6,80.0,1.47,-0.09
