,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,29.5,5.3,24.8,1.17,0.08,,,,,,,,,,,,,,,,,
2000-02,0.0,39.0,15.1,35.5,1.27,0.66,,,,,,,,,,,,,,,,,
2000-03,0.0,46.1,27.4,49.4,1.36,-1.73,,,,,,,,,,,,,,,,,
2000-04,0.0,51.0,31.1,54.7,2.42,-0.34,,,,,,,,,,,,,,,,,
2000-05,0.0,62.9,45.4,68.8,4.26,0.8,,,,,,,,,,,,,,,,,
2000-06,0.0,69.8,52.1,73.5,6.69,3.9,,,,,,,,,,,,,,,,,
2000-07,0.0,69.0,57.1,78.1,4.33,1.54,,,,,,,,,,,,,,,,,
2000-08,0.0,69.5,56.9,78.2,3.8,0.13,,,,,,,,,,,,,,,,,
2000-09,0.0,63.3,46.8,69.4,3.78,0.46,,,,,,,,,,,,,,,,,
2000-10,0.0,55.2,39.2,61.8,0.89,-2.21,,,,,,,,,,,,,,,,,
2000-11,0.0,40.4,25.7,39.0,2.71,1.24,,,,,,,,,,,,,,,,,
2000-12,0.0,25.6,-0.3,17.6,1.51,0.91,,,,,,,,,,,,,,,,,
2001-01,0.0,29.4,10.0,28.2,1.17,0.41,,,,,,,,,,,,,,,,,
2001-02,0.0,38.0,4.9,24.8,1.65,1.44,,,,,,,,,,,,,,,,,
2001-03,0.0,37.3,18.2,37.7,0.68,-1.81,,,,,,,,,,,,,,,,,
2001-04,0.0,54.6,35.5,58.1,4.86,3.0,,,,,,,,,,,,,,,,,
2001-05,0.0,61.0,45.6,68.3,4.91,1.81,,,,,,,,,,,,,,,,,
2001-06,0.0,67.8,53.7,75.2,4.73,0.9,,,,,,,,,,,,,,,,,
2001-07,0.0,69.4,57.8,82.1,2.61,-1.5,,,,,,,,,,,,,,,,,
2001-08,0.0,72.5,58.3,81.1,4.48,0.27,,,,,,,,,,,,,,,,,
2001-09,0.0,62.2,46.6,68.0,4.04,0.46,,,,,,,,,,,,,,,,,
2001-10,0.0,52.3,35.8,56.5,2.43,0.47,,,,,,,,,,,,,,,,,
2001-11,0.0,47.9,33.8,52.7,2.26,-0.21,,,,,,,,,,,,,,,,,
2001-12,0.0,39.9,20.0,34.9,1.23,0.37,,,,,,,,,,,,,,,,,
2002-01,0.0,35.0,15.9,32.2,0.5,-0.92,,,,,,,,,,,,,,,,,
2002-02,0.0,36.7,17.4,36.1,1.78,1.7,,,,,,,,,,,,,,,,,
2002-03,0.0,42.8,14.9,34.7,2.27,1.14,,,,,,,,,,,,,,,,,
2002-04,0.0,54.1,32.6,53.2,4.21,2.69,,,,,,,,,,,,,,,,,
2002-05,0.0,57.9,39.1,62.4,3.0,0.11,,,,,,,,,,,,,,,,,
2002-06,0.0,70.0,55.6,77.1,5.64,1.83,,,,,,,,,,,,,,,,,
2002-07,1.0,73.6,61.4,84.0,3.63,-0.34,,,,,,,,,,,,,,,,,
