,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-02,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-03,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-04,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-05,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-06,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-07,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-08,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-09,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-10,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-11,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2010-12,1840802.0,904625.0,936177.0,1734615.0,58968.0,3139.0,11482.0,529.0,740874.0
2011-01,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-02,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-03,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-04,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-05,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-06,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-07,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-08,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-09,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-10,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-11,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2011-12,1846372.0,908648.0,937724.0,1736461.0,58296.0,3052.0,11809.0,456.0,740080.0
2012-01,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-02,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-03,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-04,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-05,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-06,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-07,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-08,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-09,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-10,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-11,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2012-12,1850481.0,911142.0,939339.0,1737369.0,58260.0,2934.0,12694.0,531.0,742674.0
2013-01,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-02,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-03,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-04,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-05,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-06,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-07,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-08,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-09,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-10,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-11,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2013-12,1853619.0,913201.0,940418.0,1737996.0,58489.0,2955.0,12806.0,666.0,741390.0
2014-01,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-02,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-03,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-04,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-05,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-06,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-07,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
2014-08,1853881.0,914580.0,939301.0,1735816.0,59129.0,3075.0,13144.0,645.0,742359.0
