,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,36.3,21.1,34.4,3.58,0.42
2010-02,0.0,38.5,20.6,33.8,3.35,0.55
2010-03,0.0,40.9,32.8,54.0,3.44,-1.03
2010-04,0.0,44.6,40.1,71.0,2.01,-2.99
2010-05,0.0,48.7,51.0,75.8,5.56,0.91
2010-06,0.0,55.9,60.9,82.9,4.56,-0.13
2010-07,0.0,64.2,62.1,85.4,4.83,-0.27
2010-08,0.0,63.5,62.6,84.1,3.48,-1.41
2010-09,0.0,57.1,51.8,79.3,2.61,-1.37
2010-10,0.0,48.6,41.6,66.8,2.59,-1.17
2010-11,0.0,34.8,31.2,55.2,2.85,-1.26
2010-12,0.0,31.9,19.5,31.2,3.57,0.46
2011-01,0.0,32.1,19.2,35.0,2.25,-1.4
2011-02,0.0,31.1,26.1,47.4,2.95,-0.4
2011-03,0.0,38.4,32.3,53.0,5.74,2.18
2011-04,0.0,40.2,43.0,67.0,7.59,4.6
2011-05,0.0,48.6,50.7,73.3,5.15,0.92
2011-06,0.0,55.5,57.8,81.1,4.05,-0.39
2011-07,0.0,61.0,63.6,86.2,3.91,-1.82
2011-08,1.0,64.9,60.4,82.8,3.81,-0.95
2011-09,1.0,61.0,55.6,74.5,6.43,3.97
2011-10,0.0,47.2,42.1,62.3,4.87,3.35
2011-11,0.0,35.3,34.9,58.6,4.54,2.13
2011-12,0.0,31.0,28.9,48.1,3.81,0.5
2012-01,0.0,30.7,25.1,44.6,3.09,-0.43
2012-02,0.0,34.5,27.8,47.7,2.3,-1.46
2012-03,0.0,37.6,39.5,65.6,4.92,-0.37
2012-04,0.0,46.0,38.9,64.4,2.86,-1.2
2012-05,0.0,50.9,53.8,77.8,4.94,0.0
2012-06,0.0,55.0,54.4,80.7,2.64,-1.94
2012-07,2.0,65.2,64.2,86.5,5.88,0.6
2012-08,2.0,66.2,59.0,82.5,2.58,-2.32
2012-09,1.0,59.7,52.1,75.7,5.23,2.4
2012-10,0.0,47.4,41.8,63.9,4.58,2.37
2012-11,0.0,39.0,28.0,51.0,0.77,-2.1
2012-12,0.0,32.5,30.6,47.8,4.83,1.8
2013-01,0.0,29.1,25.1,42.6,4.41,1.45
2013-02,0.0,35.5,23.2,41.3,1.83,-1.7
2013-03,0.0,40.2,28.3,44.5,3.28,-0.4
2013-04,0.0,44.7,39.6,66.2,2.5,-1.88
2013-05,0.0,53.5,48.1,73.0,3.98,-0.27
2013-06,0.0,58.7,58.6,79.6,5.96,2.26
2013-07,0.0,67.2,62.4,82.4,6.17,2.02
2013-08,1.0,66.2,59.4,79.0,5.51,2.38
2013-09,0.0,59.7,52.7,75.2,2.39,-0.67
2013-10,0.0,46.1,44.5,64.9,2.15,-0.87
2013-11,0.0,36.7,29.4,50.4,3.4,0.88
2013-12,0.0,28.2,27.2,44.7,6.01,3.66
2014-01,0.0,34.1,12.2,34.9,2.25,-1.4
2014-02,0.0,29.8,21.3,40.5,4.18,1.77
2014-03,0.0,40.1,25.0,49.1,3.04,-0.8
2014-04,0.0,45.8,39.2,67.0,3.06,-1.16
2014-05,0.0,54.3,48.6,74.8,4.24,-0.15
2014-06,0.0,58.3,58.8,81.2,4.54,0.19
2014-07,0.0,68.6,58.7,80.4,4.03,-0.51
2014-08,0.0,67.3,58.8,79.5,4.42,0.68
2014-09,0.0,59.8,53.9,75.6,2.2,-1.39
