year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,WY,65577.0,82339.0,89858.0,28676.0,60392.0,73947.0,88232.0,34928.0,523949.0,266450.0,257499.0,479259.0,4818.0,11770.0,3830.0,180.0,208269.0,
2010,WY,68059.0,84131.0,95001.0,30659.0,63091.0,76726.0,92199.0,35713.0,545579.0,277850.0,267729.0,498326.0,4135.0,12786.0,4138.0,242.0,217688.0,0400000US56
2011,WY,68901.0,86296.0,95946.0,31528.0,64345.0,78034.0,92907.0,36740.0,554697.0,282671.0,272026.0,506661.0,4309.0,12752.0,3985.0,204.0,219628.0,0400000US56
2012,WY,69468.0,87773.0,96810.0,32593.0,65341.0,79465.0,93574.0,37779.0,562803.0,286644.0,276159.0,513021.0,4689.0,12951.0,4392.0,206.0,221479.0,0400000US56
2013,WY,70705.0,89567.0,97191.0,33760.0,65717.0,81127.0,93426.0,38641.0,570134.0,291223.0,278911.0,518388.0,5167.0,13268.0,4782.0,197.0,222846.0,0400000US56
2014,WY,70695.0,90887.0,96710.0,35175.0,66169.0,81891.0,93676.0,40048.0,575251.0,293467.0,281784.0,522535.0,5958.0,13144.0,5377.0,332.0,225514.0,0400000US56
2015,WY,71050.0,91775.0,96041.0,36695.0,66683.0,82776.0,93354.0,41305.0,579679.0,295561.0,284118.0,527763.0,6142.0,12658.0,5319.0,423.0,226865.0,0400000US56
2016,WY,71890.0,91319.0,96270.0,38212.0,66954.0,83399.0,92490.0,42495.0,583029.0,297691.0,285338.0,531851.0,6435.0,13033.0,5385.0,391.0,226985.0,0400000US56
2017,WY,71874.0,91409.0,94922.0,40096.0,66484.0,82773.0,91499.0,44143.0,583200.0,298301.0,284899.0,532394.0,6121.0,13549.0,5102.0,470.0,230237.0,0400000US56
2018,WY,71064.0,90977.0,93218.0,41720.0,66655.0,82210.0,89935.0,46057.0,581836.0,296979.0,284857.0,532008.0,5540.0,14053.0,4756.0,539.0,230630.0,0400000US56
2019,WY,70303.0,89698.0,92469.0,43732.0,66068.0,81913.0,89111.0,47730.0,581024.0,296202.0,284822.0,531304.0,5582.0,14164.0,5025.0,596.0,230101.0,0400000US56
2020,WY,69253.0,89309.0,91577.0,46141.0,65547.0,81701.0,88395.0,49425.0,581348.0,296280.0,285068.0,525246.0,5079.0,13117.0,4892.0,589.0,233231.0,0400000US56
