year,month,tavg,tmax,tmin,pcp,zndx
2000,1,46.2,57.2,35.2,4.68,0.01
2000,2,51.6,65.8,37.4,1.8,-2.99
2000,3,59.1,72.3,46.0,4.74,-0.77
2000,4,60.6,74.1,47.2,2.7,-0.94
2000,5,73.9,87.0,60.9,1.0,-3.6
2000,6,78.0,90.5,65.4,3.89,-1.39
2000,7,80.8,92.9,68.8,3.55,-3.06
2000,8,79.5,90.8,68.2,4.22,-1.61
2000,9,72.6,82.1,63.1,6.68,2.8
2000,10,63.7,78.0,49.5,0.48,-2.05
2000,11,53.6,65.4,41.8,4.3,1.37
2000,12,40.6,51.2,30.0,3.34,-0.13
2001,1,43.3,55.6,31.0,2.83,-1.19
2001,2,53.6,65.5,41.6,2.02,-2.91
2001,3,53.8,64.9,42.7,8.97,3.65
2001,4,64.2,77.2,51.2,1.84,-2.29
2001,5,70.8,84.1,57.5,2.7,-1.36
2001,6,76.4,86.6,66.1,7.38,3.24
2001,7,79.3,89.4,69.2,5.23,0.25
2001,8,79.3,89.5,69.1,2.93,-1.72
2001,9,72.1,82.9,61.2,3.92,0.35
2001,10,61.7,75.7,47.6,0.86,-1.74
2001,11,59.9,74.1,45.8,1.37,-2.47
2001,12,52.9,64.8,40.9,1.75,-3.19
2002,1,48.1,60.0,36.1,4.11,-1.01
2002,2,48.4,61.6,35.2,2.33,-2.21
2002,3,56.9,70.7,43.0,5.6,0.26
2002,4,67.9,79.8,56.0,2.18,-2.52
2002,5,70.2,83.0,57.4,3.15,-0.83
2002,6,77.4,88.4,66.3,3.51,-1.13
2002,7,80.8,91.7,69.9,4.42,-1.9
2002,8,79.6,90.8,68.3,3.72,-1.94
2002,9,76.8,85.8,67.7,6.13,1.55
2002,10,68.2,76.7,59.6,4.43,1.36
2002,11,52.3,63.9,40.8,4.88,2.48
2002,12,45.7,56.7,34.7,5.26,1.68
2003,1,42.3,53.9,30.6,1.77,-2.2
2003,2,48.9,60.2,37.7,5.31,0.92
2003,3,59.0,69.3,48.7,7.33,1.59
2003,4,62.7,74.6,50.8,4.73,0.79
2003,5,71.7,82.1,61.3,6.33,2.63
2003,6,76.1,86.3,65.9,7.22,3.69
2003,7,78.7,87.9,69.5,7.59,2.94
2003,8,79.2,88.2,70.0,5.78,1.85
2003,9,73.1,83.9,62.2,2.88,0.05
2003,10,64.4,76.2,52.6,2.99,0.87
2003,11,59.4,72.1,46.5,2.82,-0.13
2003,12,44.3,57.1,31.6,2.48,-0.91
2004,1,45.0,57.4,32.5,2.85,-1.26
