year,month,tavg,tmax,tmin,pcp,zndx
2000,1,21.6,31.5,11.8,0.73,-1.03
2000,2,32.5,42.0,23.0,1.37,0.19
2000,3,43.1,54.6,31.5,1.0,-2.77
2000,4,49.4,62.2,36.6,2.03,-1.57
2000,5,62.8,74.9,50.7,3.6,-0.93
2000,6,67.7,78.7,56.7,6.56,2.65
2000,7,72.2,81.8,62.6,4.09,0.95
2000,8,72.7,83.0,62.5,2.62,-1.2
2000,9,64.6,78.0,51.3,2.11,-1.75
2000,10,54.8,66.2,43.4,1.8,-1.28
2000,11,32.2,40.4,24.0,2.15,0.17
2000,12,10.0,18.6,1.4,1.67,0.62
2001,1,20.8,29.1,12.5,1.42,1.01
2001,2,18.1,26.9,9.2,2.16,2.64
2001,3,30.2,38.4,22.0,1.3,-0.5
2001,4,52.7,65.1,40.3,3.6,0.42
2001,5,60.9,71.1,50.8,7.04,3.81
2001,6,68.3,78.9,57.7,4.07,-0.42
2001,7,75.1,85.4,64.7,3.12,-0.74
2001,8,72.5,83.5,61.5,2.97,-1.34
2001,9,61.2,72.3,50.1,4.07,0.52
2001,10,50.2,61.7,38.7,2.46,0.39
2001,11,48.0,59.0,36.9,1.55,-1.46
2001,12,30.7,39.7,21.8,0.83,-0.78
2002,1,28.6,38.8,18.4,0.4,-1.11
2002,2,29.8,39.7,19.9,0.89,-0.18
2002,3,31.0,41.6,20.5,1.16,-0.85
2002,4,48.9,60.3,37.4,3.62,1.06
2002,5,56.8,69.1,44.6,4.1,0.82
2002,6,72.4,83.3,61.4,3.51,-1.78
2002,7,76.5,87.4,65.6,4.24,0.17
2002,8,70.9,81.6,60.1,5.81,2.29
2002,9,65.3,77.8,52.8,1.71,-1.98
2002,10,46.2,56.0,36.4,3.58,2.16
2002,11,34.7,44.6,24.8,0.22,-1.46
2002,12,28.9,39.1,18.7,0.24,-1.46
2003,1,19.1,28.7,9.4,0.39,-1.03
2003,2,20.4,31.2,9.6,0.82,-0.21
2003,3,35.1,46.0,24.1,1.15,-1.06
2003,4,50.4,62.3,38.5,3.25,0.31
2003,5,57.9,69.2,46.6,4.61,1.28
2003,6,67.3,78.4,56.2,4.48,0.24
2003,7,73.1,84.0,62.2,4.11,0.84
2003,8,74.1,86.4,61.9,1.03,-3.39
2003,9,61.1,74.0,48.1,3.11,-0.71
2003,10,52.4,65.8,38.9,1.0,-2.22
2003,11,35.9,44.7,27.1,3.46,1.29
2003,12,28.2,35.7,20.6,1.28,0.0
2004,1,17.7,26.7,8.7,0.96,0.08
2004,2,22.7,30.9,14.5,1.17,0.77
2004,3,40.8,50.0,31.6,3.75,2.16
2004,4,51.1,64.5,37.7,1.85,-1.72
2004,5,60.7,71.9,49.4,7.74,4.71
2004,6,67.0,77.4,56.5,3.55,-0.85
2004,7,70.5,80.5,60.5,4.33,1.36
2004,8,66.2,77.1,55.4,4.56,1.84
2004,9,66.4,79.1,53.7,2.66,-0.69
2004,10,51.9,62.7,41.2,2.05,-0.08
2004,11,40.6,49.7,31.5,2.21,0.57
2004,12,26.6,36.1,17.0,0.58,-0.45
2005,1,18.9,26.2,11.6,1.31,1.08
2005,2,31.2,39.6,22.8,1.52,1.46
2005,3,36.0,47.0,25.0,1.05,-1.26
2005,4,53.4,65.3,41.4,3.45,0.1
2005,5,57.8,69.4,46.2,3.85,0.35
2005,6,72.6,83.4,61.9,5.25,0.31
2005,7,74.7,86.0,63.5,3.27,-0.45
2005,8,71.5,82.9,60.0,3.02,-0.96
2005,9,67.6,80.2,55.0,3.29,-0.95
2005,10,52.6,64.9,40.3,0.91,-2.2
2005,11,39.6,50.3,28.9,1.75,-1.14
2005,12,19.5,26.4,12.7,1.17,-0.67
2006,1,32.4,39.9,24.9,0.99,-0.39
2006,2,25.1,36.2,14.1,0.32,-1.37
2006,3,36.5,45.8,27.2,3.17,1.29
2006,4,53.8,65.9,41.6,4.3,1.2
2006,5,60.6,71.7,49.5,2.44,-1.87
2006,6,70.0,81.8,58.3,2.49,-2.67
2006,7,75.9,87.3,64.6,3.22,-1.57
2006,8,72.1,81.8,62.3,5.75,1.51
2006,9,60.0,70.7,49.3,4.22,0.91
2006,10,47.9,58.6,37.2,1.64,-0.33
2006,11,39.3,50.0,28.7,1.77,-0.28
2006,12,31.1,40.1,22.1,2.09,1.62
2007,1,21.6,30.3,12.8,0.91,0.36
2007,2,15.5,23.3,7.7,1.68,1.76
2007,3,41.8,51.3,32.3,2.86,0.68
2007,4,46.7,57.9,35.6,4.57,2.71
2007,5,64.7,76.2,53.2,5.35,1.07
2007,6,70.4,81.6,59.2,3.38,-1.61
2007,7,73.7,85.1,62.2,3.38,-0.48
2007,8,74.2,83.9,64.4,9.69,6.49
2007,9,64.7,77.4,52.1,2.87,0.15
2007,10,55.9,66.1,45.7,5.1,3.91
2007,11,37.2,47.7,26.6,0.18,-1.05
2007,12,20.3,27.6,13.0,2.44,2.77
2008,1,16.6,25.4,7.8,0.68,-0.05
2008,2,17.0,25.8,8.2,1.71,1.81
2008,3,32.6,41.9,23.3,1.26,-0.59
2008,4,46.0,56.1,35.8,5.86,4.59
2008,5,57.4,69.3,45.4,5.67,2.68
2008,6,69.3,80.1,58.6,8.88,5.29
2008,7,73.1,83.6,62.7,5.88,3.11
2008,8,69.9,81.4,58.4,1.96,-1.39
2008,9,63.5,74.4,52.6,4.16,1.01
2008,10,50.7,62.0,39.4,3.26,1.82
2008,11,37.3,46.1,28.4,1.72,1.0
2008,12,17.6,27.6,7.6,1.88,1.87
2009,1,13.2,23.2,3.2,0.68,-0.05
2009,2,26.7,36.9,16.5,0.79,0.12
2009,3,37.1,47.6,26.6,2.97,1.49
2009,4,47.0,58.4,35.5,3.6,1.33
2009,5,59.8,71.3,48.3,3.64,-0.24
2009,6,68.9,79.2,58.6,5.29,0.97
2009,7,68.0,78.3,57.6,4.62,2.17
2009,8,68.3,78.6,58.0,5.75,3.38
2009,9,63.3,75.1,51.6,1.73,-1.0
2009,10,44.9,53.2,36.7,6.35,6.56
2009,11,43.4,53.2,33.7,1.19,-0.29
2009,12,19.8,27.5,12.2,2.54,2.98
2010,1,13.6,20.2,6.9,1.3,1.06
2010,2,17.3,26.2,8.5,0.96,0.43
2010,3,38.4,47.7,29.1,1.72,-0.55
2010,4,55.2,67.7,42.7,3.7,0.14
2010,5,59.9,71.2,48.6,4.19,0.43
2010,6,70.8,81.1,60.6,10.28,6.75
2010,7,74.6,84.1,65.0,7.89,5.47
2010,8,74.4,84.8,64.0,4.83,1.54
2010,9,63.1,74.2,52.0,5.4,3.05
2010,10,53.9,68.1,39.7,0.91,-1.24
2010,11,38.0,48.0,27.9,1.64,0.46
2010,12,19.1,26.9,11.2,1.23,0.78
2011,1,14.8,23.1,6.6,0.94,0.42
2011,2,22.6,31.1,14.0,1.39,1.22
2011,3,35.1,44.5,25.6,1.5,-0.48
2011,4,47.6,57.9,37.2,3.81,1.52
2011,5,59.1,70.4,47.8,5.0,1.57
2011,6,69.6,79.3,59.9,6.19,1.95
2011,7,78.0,87.7,68.2,3.4,-0.7
2011,8,72.0,83.1,60.9,3.02,-1.07
2011,9,60.2,71.9,48.6,1.68,-1.96
2011,10,53.4,67.0,39.8,0.74,-2.65
2011,11,39.4,49.9,28.8,2.08,-0.92
2011,12,29.1,37.8,20.4,2.08,0.75
2012,1,26.5,36.3,16.7,0.57,-0.9
2012,2,29.6,38.3,20.8,1.68,1.22
2012,3,51.6,62.9,40.2,1.91,-2.3
2012,4,52.4,64.5,40.3,3.9,0.88
2012,5,65.0,77.6,52.5,3.51,-1.28
2012,6,71.4,83.1,59.8,2.81,-2.49
2012,7,79.6,92.0,67.1,1.17,-4.6
2012,8,71.0,84.3,57.6,2.88,-2.28
2012,9,62.1,76.9,47.3,1.62,-3.21
2012,10,48.8,60.5,37.0,2.98,0.16
2012,11,39.2,50.1,28.1,1.05,-2.6
2012,12,27.7,36.6,18.7,1.53,-0.81
2013,1,22.0,31.8,12.2,0.95,-1.02
2013,2,24.2,32.6,15.8,1.27,-0.32
2013,3,29.0,37.3,20.8,2.09,-0.23
2013,4,43.8,54.5,33.1,6.43,5.69
2013,5,59.0,69.4,48.5,8.65,6.13
2013,6,68.9,78.5,59.4,4.89,0.48
2013,7,72.3,83.4,61.2,1.74,-2.05
2013,8,71.9,83.4,60.4,1.49,-3.1
2013,9,67.0,79.5,54.5,1.94,-2.94
2013,10,50.5,61.8,39.3,2.78,0.01
2013,11,33.9,43.8,23.9,1.59,-1.02
2013,12,17.4,26.8,8.1,0.62,-1.67
2014,1,14.2,25.6,2.8,0.43,-1.63
2014,2,13.2,23.2,3.2,1.5,0.27
2014,3,29.7,40.1,19.3,0.81,-1.85
2014,4,47.5,59.7,35.2,4.65,2.48
2014,5,60.0,71.5,48.4,3.04,-1.02
2014,6,70.2,80.2,60.2,9.66,6.08
2014,7,68.8,79.2,58.5,3.3,0.38
2014,8,71.2,80.3,62.0,5.92,2.94
2014,9,62.0,73.1,50.9,4.35,1.96
2014,10,51.2,62.4,39.9,3.17,2.04
2014,11,29.3,38.8,19.7,0.76,0.12
2014,12,28.2,34.1,22.3,1.1,0.56
2015,1,21.6,30.7,12.5,0.52,-0.34
2015,2,14.5,24.3,4.7,1.11,0.71
2015,3,37.3,50.0,24.6,0.56,-2.15
2015,4,51.1,63.5,38.7,3.37,0.36
2015,5,60.0,70.0,49.8,5.06,1.5
2015,6,69.4,79.3,59.4,6.38,2.22
2015,7,72.0,82.0,62.0,5.51,2.78
2015,8,68.9,79.1,58.6,5.29,2.78
2015,9,68.4,79.3,57.5,4.18,1.23
2015,10,53.0,64.4,41.7,1.76,-0.02
2015,11,42.0,51.3,32.8,4.08,3.79
2015,12,33.0,39.5,26.6,4.71,6.56
2016,1,19.6,26.7,12.4,0.59,-0.21
2016,2,28.6,36.0,21.1,0.88,0.29
2016,3,42.4,52.8,32.0,2.28,-0.28
2016,4,50.1,61.0,39.3,3.19,0.28
2016,5,59.5,70.9,48.1,4.36,0.71
2016,6,73.0,84.8,61.2,3.7,-1.64
2016,7,72.8,82.6,63.1,5.92,2.85
2016,8,72.0,81.9,62.2,6.14,3.1
2016,9,67.3,77.8,56.8,6.12,3.44
2016,10,55.3,66.3,44.2,2.01,0.05
2016,11,45.1,56.0,34.2,1.39,-0.23
2016,12,22.9,30.4,15.3,1.52,1.26
2017,1,24.2,30.5,17.9,1.56,1.53
2017,2,34.5,45.0,24.0,0.99,0.28
2017,3,37.5,46.8,28.3,2.57,0.84
2017,4,51.1,61.3,40.9,3.8,0.96
2017,5,58.5,69.8,47.2,4.8,1.42
2017,6,71.1,83.6,58.6,3.5,-1.57
2017,7,74.7,85.8,63.6,2.94,-1.17
2017,8,67.8,78.8,56.8,3.83,0.12
2017,9,66.7,79.1,54.3,2.31,-2.07
2017,10,53.3,63.4,43.2,5.26,3.26
2017,11,36.2,46.4,26.0,0.41,-1.42
2017,12,24.4,33.7,15.1,0.39,-1.26
2018,1,17.8,27.0,8.7,1.02,0.1
2018,2,20.5,29.8,11.2,1.54,1.37
2018,3,35.2,43.6,26.8,2.28,0.68
2018,4,39.3,50.6,28.0,1.54,-0.41
2018,5,67.0,78.7,55.3,4.7,-0.14
2018,6,73.1,83.1,63.1,7.55,3.04
2018,7,73.1,83.8,62.4,3.39,-0.06
2018,8,71.8,82.3,61.2,6.42,3.3
2018,9,65.9,75.9,55.9,8.1,5.75
2018,10,48.2,58.3,38.1,4.63,4.3
2018,11,30.0,37.8,22.2,1.81,1.56
2018,12,28.0,35.5,20.5,2.1,2.24
2019,1,18.7,27.0,10.3,1.28,1.03
2019,2,15.3,24.5,6.2,2.34,2.97
2019,3,31.1,40.0,22.2,2.19,0.84
2019,4,49.2,60.8,37.6,3.03,0.2
2019,5,56.6,66.7,46.6,8.21,5.97
2019,6,69.3,79.7,58.9,3.91,-0.78
2019,7,75.1,85.2,65.0,3.38,-0.45
2019,8,69.6,79.9,59.2,3.53,-0.28
2019,9,68.2,78.0,58.4,6.21,2.3
2019,10,47.1,57.2,37.0,4.78,4.2
2019,11,32.4,41.1,23.7,1.49,1.11
2019,12,29.2,38.1,20.2,1.28,0.86
2020,1,23.1,30.4,15.8,1.41,1.26
2020,2,24.9,34.3,15.5,0.43,-0.54
2020,3,40.3,49.5,31.1,2.91,0.97
2020,4,46.7,59.0,34.3,1.65,-1.31
2020,5,57.6,67.3,47.9,4.57,1.28
2020,6,72.9,83.7,62.1,4.95,-0.1
2020,7,75.3,85.9,64.8,2.93,-1.0
2020,8,71.9,84.1,59.8,1.23,-3.4
2020,9,61.9,73.2,50.6,4.07,0.09
2020,10,46.0,56.6,35.3,1.9,-0.14
2020,11,42.0,53.5,30.5,2.09,-0.6
2020,12,27.2,36.7,17.7,1.14,-0.38
2021,1,23.9,31.1,16.7,1.24,0.39
2021,2,12.5,20.5,4.5,0.79,-0.03
2021,3,42.3,52.5,32.1,2.78,0.49
2021,4,49.3,60.8,37.9,1.51,-1.9
2021,5,59.0,69.3,48.6,3.85,0.11
2021,6,73.5,85.7,61.3,3.35,-2.15
2021,7,73.4,83.7,63.0,4.01,0.21
2021,8,72.9,84.1,61.6,4.65,0.6
2021,9,66.6,79.6,53.7,1.81,-2.42
2021,10,55.5,65.7,45.3,5.0,2.7
2021,11,39.2,49.6,28.7,0.98,-1.02
2021,12,31.9,41.9,21.9,0.87,-0.41
2022,1,14.8,26.2,3.4,0.78,-0.13
2022,2,21.2,33.2,9.3,0.28,-0.82
2022,3,37.1,47.6,26.5,2.65,1.01
2022,4,43.8,54.8,32.8,3.22,1.28
2022,5,61.3,72.1,50.5,3.6,-0.54
2022,6,71.6,83.2,60.0,3.53,-1.62
2022,7,74.2,84.9,63.5,3.23,-0.77
2022,8,72.0,83.2,60.9,3.49,-0.81
2022,9,65.1,77.4,52.9,1.9,-2.45
2022,10,50.4,64.6,36.3,0.92,-2.22
2022,11,37.1,47.7,26.4,2.04,-0.91
2022,12,21.3,29.3,13.2,1.69,0.0
2023,1,24.3,31.3,17.3,1.92,1.3
2023,2,26.2,36.7,15.6,2.25,2.55
2023,3,34.0,43.1,24.8,1.47,-0.41
2023,4,49.4,62.3,36.4,2.08,-1.14
2023,5,62.8,75.7,49.9,2.66,-1.96
2023,6,71.3,83.8,58.9,2.8,-2.52
