year,month,tavg,tmax,tmin,pcp,zndx
2000,1,33.3,45.5,21.1,0.42,-0.74
2000,2,41.0,54.8,27.3,1.61,0.63
2000,3,46.3,57.6,35.0,4.16,2.71
2000,4,53.8,68.5,39.2,1.35,-1.25
2000,5,66.5,79.5,53.4,2.67,-1.6
2000,6,72.0,84.5,59.5,4.25,0.65
2000,7,79.0,91.4,66.6,3.68,1.0
2000,8,83.0,97.2,68.7,0.62,-3.52
2000,9,71.1,87.1,55.2,1.01,-2.88
2000,10,59.4,71.0,47.7,3.98,2.06
2000,11,36.8,47.9,25.6,1.24,0.27
2000,12,24.2,34.7,13.7,0.49,-0.65
2001,1,31.0,41.9,20.1,1.31,1.06
2001,2,30.4,40.2,20.6,2.46,3.23
2001,3,41.1,51.9,30.3,1.48,0.26
2001,4,58.3,71.7,44.9,1.81,-1.29
2001,5,65.1,77.5,52.7,5.26,1.96
2001,6,72.9,85.3,60.5,3.81,0.45
2001,7,83.0,95.9,70.1,3.71,1.18
2001,8,79.0,92.7,65.3,2.4,-0.69
2001,9,67.9,80.9,54.8,3.55,0.98
2001,10,56.2,70.5,42.0,1.11,-1.12
2001,11,49.2,62.0,36.5,0.58,-1.93
2001,12,36.9,50.3,23.5,0.27,-1.71
2002,1,33.8,47.3,20.2,1.06,0.03
2002,2,35.9,48.8,22.9,0.42,-1.34
2002,3,39.2,54.1,24.4,0.53,-1.99
2002,4,56.4,69.9,42.8,2.34,-0.72
2002,5,62.1,75.2,49.0,3.9,-0.46
2002,6,76.9,89.7,64.2,2.74,-2.38
2002,7,80.7,93.8,67.6,1.72,-3.01
2002,8,78.4,90.7,66.1,3.09,-1.05
2002,9,70.4,84.0,56.8,1.5,-2.29
2002,10,50.5,60.6,40.3,4.43,3.67
2002,11,42.4,54.7,30.0,0.24,-1.36
2002,12,35.5,47.6,23.4,0.47,-0.91
2003,1,31.8,44.3,19.3,0.18,-1.18
2003,2,31.3,43.1,19.6,1.15,0.42
2003,3,44.2,56.7,31.6,2.22,0.23
2003,4,56.1,69.2,42.8,3.23,0.86
2003,5,62.9,75.5,50.3,3.47,-0.08
2003,6,70.4,82.2,58.7,4.19,0.89
2003,7,81.8,96.0,67.5,0.85,-2.05
2003,8,80.2,93.7,66.7,4.31,0.59
2003,9,65.1,78.3,52.0,2.51,-0.16
2003,10,58.3,72.6,43.9,1.21,-1.41
