,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-02,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-03,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-04,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-05,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-06,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-07,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-08,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-09,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-10,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-11,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2010-12,4712651.0,2285905.0,2426746.0,3293917.0,1232325.0,25814.0,51219.0,1769.0,1821210.0
2011-01,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-02,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-03,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-04,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-05,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-06,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-07,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-08,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-09,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-10,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
2011-11,4747424.0,2302958.0,2444466.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,1831269.0
