,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,36.5,27.6,45.4,3.92,0.18,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,36.5,28.0,44.9,3.32,-0.33,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,50.5,38.7,62.2,2.99,-1.67,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,63.4,51.0,75.7,3.06,-1.81,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,71.3,60.4,82.1,6.2,0.43,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,81.6,71.1,92.1,2.61,-1.95,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,82.0,72.2,91.7,4.46,-0.35,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,3.0,83.9,72.1,95.7,1.73,-2.46,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,3.0,74.8,62.5,87.0,3.3,-0.82,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,62.7,47.1,78.3,1.31,-2.29,362204.0,417682.0,453863.0,175196.0,344057.0,415921.0,473062.0,230699.0,2872684.0,1408945.0,1463739.0,2253875.0,445197.0,19192.0,33327.0,4133.0,1117154.0,0.0,3.0,3.0,0.0,2.0,0.0,3.0,-0.8660254037844386,0.5
