,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,1.2107528277522954
2010-02,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264962,0.7133708190395334
2010-03,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.3687636129463088,0.015778040288952595
2010-04,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264976,-0.7053820354007986
2010-05,1.0169852887615682,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,-1.2502707088908618
2010-06,1.0169852887615682,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.016654033921809603,-1.453675654900248
2010-07,1.0169852887615682,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.7262037136073767,-1.2502707088908604
2010-08,1.9314786727730002,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-1.2538736295058936,-0.7053820354007986
2010-09,-0.6068814678942455,1.947189301984225,-0.6050173863117163,-0.5966723063305915,0.8760325875532051,1.4123179573417144,-0.014943554284540998,-1.4489158007263132,0.015778040288952595
2010-10,-0.6068814678942455,1.947189301984225,1.9598860089132888,-0.5966723063305915,1.568099955523654,-0.01536444881942255,1.4127017555045833,-1.2538736295058936,0.7133708190395334
2010-11,-0.6068814678942455,-0.6134471985838669,1.9598860089132888,1.9714763525864754,1.568099955523654,-1.3956130885375784,-0.014943554284540998,-0.7262037136073767,1.2107528277522928
2010-12,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,1.9714763525864754,0.8760325875532051,-0.01536444881942255,-1.3952455152659988,-0.016654033921809603,1.3902147191927885
2011-01,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,1.2107528277522954
2011-02,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264962,0.7133708190395334
2011-03,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.3687636129463088,0.015778040288952595
2011-04,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264976,-0.7053820354007986
2011-05,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,-1.2502707088908618
2011-06,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.016654033921809603,-1.453675654900248
2011-07,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.7262037136073767,-1.2502707088908604
2011-08,1.9314786727730002,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-1.2538736295058936,-0.7053820354007986
2011-09,1.9314786727730002,1.0225810437487193,-0.6050173863117163,-0.5966723063305915,-0.07499369683767547,0.45528337452573786,-0.014943554284540998,-1.4489158007263132,0.015778040288952595
2011-10,-0.6068814678942455,-0.6134471985838669,1.0466847858116846,-0.5966723063305915,-0.07499369683767547,-0.48074207349665476,0.4557020543362361,-1.2538736295058936,0.7133708190395334
2011-11,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,1.0668589652778728,-0.07499369683767547,-0.01536444881942255,-0.4803290118558469,-0.7262037136073767,1.2107528277522928
2011-12,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.016654033921809603,1.3902147191927885
2012-01,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,1.2107528277522954
2012-02,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264962,0.7133708190395334
2012-03,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.3687636129463088,0.015778040288952595
2012-04,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264976,-0.7053820354007986
2012-05,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,-1.2502707088908618
2012-06,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.016654033921809603,-1.453675654900248
2012-07,-0.6068814678942455,1.0225810437487193,-0.6050173863117163,-0.5966723063305915,-0.07499369683767547,0.45528337452573786,-0.014943554284540998,-0.7262037136073767,-1.2502707088908604
2012-08,1.0169852887615682,2.145448691626784,1.0466847858116846,-0.5966723063305915,2.043742688011358,6.507883126698033,0.4557020543362361,-1.2538736295058936,-0.7053820354007986
2012-09,-0.6068814678942455,2.145512083917637,2.1479764836411293,1.0668589652778728,2.0930469542055543,2.88695661409132,6.5074648472820895,-1.4489158007263132,0.015778040288952595
2012-10,-0.6068814678942455,2.1284912538236234,2.1480287891124106,2.152170134562633,2.0933910177344726,-6.042222217853509,2.8872108440565123,-1.2538736295058936,0.7133708190395334
2012-11,-0.6068814678942455,1.947189301984225,2.1325986750844037,2.152246699724487,2.0916625645474767,-1.3956130885375784,-6.042786282149352,-0.7262037136073767,1.2107528277522928
2012-12,-0.6068814678942455,-0.6134471985838669,1.9598860089132888,2.1380055796195867,1.86016125628567,-1.3956130885375784,-1.3952455152659988,-0.016654033921809603,1.3902147191927885
2013-01,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,1.9714763525864754,0.8760325875532051,-0.01536444881942255,-1.3952455152659988,0.6812594871986655,1.2107528277522954
2013-02,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264962,0.7133708190395334
2013-03,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.3687636129463088,0.015778040288952595
2013-04,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,1.1855080170264976,-0.7053820354007986
2013-05,-0.6068814678942455,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,0.6812594871986655,-1.2502707088908618
2013-06,1.0169852887615682,-0.6134471985838669,-0.6050173863117163,-0.5966723063305915,-0.8161252371629827,-0.01536444881942255,-0.014943554284540998,-0.016654033921809603,-1.453675654900248
