year,month,Value
1990,1,0.96
1990,2,1.07
1990,3,0.73
1990,4,0.69
1990,5,0.4
1990,6,0.28
1990,7,2.93
1990,8,2.3
1990,9,2.08
1990,10,0.48
1990,11,0.8
1990,12,1.36
1991,1,1.12
1991,2,0.89
1991,3,3.07
1991,4,0.01
1991,5,0.08
1991,6,0.31
1991,7,0.9
1991,8,1.62
1991,9,1.12
1991,10,0.59
1991,11,1.22
1991,12,1.98
1992,1,1.32
1992,2,1.93
1992,3,2.91
1992,4,0.36
1992,5,1.64
1992,6,0.21
1992,7,1.72
1992,8,3.25
1992,9,0.53
1992,10,0.91
1992,11,0.14
1992,12,3.23
1993,1,5.22
1993,2,3.17
1993,3,1.15
1993,4,0.05
1993,5,0.41
1993,6,0.14
1993,7,0.35
1993,8,2.88
1993,9,0.35
1993,10,1.24
1993,11,1.52
1993,12,0.29
1994,1,0.23
1994,2,1.24
1994,3,1.24
1994,4,0.61
1994,5,0.59
1994,6,0.23
1994,7,0.94
1994,8,1.62
1994,9,1.4
1994,10,0.92
1994,11,1.33
1994,12,2.1
1995,1,2.43
1995,2,1.47
1995,3,1.52
1995,4,0.63
1995,5,0.43
1995,6,0.13
1995,7,0.6
1995,8,1.98
1995,9,1.3
1995,10,0.08
1995,11,0.58
1995,12,0.29
1996,1,0.2
1996,2,1.08
1996,3,0.37
1996,4,0.06
1996,5,0.09
1996,6,0.26
1996,7,1.7
1996,8,1.39
1996,9,1.86
1996,10,0.75
1996,11,0.79
1996,12,0.19
1997,1,1.89
1997,2,0.91
1997,3,0.11
1997,4,0.76
1997,5,0.37
1997,6,0.25
1997,7,0.82
1997,8,2.26
1997,9,2.18
1997,10,0.7
1997,11,0.59
1997,12,1.87
1998,1,0.55
1998,2,3.06
1998,3,1.9
1998,4,0.63
1998,5,0.26
1998,6,0.07
1998,7,2.35
1998,8,1.6
1998,9,1.44
1998,10,1.26
1998,11,0.93
1998,12,0.39
1999,1,0.14
1999,2,0.36
1999,3,0.19
1999,4,1.37
1999,5,0.17
1999,6,0.36
1999,7,3.39
1999,8,2.55
1999,9,1.8
1999,10,0.0
1999,11,0.0
1999,12,0.04
2000,1,0.28
2000,2,0.59
2000,3,1.73
2000,4,0.11
2000,5,0.02
2000,6,0.73
2000,7,0.53
2000,8,2.45
2000,9,0.19
2000,10,3.54
2000,11,0.84
2000,12,0.12
2001,1,1.7
2001,2,1.0
2001,3,1.04
2001,4,0.97
2001,5,0.37
2001,6,0.24
2001,7,1.5
2001,8,2.04
2001,9,0.39
2001,10,0.43
