,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,45.2,36.6,53.7,6.48,2.0
2010-02,0.0,46.8,37.5,56.1,3.65,0.2
2010-03,0.0,49.0,37.2,60.9,2.19,-1.12
2010-04,0.0,50.9,39.0,62.8,3.47,3.06
2010-05,0.0,56.9,44.0,69.8,1.07,1.22
2010-06,2.0,69.1,55.1,83.2,0.26,1.77
2010-07,12.0,76.1,61.2,91.0,0.07,0.62
2010-08,25.0,73.4,58.2,88.6,0.1,-0.64
2010-09,24.0,70.4,54.9,86.0,0.16,-0.99
2010-10,7.0,60.5,49.1,71.9,3.0,3.17
2010-11,2.0,48.6,37.6,59.6,2.6,0.17
2010-12,0.0,45.8,37.7,53.8,8.13,4.47
2011-01,0.0,45.2,34.6,55.7,1.28,-2.53
2011-02,0.0,43.4,32.3,54.6,3.34,0.13
2011-03,0.0,48.7,38.6,58.9,6.41,4.21
2011-04,0.0,53.4,41.1,65.7,1.1,-0.73
2011-05,0.0,57.6,44.8,70.3,1.44,1.79
2011-06,1.0,66.9,53.3,80.5,0.92,2.67
2011-07,9.0,74.2,60.0,88.4,0.22,2.31
2011-08,36.0,75.2,59.8,90.5,0.1,0.17
2011-09,50.0,72.2,57.3,87.2,0.28,-0.62
2011-10,14.0,61.4,48.4,74.3,1.54,0.31
2011-11,0.0,48.2,37.5,58.9,1.69,-1.11
2011-12,0.0,42.8,30.6,55.0,0.47,-3.68
2012-01,0.0,46.5,34.4,58.6,3.12,-2.42
2012-02,0.0,46.5,35.0,58.0,1.22,-3.44
2012-03,0.0,48.8,37.3,60.4,4.74,1.61
2012-04,0.0,55.8,43.1,68.4,2.48,1.01
2012-05,0.0,63.9,49.2,78.6,0.2,-1.19
2012-06,3.0,69.3,54.3,84.3,0.32,-0.3
2012-07,18.0,74.7,59.7,89.6,0.26,-0.24
2012-08,94.0,77.8,62.7,92.8,0.3,-0.06
2012-09,124.0,73.1,57.8,88.3,0.1,-1.39
2012-10,52.0,62.2,48.9,75.4,0.99,-0.85
2012-11,5.0,52.5,41.4,63.6,3.57,0.73
2012-12,1.0,43.0,34.3,51.8,6.15,2.59
2013-01,0.0,42.1,31.0,53.2,1.19,-2.39
2013-02,1.0,45.3,33.1,57.6,0.58,-2.84
2013-03,0.0,53.8,41.0,66.5,1.33,-2.84
2013-04,0.0,58.2,44.7,71.7,0.71,-1.95
2013-05,1.0,63.8,50.1,77.5,0.62,-1.31
2013-06,2.0,72.4,57.6,87.2,0.38,-1.82
2013-07,60.0,78.0,63.4,92.7,0.28,-1.72
2013-08,61.0,74.4,59.8,89.0,0.38,-0.24
2013-09,93.0,69.3,55.6,83.1,0.77,0.87
2013-10,17.0,58.5,44.5,72.5,0.26,-1.77
2013-11,2.0,51.9,40.2,63.7,0.99,-2.32
2013-12,0.0,44.1,32.0,56.2,0.44,-3.95
2014-01,0.0,50.1,37.2,63.0,0.54,-5.89
2014-02,0.0,49.8,39.0,60.6,4.02,-1.79
2014-03,1.0,53.5,41.6,65.3,3.28,-0.95
2014-04,0.0,57.7,44.4,71.0,1.06,-1.56
2014-05,1.0,64.6,50.5,78.8,0.35,-3.27
2014-06,11.0,71.9,56.6,87.1,0.06,-4.01
2014-07,61.0,78.4,64.0,92.7,0.22,-2.83
2014-08,222.0,74.9,60.8,89.0,0.45,-0.18
2014-09,210.0,72.2,58.3,86.2,0.72,0.5
2014-10,48.0,64.4,50.8,78.1,1.06,-1.0
2014-11,7.0,53.1,42.0,64.2,1.84,-1.42
2014-12,0.0,46.8,38.9,54.6,6.3,2.13
2015-01,0.0,48.6,37.9,59.4,0.65,-3.81
2015-02,0.0,53.2,41.4,65.0,2.86,-1.55
2015-03,1.0,56.9,43.7,70.2,0.78,-3.96
2015-04,0.0,56.7,43.0,70.3,1.06,-1.31
2015-05,1.0,60.8,48.4,73.2,0.93,-0.44
2015-06,4.0,74.4,59.6,89.1,0.23,-1.66
2015-07,39.0,75.0,61.4,88.5,0.66,-0.75
2015-08,148.0,76.5,62.0,91.0,0.08,-1.18
2015-09,219.0,72.1,58.0,86.2,0.33,-0.66
2015-10,144.0,65.0,52.6,77.5,0.9,-1.38
2015-11,27.0,47.6,36.3,59.0,1.87,-0.86
2015-12,2.0,42.3,32.8,51.7,4.69,0.86
2016-01,0.0,44.5,36.1,52.9,6.39,2.71
2016-02,0.0,51.8,39.3,64.2,1.21,-2.78
2016-03,0.0,52.5,41.3,63.7,4.88,1.8
2016-04,0.0,57.9,45.5,70.4,1.52,-0.68
2016-05,0.0,62.2,49.6,74.8,0.77,-0.03
2016-06,9.0,73.5,58.6,88.3,0.27,-0.55
2016-07,60.0,76.8,61.6,91.9,0.06,-1.85
2016-08,159.0,76.2,61.2,91.2,0.06,-1.44
2016-09,75.0,69.5,54.8,84.2,0.1,-1.23
2016-10,22.0,60.5,49.0,72.0,3.82,4.7
2016-11,5.0,52.8,41.8,63.7,2.16,-0.49
2016-12,5.0,43.4,33.9,53.0,4.49,0.8
2017-01,0.0,42.2,34.0,50.3,9.92,7.1
2017-02,0.0,47.3,39.0,55.6,7.94,4.56
2017-03,1.0,53.4,41.6,65.1,2.45,-1.36
2017-04,0.0,55.6,43.6,67.7,2.76,1.45
2017-05,0.0,63.4,49.7,77.2,0.43,-0.66
2017-06,5.0,72.8,58.2,87.3,0.26,-0.17
2017-07,56.0,78.8,63.9,93.7,0.09,-1.58
2017-08,149.0,77.9,63.6,92.1,0.27,-0.92
