year,month,Value
1990,1,0.96
1990,2,1.08
1990,3,1.99
1990,4,2.08
1990,5,1.97
1990,6,0.74
1990,7,3.25
1990,8,1.76
1990,9,2.1
1990,10,1.61
1990,11,1.41
1990,12,0.95
1991,1,0.8
1991,2,0.44
1991,3,1.98
1991,4,1.27
1991,5,1.63
1991,6,1.88
1991,7,2.69
1991,8,2.44
1991,9,1.36
1991,10,1.06
1991,11,2.28
1991,12,0.82
1992,1,0.7
1992,2,0.83
1992,3,2.18
1992,4,0.79
1992,5,2.08
1992,6,2.22
1992,7,2.54
1992,8,2.89
1992,9,0.69
1992,10,0.92
1992,11,1.6
1992,12,1.09
1993,1,1.59
1993,2,2.04
1993,3,1.68
1993,4,1.77
1993,5,2.18
1993,6,1.36
1993,7,1.21
1993,8,2.84
1993,9,1.27
1993,10,1.95
1993,11,1.41
1993,12,0.6
1994,1,0.72
1994,2,1.12
1994,3,1.03
1994,4,2.42
1994,5,1.67
1994,6,1.17
1994,7,1.15
1994,8,2.28
1994,9,1.26
1994,10,1.98
1994,11,1.64
1994,12,0.69
1995,1,1.08
1995,2,1.13
1995,3,2.13
1995,4,2.64
1995,5,4.58
1995,6,2.92
1995,7,1.83
1995,8,1.45
1995,9,1.91
1995,10,0.59
1995,11,0.88
1995,12,0.65
1996,1,1.68
1996,2,1.27
1996,3,1.2
1996,4,1.26
1996,5,2.01
1996,6,1.68
1996,7,2.34
1996,8,1.9
1996,9,2.25
1996,10,1.63
1996,11,1.42
1996,12,1.21
1997,1,1.74
1997,2,1.06
1997,3,0.51
1997,4,2.45
1997,5,1.91
1997,6,2.21
1997,7,2.14
1997,8,3.45
1997,9,2.43
1997,10,2.25
1997,11,1.23
1997,12,0.86
1998,1,0.8
1998,2,1.08
1998,3,1.85
1998,4,1.77
1998,5,1.06
1998,6,1.21
1998,7,3.79
1998,8,1.85
1998,9,0.89
1998,10,2.5
1998,11,1.34
1998,12,0.63
1999,1,1.07
1999,2,0.66
1999,3,0.72
1999,4,4.38
1999,5,2.64
1999,6,1.64
1999,7,2.59
1999,8,3.27
1999,9,1.39
1999,10,0.57
1999,11,0.37
1999,12,0.73
2000,1,1.25
2000,2,1.19
2000,3,2.55
2000,4,1.32
2000,5,1.2
2000,6,1.0
2000,7,1.63
2000,8,2.01
2000,9,1.35
2000,10,1.76
2000,11,0.83
2000,12,0.82
2001,1,1.02
2001,2,1.14
2001,3,1.42
2001,4,1.65
2001,5,2.69
2001,6,0.94
2001,7,2.44
2001,8,1.97
2001,9,1.04
2001,10,0.65
2001,11,1.2
2001,12,0.65
2002,1,0.64
2002,2,0.48
2002,3,0.87
2002,4,0.57
2002,5,0.57
2002,6,0.87
2002,7,1.02
2002,8,1.49
2002,9,2.1
2002,10,1.62
2002,11,0.98
2002,12,0.64
2003,1,0.44
2003,2,1.49
2003,3,2.19
2003,4,1.57
2003,5,1.75
2003,6,2.07
2003,7,1.02
2003,8,1.85
2003,9,1.44
2003,10,0.37
2003,11,1.34
2003,12,0.91
2004,1,0.9
2004,2,1.27
2004,3,0.61
2004,4,3.15
2004,5,0.7
2004,6,1.99
2004,7,2.36
2004,8,1.85
2004,9,2.17
2004,10,1.47
2004,11,1.69
2004,12,0.77
2005,1,1.97
2005,2,1.06
2005,3,1.4
2005,4,1.97
2005,5,1.49
2005,6,2.2
2005,7,1.05
2005,8,2.23
2005,9,1.35
2005,10,2.33
2005,11,0.89
2005,12,1.01
2006,1,0.97
2006,2,0.46
2006,3,1.62
2006,4,0.91
2006,5,0.91
2006,6,0.81
2006,7,3.0
2006,8,2.66
2006,9,2.19
2006,10,2.83
2006,11,0.8
2006,12,1.51
2007,1,1.0
2007,2,0.96
2007,3,1.09
2007,4,2.08
2007,5,2.09
2007,6,1.17
2007,7,2.0
2007,8,2.41
2007,9,1.8
2007,10,1.13
2007,11,0.4
2007,12,2.58
2008,1,1.6
2008,2,1.44
2008,3,1.01
2008,4,1.14
2008,5,1.55
2008,6,0.98
2008,7,1.48
2008,8,3.14
2008,9,1.1
2008,10,1.27
2008,11,0.92
2008,12,1.83
2009,1,0.98
2009,2,0.78
2009,3,1.13
2009,4,2.36
2009,5,1.94
2009,6,2.64
2009,7,2.31
2009,8,1.18
2009,9,1.46
2009,10,2.1
2009,11,0.61
2009,12,1.3
2010,1,0.88
2010,2,1.21
2010,3,1.74
2010,4,2.13
2010,5,1.34
2010,6,1.35
2010,7,2.46
2010,8,2.34
2010,9,0.73
2010,10,1.41
2010,11,0.95
2010,12,1.65
2011,1,0.71
2011,2,1.17
2011,3,1.16
2011,4,2.1
2011,5,2.57
2011,6,0.94
2011,7,2.54
2011,8,1.6
2011,9,1.27
2011,10,1.66
2011,11,0.99
2011,12,0.91
2012,1,0.69
2012,2,1.36
2012,3,0.45
2012,4,1.38
2012,5,0.91
2012,6,0.42
2012,7,2.27
2012,8,1.07
2012,9,1.29
2012,10,0.72
2012,11,0.44
2012,12,1.31
2013,1,0.91
2013,2,0.89
2013,3,1.07
2013,4,1.67
2013,5,1.55
2013,6,0.66
2013,7,2.44
2013,8,2.24
2013,9,3.88
2013,10,1.51
2013,11,1.15
2013,12,0.82
2014,1,1.18
2014,2,1.18
2014,3,1.15
2014,4,1.35
2014,5,2.15
2014,6,1.19
2014,7,2.76
2014,8,2.59
2014,9,2.08
2014,10,1.08
2014,11,1.12
2014,12,1.31
2015,1,0.65
