,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-02,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-03,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-04,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-05,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-06,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-07,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-08,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-09,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
2010-10,-1.6142693762605418,-1.6173147846821565,-1.6108687318403407,-1.63395009070702,-1.6343336152065215,-1.7218525467797106,-1.4163884302534888,-1.4301246662082998,-1.5669243928585905
