year,month,Value
1990,1,34.3
1990,2,32.6
1990,3,38.6
1990,4,47.2
1990,5,54.6
1990,6,66.5
1990,7,71.5
1990,8,70.5
1990,9,61.3
1990,10,55.9
1990,11,43.5
1990,12,36.3
1991,1,26.7
1991,2,32.9
1991,3,39.4
1991,4,50.6
1991,5,62.6
1991,6,68.0
1991,7,71.6
1991,8,70.7
1991,9,60.8
1991,10,53.0
1991,11,42.1
1991,12,33.1
1992,1,28.3
1992,2,29.8
1992,3,33.6
1992,4,44.3
1992,5,56.6
1992,6,64.3
1992,7,68.4
1992,8,67.1
1992,9,61.2
1992,10,48.1
1992,11,39.7
1992,12,30.8
1993,1,29.3
1993,2,23.1
1993,3,33.1
1993,4,47.4
1993,5,59.2
1993,6,66.3
1993,7,72.5
1993,8,71.2
1993,9,61.8
1993,10,48.8
1993,11,40.7
1993,12,30.4
1994,1,18.7
1994,2,22.8
1994,3,35.2
1994,4,48.9
1994,5,56.0
1994,6,68.8
1994,7,75.0
1994,8,68.4
1994,9,61.5
1994,10,50.7
1994,11,45.2
1994,12,35.1
1995,1,32.3
1995,2,25.8
1995,3,39.3
1995,4,45.3
1995,5,55.7
1995,6,67.0
1995,7,73.8
1995,8,70.3
1995,9,60.5
1995,10,54.5
1995,11,37.8
1995,12,26.1
1996,1,25.2
1996,2,27.4
1996,3,33.4
1996,4,46.5
1996,5,55.8
1996,6,67.1
1996,7,69.4
1996,8,69.8
1996,9,62.3
1996,10,50.3
1996,11,37.4
1996,12,35.9
1997,1,26.9
1997,2,33.9
1997,3,35.8
1997,4,45.2
1997,5,54.2
1997,6,66.3
1997,7,70.8
1997,8,68.4
1997,9,61.6
1997,10,50.0
1997,11,38.6
1997,12,32.0
1998,1,33.1
1998,2,35.2
1998,3,39.3
1998,4,48.6
1998,5,61.0
1998,6,65.2
1998,7,71.2
1998,8,71.6
1998,9,64.2
1998,10,51.8
1998,11,41.3
1998,12,36.6
1999,1,27.4
1999,2,31.7
1999,3,37.4
1999,4,47.9
1999,5,58.5
1999,6,68.8
1999,7,74.8
1999,8,69.8
1999,9,64.6
1999,10,50.1
1999,11,45.4
1999,12,33.8
2000,1,24.6
2000,2,31.3
2000,3,41.9
2000,4,46.1
2000,5,57.9
2000,6,66.0
2000,7,67.8
2000,8,67.9
2000,9,61.2
2000,10,51.1
2000,11,40.5
2000,12,26.1
2001,1,25.8
2001,2,29.5
2001,3,34.1
2001,4,47.9
2001,5,58.9
2001,6,68.1
2001,7,68.2
2001,8,72.8
2001,9,62.5
2001,10,52.7
2001,11,45.3
2001,12,37.1
2002,1,33.3
2002,2,34.1
2002,3,38.6
2002,4,50.1
2002,5,55.1
2002,6,65.5
2002,7,72.8
2002,8,71.9
2002,9,64.8
2002,10,49.6
2002,11,40.0
2002,12,29.8
2003,1,21.4
2003,2,23.8
2003,3,36.0
2003,4,44.5
2003,5,55.0
2003,6,64.7
2003,7,71.5
2003,8,72.2
2003,9,63.3
2003,10,49.3
2003,11,43.8
2003,12,32.4
2004,1,18.7
2004,2,28.5
2004,3,38.0
2004,4,48.0
2004,5,59.9
2004,6,65.0
2004,7,70.0
2004,8,69.6
2004,9,63.8
2004,10,50.9
2004,11,41.9
2004,12,30.8
2005,1,24.3
2005,2,29.7
2005,3,32.3
2005,4,49.3
2005,5,53.1
2005,6,69.6
2005,7,72.4
2005,8,73.0
2005,9,66.0
2005,10,52.7
2005,11,43.0
2005,12,28.7
2006,1,33.7
2006,2,29.5
2006,3,36.7
2006,4,49.0
2006,5,57.2
2006,6,67.1
2006,7,74.1
2006,8,69.8
2006,9,61.2
2006,10,51.0
2006,11,46.3
2006,12,38.0
2007,1,31.3
2007,2,23.3
2007,3,35.1
2007,4,44.8
2007,5,59.6
2007,6,66.6
2007,7,70.9
2007,8,70.3
2007,9,64.6
2007,10,57.8
2007,11,39.9
2007,12,30.2
2008,1,29.7
2008,2,29.8
2008,3,36.5
2008,4,49.6
2008,5,55.1
2008,6,68.6
2008,7,73.3
2008,8,67.8
2008,9,63.3
2008,10,50.0
2008,11,40.5
2008,12,32.2
2009,1,21.0
2009,2,30.2
2009,3,36.8
2009,4,49.3
2009,5,57.8
2009,6,64.0
2009,7,68.7
2009,8,71.7
2009,9,61.0
2009,10,49.5
2009,11,46.0
2009,12,30.1
2010,1,27.0
2010,2,29.8
2010,3,43.0
2010,4,52.0
2010,5,60.9
2010,6,68.9
2010,7,75.1
2010,8,71.0
2010,9,65.6
2010,10,52.8
2010,11,41.9
2010,12,28.2
2011,1,23.2
2011,2,27.1
2011,3,37.0
2011,4,48.9
2011,5,59.7
2011,6,66.9
2011,7,74.1
2011,8,70.8
2011,9,66.4
2011,10,53.4
2011,11,45.9
2011,12,36.9
2012,1,31.7
2012,2,35.0
2012,3,45.8
2012,4,49.7
2012,5,61.6
2012,6,66.4
2012,7,74.1
2012,8,72.0
2012,9,63.3
2012,10,54.7
2012,11,39.4
2012,12,35.9
2013,1,28.8
2013,2,29.2
2013,3,36.0
2013,4,47.3
2013,5,58.2
2013,6,67.7
2013,7,75.9
2013,8,68.7
2013,9,61.4
2013,10,53.4
2013,11,39.8
2013,12,31.0
2014,1,23.6
2014,2,25.0
2014,3,30.6
2014,4,46.7
2014,5,58.3
2014,6,66.8
2014,7,71.9
2014,8,68.4
2014,9,63.6
2014,10,54.1
2014,11,39.7
2014,12,35.4
2015,1,23.3
2015,2,15.8
2015,3,31.0
2015,4,47.0
2015,5,62.7
2015,6,65.3
2015,7,72.2
2015,8,72.0
2015,9,67.8
2015,10,51.4
2015,11,46.1
2015,12,43.5
2016,1,29.7
2016,2,32.0
2016,3,43.2
2016,4,46.8
2016,5,58.4
2016,6,67.4
2016,7,74.1
2016,8,73.9
2016,9,66.2
2016,10,53.5
2016,11,43.5
2016,12,32.6
2017,1,32.7
2017,2,34.6
2017,3,33.4
2017,4,51.8
2017,5,56.7
2017,6,67.0
2017,7,71.5
2017,8,69.1
2017,9,66.0
2017,10,58.6
2017,11,41.0
2017,12,28.7
2018,1,25.4
2018,2,35.7
2018,3,36.4
2018,4,43.4
2018,5,62.2
2018,6,66.4
2018,7,74.0
2018,8,74.3
2018,9,66.1
2018,10,52.3
2018,11,39.1
2018,12,33.8
2019,1,27.0
2019,2,30.2
2019,3,35.0
2019,4,49.1
2019,5,57.1
2019,6,66.5
2019,7,74.9
2019,8,70.6
2019,9,63.2
2019,10,53.6
2019,11,38.1
2019,12,31.7
2020,1,33.0
2020,2,33.9
2020,3,41.4
2020,4,44.4
2020,5,56.4
2020,6,68.4
2020,7,75.6
2020,8,72.6
2020,9,63.5
2020,10,53.2
2020,11,45.4
2020,12,33.6
2021,1,29.2
2021,2,28.5
2021,3,39.3
2021,4,48.7
2021,5,57.8
2021,6,69.2
2021,7,71.1
2021,8,72.8
2021,9,65.2
2021,10,56.8
2021,11,41.0
2021,12,37.0
2022,1,24.3
2022,2,30.8
2022,3,39.1
2022,4,47.7
2022,5,60.8
2022,6,66.4
2022,7,74.3
2022,8,74.6
2022,9,63.7
2022,10,52.5
2022,11,45.2
2022,12,33.6
