year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,CT,421387.0,490990.0,596378.0,195380.0,400733.0,483081.0,627123.0,279415.0,3494487.0,1704135.0,1790352.0,2792362.0,330186.0,8169.0,117515.0,1292.0,1327482.0,
2010,CT,424047.0,484973.0,611260.0,204554.0,403476.0,484332.0,646046.0,287149.0,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0,0400000US09
2011,CT,420051.0,485194.0,617122.0,209022.0,400153.0,484811.0,651367.0,290452.0,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0,0400000US09
2012,CT,415960.0,487984.0,620894.0,214684.0,396252.0,485174.0,656127.0,295138.0,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0,0400000US09
2013,CT,411259.0,490711.0,622997.0,220397.0,392786.0,487078.0,658446.0,299887.0,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0,0400000US09
2014,CT,406711.0,495200.0,622642.0,226068.0,388374.0,490321.0,657726.0,305011.0,3592053.0,1750621.0,1841432.0,2789105.0,365871.0,8036.0,145842.0,1105.0,1356206.0,0400000US09
2015,CT,401268.0,499927.0,618551.0,231861.0,383468.0,490814.0,656916.0,310417.0,3593222.0,1751607.0,1841615.0,2778362.0,370501.0,8908.0,150670.0,981.0,1352583.0,0400000US09
2016,CT,395521.0,503152.0,613337.0,238260.0,378131.0,490843.0,652563.0,316763.0,3588570.0,1750270.0,1838300.0,2768080.0,372696.0,9399.0,152782.0,1031.0,1354713.0,0400000US09
2017,CT,390528.0,505694.0,609776.0,248048.0,372204.0,493784.0,646735.0,327709.0,3594478.0,1754046.0,1840432.0,2757064.0,376240.0,9385.0,156450.0,931.0,1361755.0,0400000US09
2018,CT,384962.0,506220.0,601922.0,254027.0,367663.0,494351.0,638806.0,333553.0,3581504.0,1747131.0,1834373.0,2734880.0,378262.0,9698.0,158817.0,1173.0,1367374.0,0400000US09
2019,CT,380414.0,506828.0,595970.0,261033.0,363419.0,493718.0,633672.0,340020.0,3575074.0,1744245.0,1830829.0,2714031.0,383416.0,9955.0,161257.0,1123.0,1370746.0,0400000US09
2020,CT,375735.0,507617.0,590125.0,268211.0,359849.0,496024.0,625733.0,347255.0,3570549.0,1741688.0,1828861.0,2649994.0,382161.0,9079.0,163262.0,1189.0,1385437.0,0400000US09
