,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-02,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-03,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-04,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-05,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-06,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-07,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-08,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-09,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-10,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-11,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2010-12,3545837.0,1724834.0,1821003.0,2795926.0,342764.0,7959.0,129904.0,1332.0,1359218.0
2011-01,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-02,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-03,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-04,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-05,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-06,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-07,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-08,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-09,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-10,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-11,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2011-12,3558172.0,1731389.0,1826783.0,2796198.0,347941.0,8104.0,134108.0,1327.0,1360115.0
2012-01,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-02,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-03,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-04,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-05,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-06,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-07,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-08,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-09,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-10,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-11,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2012-12,3572213.0,1739522.0,1832691.0,2802217.0,355660.0,8531.0,138355.0,1472.0,1360184.0
2013-01,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-02,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-03,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-04,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-05,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-06,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-07,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-08,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-09,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-10,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-11,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2013-12,3583561.0,1745364.0,1838197.0,2792554.0,361668.0,8770.0,141709.0,1304.0,1355849.0
2014-01,3592053.0,1750621.0,1841432.0,2789105.0,365871.0,8036.0,145842.0,1105.0,1356206.0
2014-02,3592053.0,1750621.0,1841432.0,2789105.0,365871.0,8036.0,145842.0,1105.0,1356206.0
2014-03,3592053.0,1750621.0,1841432.0,2789105.0,365871.0,8036.0,145842.0,1105.0,1356206.0
