year,month,Value
1990,1,41.5
1990,2,42.3
1990,3,46.8
1990,4,53.5
1990,5,61.3
1990,6,71.4
1990,7,77.0
1990,8,74.2
1990,9,66.0
1990,10,60.8
1990,11,48.9
1990,12,42.7
1991,1,35.8
1991,2,40.5
1991,3,46.2
1991,4,54.8
1991,5,68.5
1991,6,72.6
1991,7,77.1
1991,8,75.7
1991,9,67.0
1991,10,57.4
1991,11,46.7
1991,12,40.8
1992,1,36.1
1992,2,37.6
1992,3,41.4
1992,4,51.5
1992,5,58.9
1992,6,68.1
1992,7,75.8
1992,8,71.4
1992,9,67.3
1992,10,53.6
1992,11,46.8
1992,12,38.5
1993,1,38.1
1993,2,31.9
1993,3,40.0
1993,4,52.0
1993,5,63.8
1993,6,71.4
1993,7,78.7
1993,8,75.5
1993,9,68.4
1993,10,55.8
1993,11,46.6
1993,12,36.0
1994,1,28.0
1994,2,33.5
1994,3,42.8
1994,4,57.7
1994,5,59.4
1994,6,74.4
1994,7,78.3
1994,8,72.2
1994,9,66.0
1994,10,54.8
1994,11,51.1
1994,12,42.0
1995,1,38.2
1995,2,32.6
1995,3,45.9
1995,4,53.5
1995,5,61.9
1995,6,71.2
1995,7,78.2
1995,8,76.4
1995,9,68.0
1995,10,59.8
1995,11,42.6
1995,12,32.9
1996,1,32.6
1996,2,34.8
1996,3,39.6
1996,4,53.3
1996,5,60.6
1996,6,72.3
1996,7,74.2
1996,8,73.2
1996,9,68.1
1996,10,56.8
1996,11,41.5
1996,12,41.3
1997,1,34.1
1997,2,40.8
1997,3,45.5
1997,4,51.1
1997,5,59.7
1997,6,69.3
1997,7,76.1
1997,8,73.6
1997,9,67.1
1997,10,57.0
1997,11,44.8
1997,12,38.9
1998,1,41.6
1998,2,41.3
1998,3,45.7
1998,4,55.2
1998,5,64.8
1998,6,71.3
1998,7,76.0
1998,8,75.2
1998,9,71.2
1998,10,57.5
1998,11,47.1
1998,12,42.0
1999,1,38.1
1999,2,38.3
1999,3,42.2
1999,4,53.4
1999,5,63.0
1999,6,71.3
1999,7,79.2
1999,8,76.2
1999,9,68.6
1999,10,55.9
1999,11,51.4
1999,12,40.5
2000,1,33.3
2000,2,39.2
2000,3,48.7
2000,4,52.4
2000,5,64.7
2000,6,73.0
2000,7,72.8
2000,8,73.1
2000,9,66.2
2000,10,57.6
2000,11,44.6
2000,12,31.3
2001,1,33.1
2001,2,38.6
2001,3,41.2
2001,4,53.9
2001,5,63.2
2001,6,73.5
2001,7,72.9
2001,8,76.7
2001,9,66.5
2001,10,57.6
2001,11,51.5
2001,12,44.4
2002,1,40.0
2002,2,40.9
2002,3,46.4
2002,4,57.1
2002,5,62.7
2002,6,73.0
2002,7,78.0
2002,8,78.0
2002,9,70.1
2002,10,57.9
2002,11,45.8
2002,12,36.0
2003,1,29.6
2003,2,32.1
2003,3,45.1
2003,4,52.0
2003,5,59.0
2003,6,70.0
2003,7,76.3
2003,8,76.5
2003,9,69.3
2003,10,55.8
2003,11,51.5
2003,12,37.8
2004,1,28.8
2004,2,36.1
2004,3,46.1
2004,4,54.7
2004,5,69.6
2004,6,71.3
2004,7,76.1
2004,8,74.0
2004,9,69.4
2004,10,56.2
2004,11,48.6
2004,12,39.0
2005,1,34.3
2005,2,36.7
2005,3,40.1
2005,4,54.3
2005,5,58.4
2005,6,72.7
2005,7,77.9
2005,8,77.9
2005,9,71.9
2005,10,58.8
2005,11,50.1
2005,12,35.6
2006,1,42.1
2006,2,37.1
2006,3,44.6
2006,4,56.3
2006,5,63.0
2006,6,72.1
2006,7,78.3
2006,8,77.1
2006,9,66.3
2006,10,56.2
2006,11,50.9
2006,12,43.9
2007,1,40.1
2007,2,29.6
2007,3,45.2
2007,4,51.0
2007,5,64.3
2007,6,72.9
2007,7,76.1
2007,8,76.6
2007,9,70.0
2007,10,64.1
2007,11,46.4
2007,12,39.2
2008,1,36.7
2008,2,39.1
2008,3,45.7
2008,4,55.4
