year,month,Value
1990,1,3.63
1990,2,1.94
1990,3,3.3
1990,4,3.84
1990,5,7.46
1990,6,1.97
1990,7,5.01
1990,8,5.43
1990,9,2.11
1990,10,2.64
1990,11,1.61
1990,12,4.09
1991,1,4.72
1991,2,1.23
1991,3,5.47
1991,4,3.17
1991,5,1.61
1991,6,3.4
1991,7,5.32
1991,8,4.47
1991,9,4.32
1991,10,2.37
1991,11,0.9
1991,12,4.86
1992,1,1.31
1992,2,2.99
1992,3,3.82
1992,4,1.65
1992,5,4.13
1992,6,2.77
1992,7,3.51
1992,8,6.57
1992,9,4.82
1992,10,1.61
1992,11,3.44
1992,12,3.92
1993,1,3.2
1993,2,2.66
1993,3,6.71
1993,4,4.52
1993,5,2.94
1993,6,2.62
1993,7,2.12
1993,8,3.91
1993,9,4.13
1993,10,3.86
1993,11,3.28
1993,12,4.49
1994,1,4.67
1994,2,4.96
1994,3,8.36
1994,4,3.11
1994,5,3.24
1994,6,2.55
1994,7,5.67
1994,8,4.94
1994,9,3.69
1994,10,1.0
1994,11,3.41
1994,12,1.71
1995,1,3.36
1995,2,2.3
1995,3,2.3
1995,4,2.33
1995,5,4.49
1995,6,2.58
1995,7,3.1
1995,8,1.51
1995,9,3.84
1995,10,6.05
1995,11,4.27
1995,12,2.26
1996,1,4.94
1996,2,2.66
1996,3,3.6
1996,4,4.61
1996,5,5.83
1996,6,5.89
1996,7,6.3
1996,8,4.26
1996,9,5.35
1996,10,4.72
1996,11,2.03
1996,12,7.71
1997,1,2.48
1997,2,2.99
1997,3,4.9
1997,4,3.36
1997,5,2.89
1997,6,2.66
1997,7,2.62
1997,8,4.9
1997,9,2.09
1997,10,3.02
1997,11,6.35
1997,12,2.85
1998,1,6.14
1998,2,5.53
1998,3,5.2
1998,4,3.14
1998,5,4.16
1998,6,3.57
1998,7,1.84
1998,8,3.39
1998,9,2.25
1998,10,2.35
1998,11,1.22
1998,12,2.75
1999,1,5.84
1999,2,2.73
1999,3,4.76
1999,4,2.88
1999,5,1.54
1999,6,2.11
1999,7,2.21
1999,8,4.52
1999,9,10.37
1999,10,3.8
1999,11,2.1
1999,12,2.78
2000,1,3.33
2000,2,2.12
2000,3,7.01
2000,4,3.83
2000,5,3.36
2000,6,4.91
2000,7,6.03
2000,8,4.55
2000,9,5.48
2000,10,0.31
2000,11,2.45
2000,12,2.81
2001,1,3.06
2001,2,2.94
2001,3,5.61
2001,4,1.84
2001,5,3.8
2001,6,5.1
2001,7,4.96
2001,8,6.27
2001,9,2.1
2001,10,0.94
2001,11,0.57
2001,12,2.03
2002,1,2.5
2002,2,0.69
2002,3,4.77
2002,4,4.04
2002,5,3.2
2002,6,2.92
2002,7,2.41
2002,8,2.88
2002,9,6.14
2002,10,7.33
2002,11,5.5
2002,12,4.09
2003,1,1.59
2003,2,6.25
2003,3,4.13
2003,4,3.46
2003,5,4.79
2003,6,6.4
2003,7,5.35
2003,8,5.17
2003,9,5.84
2003,10,3.94
2003,11,5.07
2003,12,5.83
2004,1,2.31
2004,2,2.21
2004,3,2.7
2004,4,5.5
2004,5,3.15
2004,6,3.43
2004,7,5.85
2004,8,6.51
2004,9,3.78
2004,10,1.91
2004,11,4.58
2004,12,2.78
2005,1,4.39
2005,2,2.12
2005,3,4.11
2005,4,3.88
2005,5,4.61
2005,6,4.31
2005,7,5.13
2005,8,2.49
2005,9,0.59
2005,10,8.06
2005,11,3.47
2005,12,3.71
2006,1,3.91
2006,2,1.53
2006,3,0.29
2006,4,3.16
2006,5,1.84
