year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,DE,105148.0,125040.0,138173.0,51180.0,100081.0,127802.0,148739.0,67669.0,863832.0,419541.0,444291.0,626289.0,176743.0,2588.0,25084.0,134.0,325160.0,
2010,DE,105005.0,126773.0,142093.0,53347.0,100264.0,129955.0,154276.0,69565.0,881278.0,427218.0,454060.0,626426.0,185253.0,3076.0,27914.0,457.0,331639.0,0400000US10
2011,DE,105198.0,127292.0,144490.0,55245.0,100257.0,129977.0,157091.0,71306.0,890856.0,432225.0,458631.0,630804.0,188519.0,3109.0,28726.0,442.0,332837.0,0400000US10
2012,DE,105018.0,128299.0,145644.0,57377.0,100583.0,131168.0,158542.0,73500.0,900131.0,436338.0,463793.0,634259.0,192629.0,2877.0,29177.0,377.0,334076.0,0400000US10
2013,DE,104431.0,129288.0,146672.0,59594.0,100506.0,132512.0,159391.0,76052.0,908446.0,439985.0,468461.0,635474.0,194964.0,3010.0,30422.0,567.0,335707.0,0400000US10
2014,DE,104009.0,130694.0,146986.0,62234.0,100507.0,133513.0,160269.0,78848.0,917060.0,443923.0,473137.0,639354.0,198028.0,3134.0,31745.0,494.0,339046.0,0400000US10
2015,DE,103677.0,131891.0,147673.0,65172.0,100477.0,134639.0,160889.0,82036.0,926454.0,448413.0,478041.0,642623.0,200481.0,3140.0,33643.0,306.0,344022.0,0400000US10
2016,DE,103694.0,132554.0,147883.0,68285.0,100498.0,134902.0,161331.0,85548.0,934695.0,452416.0,482279.0,647002.0,203027.0,3494.0,34428.0,461.0,348051.0,0400000US10
2017,DE,103546.0,134072.0,147872.0,71386.0,100507.0,135538.0,161632.0,89179.0,943732.0,456876.0,486856.0,652170.0,206290.0,3482.0,36553.0,465.0,352357.0,0400000US10
2018,DE,103155.0,134439.0,147530.0,74446.0,100271.0,134505.0,162466.0,92683.0,949495.0,459570.0,489925.0,654905.0,209892.0,3455.0,36723.0,477.0,357765.0,0400000US10
2019,DE,103076.0,134523.0,147615.0,77676.0,100608.0,134126.0,163126.0,96498.0,957248.0,462890.0,494358.0,658237.0,212302.0,3729.0,37009.0,542.0,363322.0,0400000US10
2020,DE,103400.0,135110.0,148009.0,81201.0,100807.0,134202.0,164127.0,100823.0,967679.0,467720.0,499959.0,652587.0,212795.0,3560.0,38528.0,705.0,370953.0,0400000US10
