,fips,state,year,month,count
2000-01,10,DE,2000,1,0
2000-02,10,DE,2000,2,0
2000-03,10,DE,2000,3,0
2000-04,10,DE,2000,4,0
2000-05,10,DE,2000,5,0
2000-06,10,DE,2000,6,0
2000-07,10,DE,2000,7,0
2000-08,10,DE,2000,8,0
2000-09,10,DE,2000,9,0
2000-10,10,DE,2000,10,0
2000-11,10,DE,2000,11,0
2000-12,10,DE,2000,12,0
2001-01,10,DE,2001,1,0
2001-02,10,DE,2001,2,0
2001-03,10,DE,2001,3,0
2001-04,10,DE,2001,4,0
2001-05,10,DE,2001,5,0
2001-06,10,DE,2001,6,0
2001-07,10,DE,2001,7,0
2001-08,10,DE,2001,8,0
2001-09,10,DE,2001,9,0
2001-10,10,DE,2001,10,0
2001-11,10,DE,2001,11,0
2001-12,10,DE,2001,12,0
2002-01,10,DE,2002,1,0
2002-02,10,DE,2002,2,0
2002-03,10,DE,2002,3,0
2002-04,10,DE,2002,4,0
2002-05,10,DE,2002,5,0
2002-06,10,DE,2002,6,0
2002-07,10,DE,2002,7,0
2002-08,10,DE,2002,8,0
2002-09,10,DE,2002,9,0
2002-10,10,DE,2002,10,0
2002-11,10,DE,2002,11,0
2002-12,10,DE,2002,12,0
2003-01,10,DE,2003,1,0
2003-02,10,DE,2003,2,0
2003-03,10,DE,2003,3,0
2003-04,10,DE,2003,4,0
2003-05,10,DE,2003,5,0
2003-06,10,DE,2003,6,0
2003-07,10,DE,2003,7,0
2003-08,10,DE,2003,8,1
2003-09,10,DE,2003,9,10
2003-10,10,DE,2003,10,1
2003-11,10,DE,2003,11,0
2003-12,10,DE,2003,12,0
2004-01,10,DE,2004,1,0
2004-02,10,DE,2004,2,0
2004-03,10,DE,2004,3,0
2004-04,10,DE,2004,4,0
2004-05,10,DE,2004,5,0
2004-06,10,DE,2004,6,0
2004-07,10,DE,2004,7,0
2004-08,10,DE,2004,8,0
2004-09,10,DE,2004,9,0
2004-10,10,DE,2004,10,0
2004-11,10,DE,2004,11,0
2004-12,10,DE,2004,12,0
2005-01,10,DE,2005,1,0
2005-02,10,DE,2005,2,0
2005-03,10,DE,2005,3,0
2005-04,10,DE,2005,4,0
2005-05,10,DE,2005,5,0
2005-06,10,DE,2005,6,0
2005-07,10,DE,2005,7,0
2005-08,10,DE,2005,8,1
2005-09,10,DE,2005,9,0
2005-10,10,DE,2005,10,0
2005-11,10,DE,2005,11,0
2005-12,10,DE,2005,12,0
2006-01,10,DE,2006,1,0
2006-02,10,DE,2006,2,0
2006-03,10,DE,2006,3,0
2006-04,10,DE,2006,4,0
2006-05,10,DE,2006,5,0
2006-06,10,DE,2006,6,0
2006-07,10,DE,2006,7,0
2006-08,10,DE,2006,8,0
2006-09,10,DE,2006,9,0
2006-10,10,DE,2006,10,0
2006-11,10,DE,2006,11,0
2006-12,10,DE,2006,12,0
2007-01,10,DE,2007,1,0
2007-02,10,DE,2007,2,0
2007-03,10,DE,2007,3,0
2007-04,10,DE,2007,4,0
2007-05,10,DE,2007,5,0
2007-06,10,DE,2007,6,0
2007-07,10,DE,2007,7,0
2007-08,10,DE,2007,8,1
2007-09,10,DE,2007,9,0
2007-10,10,DE,2007,10,0
2007-11,10,DE,2007,11,0
2007-12,10,DE,2007,12,0
2008-01,10,DE,2008,1,0
2008-02,10,DE,2008,2,0
2008-03,10,DE,2008,3,0
2008-04,10,DE,2008,4,0
2008-05,10,DE,2008,5,0
2008-06,10,DE,2008,6,0
2008-07,10,DE,2008,7,0
2008-08,10,DE,2008,8,0
2008-09,10,DE,2008,9,0
2008-10,10,DE,2008,10,0
2008-11,10,DE,2008,11,0
2008-12,10,DE,2008,12,0
2009-01,10,DE,2009,1,0
2009-02,10,DE,2009,2,0
2009-03,10,DE,2009,3,0
2009-04,10,DE,2009,4,0
2009-05,10,DE,2009,5,0
2009-06,10,DE,2009,6,0
2009-07,10,DE,2009,7,0
2009-08,10,DE,2009,8,0
2009-09,10,DE,2009,9,0
2009-10,10,DE,2009,10,0
2009-11,10,DE,2009,11,0
2009-12,10,DE,2009,12,0
2010-01,10,DE,2010,1,0
2010-02,10,DE,2010,2,0
2010-03,10,DE,2010,3,0
2010-04,10,DE,2010,4,0
2010-05,10,DE,2010,5,0
2010-06,10,DE,2010,6,0
2010-07,10,DE,2010,7,0
2010-08,10,DE,2010,8,0
2010-09,10,DE,2010,9,0
2010-10,10,DE,2010,10,0
2010-11,10,DE,2010,11,0
2010-12,10,DE,2010,12,0
2011-01,10,DE,2011,1,0
2011-02,10,DE,2011,2,0
2011-03,10,DE,2011,3,0
2011-04,10,DE,2011,4,0
2011-05,10,DE,2011,5,0
2011-06,10,DE,2011,6,0
2011-07,10,DE,2011,7,0
2011-08,10,DE,2011,8,0
2011-09,10,DE,2011,9,1
2011-10,10,DE,2011,10,0
2011-11,10,DE,2011,11,0
2011-12,10,DE,2011,12,0
2012-01,10,DE,2012,1,0
2012-02,10,DE,2012,2,0
2012-03,10,DE,2012,3,0
2012-04,10,DE,2012,4,0
2012-05,10,DE,2012,5,0
2012-06,10,DE,2012,6,0
2012-07,10,DE,2012,7,0
2012-08,10,DE,2012,8,0
2012-09,10,DE,2012,9,2
2012-10,10,DE,2012,10,0
2012-11,10,DE,2012,11,0
2012-12,10,DE,2012,12,0
2013-01,10,DE,2013,1,0
2013-02,10,DE,2013,2,0
2013-03,10,DE,2013,3,0
2013-04,10,DE,2013,4,0
2013-05,10,DE,2013,5,0
2013-06,10,DE,2013,6,0
2013-07,10,DE,2013,7,0
2013-08,10,DE,2013,8,2
2013-09,10,DE,2013,9,0
2013-10,10,DE,2013,10,1
2013-11,10,DE,2013,11,0
2013-12,10,DE,2013,12,0
2014-01,10,DE,2014,1,0
2014-02,10,DE,2014,2,0
2014-03,10,DE,2014,3,0
2014-04,10,DE,2014,4,0
2014-05,10,DE,2014,5,0
2014-06,10,DE,2014,6,0
2014-07,10,DE,2014,7,0
2014-08,10,DE,2014,8,0
2014-09,10,DE,2014,9,0
2014-10,10,DE,2014,10,0
2014-11,10,DE,2014,11,0
2014-12,10,DE,2014,12,0
2015-01,10,DE,2015,1,0
2015-02,10,DE,2015,2,0
2015-03,10,DE,2015,3,0
2015-04,10,DE,2015,4,0
2015-05,10,DE,2015,5,0
2015-06,10,DE,2015,6,0
2015-07,10,DE,2015,7,0
2015-08,10,DE,2015,8,0
2015-09,10,DE,2015,9,0
2015-10,10,DE,2015,10,0
2015-11,10,DE,2015,11,0
2015-12,10,DE,2015,12,0
2016-01,10,DE,2016,1,0
2016-02,10,DE,2016,2,0
2016-03,10,DE,2016,3,0
2016-04,10,DE,2016,4,0
2016-05,10,DE,2016,5,0
2016-06,10,DE,2016,6,0
2016-07,10,DE,2016,7,0
2016-08,10,DE,2016,8,0
2016-09,10,DE,2016,9,0
2016-10,10,DE,2016,10,0
2016-11,10,DE,2016,11,0
2016-12,10,DE,2016,12,0
2017-01,10,DE,2017,1,0
2017-02,10,DE,2017,2,0
2017-03,10,DE,2017,3,0
2017-04,10,DE,2017,4,0
2017-05,10,DE,2017,5,0
2017-06,10,DE,2017,6,0
2017-07,10,DE,2017,7,0
2017-08,10,DE,2017,8,0
2017-09,10,DE,2017,9,0
2017-10,10,DE,2017,10,0
2017-11,10,DE,2017,11,0
2017-12,10,DE,2017,12,0
2018-01,10,DE,2018,1,0
2018-02,10,DE,2018,2,0
2018-03,10,DE,2018,3,0
2018-04,10,DE,2018,4,0
2018-05,10,DE,2018,5,0
2018-06,10,DE,2018,6,0
2018-07,10,DE,2018,7,2
2018-08,10,DE,2018,8,2
2018-09,10,DE,2018,9,3
2018-10,10,DE,2018,10,1
2018-11,10,DE,2018,11,0
2018-12,10,DE,2018,12,0
2019-01,10,DE,2019,1,0
2019-02,10,DE,2019,2,0
2019-03,10,DE,2019,3,0
2019-04,10,DE,2019,4,0
2019-05,10,DE,2019,5,0
2019-06,10,DE,2019,6,0
2019-07,10,DE,2019,7,0
2019-08,10,DE,2019,8,0
2019-09,10,DE,2019,9,0
2019-10,10,DE,2019,10,0
2019-11,10,DE,2019,11,0
2019-12,10,DE,2019,12,0
2020-01,10,DE,2020,1,0
2020-02,10,DE,2020,2,0
2020-03,10,DE,2020,3,0
2020-04,10,DE,2020,4,0
2020-05,10,DE,2020,5,0
2020-06,10,DE,2020,6,0
