,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-02,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-03,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-04,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-05,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-06,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-07,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-08,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-09,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-10,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-11,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2010-12,18511620.0,9050155.0,9461465.0,14115228.0,2900412.0,54570.0,444584.0,10797.0,7152844.0
2011-01,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-02,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-03,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-04,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-05,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-06,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-07,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-08,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-09,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-10,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-11,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2011-12,18688787.0,9138819.0,9549968.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,7140096.0
2012-01,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-02,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-03,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-04,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-05,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-06,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-07,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-08,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-09,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-10,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-11,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2012-12,18885152.0,9232292.0,9652860.0,14438364.0,3005551.0,58119.0,464587.0,11575.0,7147013.0
2013-01,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-02,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-03,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-04,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-05,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-06,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-07,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-08,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-09,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-10,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-11,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2013-12,19091156.0,9332589.0,9758567.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,7158980.0
2014-01,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-02,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-03,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-04,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-05,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-06,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-07,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-08,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-09,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-10,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-11,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2014-12,19361792.0,9464651.0,9897141.0,14747196.0,3114841.0,59121.0,490833.0,12128.0,7217508.0
2015-01,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-02,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-03,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-04,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-05,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-06,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-07,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-08,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-09,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-10,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-11,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2015-12,19645772.0,9600009.0,10045763.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,7300494.0
2016-01,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0
2016-02,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0
2016-03,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0
2016-04,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0
2016-05,19934451.0,9741262.0,10193189.0,15130748.0,3216994.0,52904.0,521272.0,11288.0,7393262.0
