,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,52.5,40.9,41.2,4.23,2.08
2010-02,0.0,52.6,41.8,38.3,3.7,1.2
2010-03,0.0,59.0,47.4,57.9,5.87,2.66
2010-04,0.0,69.7,57.9,69.8,2.75,-0.4
2010-05,0.0,78.5,68.4,77.2,4.22,-0.35
2010-06,0.0,83.1,73.0,88.1,5.24,-2.25
2010-07,2.0,83.4,74.4,90.3,6.0,-2.57
2010-08,2.0,83.5,75.1,86.9,8.16,-0.24
2010-09,3.0,80.9,71.2,82.5,4.33,-2.84
2010-10,2.0,72.1,59.6,68.7,0.44,-3.98
2010-11,0.0,64.9,52.8,57.5,2.07,-1.54
2010-12,0.0,50.1,37.1,39.1,1.11,-2.36
2011-01,0.0,54.9,43.3,37.8,4.24,1.43
2011-02,0.0,61.8,50.2,49.8,1.93,-1.68
2011-03,0.0,66.5,53.9,53.5,4.06,-0.12
2011-04,0.0,73.0,60.2,67.7,2.16,-1.67
2011-05,0.0,76.2,63.7,77.0,1.61,-3.0
2011-06,1.0,82.1,70.7,85.2,4.74,-3.24
2011-07,8.0,82.6,73.3,91.6,6.96,-1.99
2011-08,5.0,83.7,74.1,85.5,6.65,-2.43
2011-09,4.0,79.7,70.1,78.8,5.53,-1.76
2011-10,2.0,70.5,59.8,67.3,5.73,1.89
2011-11,0.0,66.4,55.6,61.2,1.41,-1.77
2011-12,0.0,62.8,52.0,53.7,1.75,-2.33
2012-01,0.0,59.3,46.5,49.4,1.13,-2.28
2012-02,0.0,64.3,54.1,51.0,2.53,-1.86
2012-03,0.0,70.3,58.8,63.1,2.34,-3.1
2012-04,0.0,71.2,59.0,66.8,2.63,-1.47
2012-05,0.0,77.6,66.5,77.9,5.29,-0.13
2012-06,2.0,79.3,70.3,84.2,12.57,5.09
2012-07,8.0,82.4,72.8,91.1,5.84,-1.5
2012-08,21.0,81.5,73.0,85.9,10.38,3.62
2012-09,12.0,79.5,70.5,79.1,5.59,-0.96
2012-10,7.0,73.2,63.7,68.8,3.65,0.04
2012-11,2.0,62.1,50.5,53.0,0.43,-1.66
2012-12,0.0,62.0,50.7,52.5,2.71,-0.27
2013-01,0.0,64.0,53.2,45.9,0.8,-2.83
2013-02,0.0,61.8,50.3,43.9,4.43,0.91
2013-03,0.0,59.1,46.3,49.1,1.94,-1.1
2013-04,0.0,71.4,60.3,65.6,3.96,0.61
2013-05,0.0,74.0,63.0,73.6,4.62,1.2
2013-06,0.0,81.1,72.3,83.0,8.63,1.96
2013-07,0.0,80.8,72.7,87.8,11.68,4.97
2013-08,1.0,82.2,73.5,82.3,7.56,0.67
2013-09,2.0,80.0,71.1,77.7,6.05,-0.64
2013-10,1.0,74.0,64.0,69.2,1.58,-2.4
2013-11,1.0,67.1,57.7,55.1,3.11,0.29
2013-12,0.0,64.7,54.5,49.5,2.51,-0.94
2014-01,0.0,54.5,43.5,40.3,3.91,1.5
