year,state,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,GEO_ID
2009,GA,1287646.0,1528639.0,1460116.0,389654.0,1226698.0,1496227.0,1551065.0,557622.0,9497667.0,4666055.0,4831612.0,5899345.0,2818524.0,23947.0,268831.0,4988.0,3417298.0,
2010,GA,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0,9468815.0,4626914.0,4841901.0,5788255.0,2873069.0,23234.0,296986.0,4850.0,3468704.0,0400000US13
2011,GA,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0,9600612.0,4691368.0,4909244.0,5849795.0,2922448.0,23979.0,308677.0,4653.0,3490754.0,0400000US13
2012,GA,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0,9714569.0,4747484.0,4967085.0,5903173.0,2970481.0,24937.0,318530.0,4498.0,3508477.0,0400000US13
2013,GA,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0,9810417.0,4793940.0,5016477.0,5948977.0,3010984.0,24496.0,330392.0,4554.0,3518097.0,0400000US13
2014,GA,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0,9907756.0,4837995.0,5069761.0,5989234.0,3056726.0,25137.0,344195.0,4317.0,3540690.0,0400000US13
2015,GA,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0,10006693.0,4883331.0,5123362.0,6025691.0,3096757.0,25887.0,360448.0,4704.0,3574362.0,0400000US13
2016,GA,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0,10099320.0,4922471.0,5176849.0,6039389.0,3148134.0,28950.0,373983.0,4916.0,3611706.0,0400000US13
2017,GA,1272663.0,1538168.0,1594050.0,564006.0,1226540.0,1553547.0,1716237.0,736424.0,10201635.0,4968887.0,5232748.0,6061821.0,3195268.0,30552.0,388946.0,5237.0,3663104.0,0400000US13
2018,GA,1274579.0,1551234.0,1599301.0,587115.0,1226716.0,1568492.0,1724873.0,765174.0,10297484.0,5012229.0,5285255.0,6079976.0,3239300.0,33484.0,402501.0,6095.0,3709488.0,0400000US13
2019,GA,1276666.0,1564956.0,1608903.0,611571.0,1228574.0,1584227.0,1734036.0,794914.0,10403847.0,5062096.0,5341751.0,6098889.0,3289020.0,37440.0,414481.0,6233.0,3758798.0,0400000US13
2020,GA,1276423.0,1582194.0,1620422.0,634897.0,1228891.0,1603504.0,1745784.0,824464.0,10516579.0,5113936.0,5402643.0,6020265.0,3319844.0,34962.0,434603.0,7127.0,3830264.0,0400000US13
