year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,13,,0,46.2,35.2,70.4,4.68,0.01,,,,,,,,,,,,,,,,,
2000,2,2000-02,13,,0,51.6,37.4,73.4,1.8,-2.99,,,,,,,,,,,,,,,,,
2000,3,2000-03,13,,0,59.1,46.0,80.0,4.74,-0.77,,,,,,,,,,,,,,,,,
2000,4,2000-04,13,,0,60.6,47.2,81.1,2.7,-0.94,,,,,,,,,,,,,,,,,
2000,5,2000-05,13,,0,73.9,60.9,89.7,1.0,-3.6,,,,,,,,,,,,,,,,,
2000,6,2000-06,13,,0,78.0,65.4,91.4,3.89,-1.39,,,,,,,,,,,,,,,,,
2000,7,2000-07,13,,0,80.8,68.8,92.5,3.55,-3.06,,,,,,,,,,,,,,,,,
2000,8,2000-08,13,,0,79.5,68.2,91.8,4.22,-1.61,,,,,,,,,,,,,,,,,
2000,9,2000-09,13,,0,72.6,63.1,88.3,6.68,2.8,,,,,,,,,,,,,,,,,
2000,10,2000-10,13,,0,63.7,49.5,82.6,0.48,-2.05,,,,,,,,,,,,,,,,,
2000,11,2000-11,13,,0,53.6,41.8,75.4,4.3,1.37,,,,,,,,,,,,,,,,,
2000,12,2000-12,13,,0,40.6,30.0,68.4,3.34,-0.13,,,,,,,,,,,,,,,,,
2001,1,2001-01,13,,0,43.3,31.0,66.3,2.83,-1.19,,,,,,,,,,,,,,,,,
2001,2,2001-02,13,,0,53.6,41.6,76.7,2.02,-2.91,,,,,,,,,,,,,,,,,
2001,3,2001-03,13,,0,53.8,42.7,75.3,8.97,3.65,,,,,,,,,,,,,,,,,
2001,4,2001-04,13,,0,64.2,51.2,82.6,1.84,-2.29,,,,,,,,,,,,,,,,,
2001,5,2001-05,13,,0,70.8,57.5,87.2,2.7,-1.36,,,,,,,,,,,,,,,,,
2001,6,2001-06,13,,0,76.4,66.1,90.3,7.38,3.24,,,,,,,,,,,,,,,,,
2001,7,2001-07,13,,1,79.3,69.2,90.2,5.23,0.25,,,,,,,,,,,,,,,,,
2001,8,2001-08,13,,1,79.3,69.1,90.8,2.93,-1.72,,,,,,,,,,,,,,,,,
2001,9,2001-09,13,,1,72.1,61.2,86.3,3.92,0.35,,,,,,,,,,,,,,,,,
2001,10,2001-10,13,,1,61.7,47.6,81.8,0.86,-1.74,,,,,,,,,,,,,,,,,
2001,11,2001-11,13,,1,59.9,45.8,78.6,1.37,-2.47,,,,,,,,,,,,,,,,,
2001,12,2001-12,13,,1,52.9,40.9,74.5,1.75,-3.19,,,,,,,,,,,,,,,,,
2002,1,2002-01,13,,0,48.1,36.1,70.4,4.11,-1.01,,,,,,,,,,,,,,,,,
2002,2,2002-02,13,,0,48.4,35.2,71.3,2.33,-2.21,,,,,,,,,,,,,,,,,
2002,3,2002-03,13,,0,56.9,43.0,79.1,5.6,0.26,,,,,,,,,,,,,,,,,
2002,4,2002-04,13,,0,67.9,56.0,84.7,2.18,-2.52,,,,,,,,,,,,,,,,,
2002,5,2002-05,13,,0,70.2,57.4,88.3,3.15,-0.83,,,,,,,,,,,,,,,,,
2002,6,2002-06,13,,0,77.4,66.3,88.7,3.51,-1.13,,,,,,,,,,,,,,,,,
2002,7,2002-07,13,,1,80.8,69.9,90.7,4.42,-1.9,,,,,,,,,,,,,,,,,
2002,8,2002-08,13,,15,79.6,68.3,90.4,3.72,-1.94,,,,,,,,,,,,,,,,,
2002,9,2002-09,13,,7,76.8,67.7,89.4,6.13,1.55,,,,,,,,,,,,,,,,,
2002,10,2002-10,13,,2,68.2,59.6,85.6,4.43,1.36,,,,,,,,,,,,,,,,,
2002,11,2002-11,13,,3,52.3,40.8,74.5,4.88,2.48,,,,,,,,,,,,,,,,,
2002,12,2002-12,13,,0,45.7,34.7,68.7,5.26,1.68,,,,,,,,,,,,,,,,,
2003,1,2003-01,13,,0,42.3,30.6,65.0,1.77,-2.2,,,,,,,,,,,,,,,,,
2003,2,2003-02,13,,0,48.9,37.7,73.1,5.31,0.92,,,,,,,,,,,,,,,,,
2003,3,2003-03,13,,0,59.0,48.7,79.6,7.33,1.59,,,,,,,,,,,,,,,,,
2003,4,2003-04,13,,0,62.7,50.8,80.9,4.73,0.79,,,,,,,,,,,,,,,,,
2003,5,2003-05,13,,0,71.7,61.3,88.4,6.33,2.63,,,,,,,,,,,,,,,,,
2003,6,2003-06,13,,0,76.1,65.9,88.7,7.22,3.69,,,,,,,,,,,,,,,,,
2003,7,2003-07,13,,2,78.7,69.5,90.3,7.59,2.94,,,,,,,,,,,,,,,,,
2003,8,2003-08,13,,7,79.2,70.0,89.5,5.78,1.85,,,,,,,,,,,,,,,,,
2003,9,2003-09,13,,13,73.1,62.2,87.8,2.88,0.05,,,,,,,,,,,,,,,,,
2003,10,2003-10,13,,3,64.4,52.6,83.4,2.99,0.87,,,,,,,,,,,,,,,,,
2003,11,2003-11,13,,2,59.4,46.5,79.4,2.82,-0.13,,,,,,,,,,,,,,,,,
2003,12,2003-12,13,,0,44.3,31.6,68.4,2.48,-0.91,,,,,,,,,,,,,,,,,
2004,1,2004-01,13,,0,45.0,32.5,69.2,2.85,-1.26,,,,,,,,,,,,,,,,,
2004,2,2004-02,13,,0,46.1,36.5,69.5,5.34,1.13,,,,,,,,,,,,,,,,,
2004,3,2004-03,13,,0,59.0,45.4,77.8,0.92,-4.23,,,,,,,,,,,,,,,,,
2004,4,2004-04,13,,0,62.2,47.7,80.3,2.1,-2.4,,,,,,,,,,,,,,,,,
2004,5,2004-05,13,,0,73.6,61.5,87.7,3.0,-1.66,,,,,,,,,,,,,,,,,
2004,6,2004-06,13,,0,78.1,68.1,91.4,7.32,2.65,,,,,,,,,,,,,,,,,
2004,7,2004-07,13,,2,80.1,69.6,91.5,4.31,-1.23,,,,,,,,,,,,,,,,,
2004,8,2004-08,13,,7,77.6,67.6,90.2,4.78,0.15,,,,,,,,,,,,,,,,,
2004,9,2004-09,13,,4,73.6,64.9,87.6,12.02,9.09,,,,,,,,,,,,,,,,,
2004,10,2004-10,13,,1,67.7,58.0,84.1,1.85,-0.4,,,,,,,,,,,,,,,,,
2004,11,2004-11,13,,0,57.9,47.1,78.0,4.65,1.96,,,,,,,,,,,,,,,,,
2004,12,2004-12,13,,0,46.8,34.8,69.0,3.02,-0.54,,,,,,,,,,,,,,,,,
2005,1,2005-01,13,,0,49.5,38.1,70.9,2.22,-2.21,,,,,,,,,,,,,,,,,
2005,2,2005-02,13,,0,50.9,40.3,71.9,4.31,-0.28,,,,,,,,,,,,,,,,,
