,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-02,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-03,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-04,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-05,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-06,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-07,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-08,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-09,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-10,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-11,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2010-12,1258212.0,1481702.0,1480431.0,406569.0,1204266.0,1496938.0,1575915.0,564782.0
2011-01,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-02,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-03,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-04,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-05,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-06,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-07,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-08,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-09,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-10,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-11,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2011-12,1265971.0,1490244.0,1511299.0,423854.0,1212708.0,1507170.0,1607111.0,582255.0
2012-01,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-02,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-03,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-04,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-05,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-06,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-07,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-08,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-09,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-10,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-11,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2012-12,1269249.0,1498775.0,1535208.0,444252.0,1215702.0,1514113.0,1634896.0,602374.0
2013-01,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-02,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-03,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-04,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-05,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-06,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-07,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-08,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-09,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-10,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-11,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2013-12,1271415.0,1504137.0,1552653.0,465735.0,1216871.0,1516884.0,1658440.0,624282.0
2014-01,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-02,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-03,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-04,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-05,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-06,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-07,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-08,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-09,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-10,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-11,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2014-12,1270236.0,1508641.0,1569961.0,489157.0,1218432.0,1524495.0,1677755.0,649079.0
2015-01,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-02,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-03,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-04,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-05,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-06,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-07,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-08,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-09,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-10,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-11,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2015-12,1269438.0,1520814.0,1579334.0,513745.0,1221642.0,1532250.0,1692748.0,676722.0
2016-01,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-02,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-03,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-04,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-05,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-06,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-07,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
2016-08,1271143.0,1524298.0,1587126.0,539904.0,1224032.0,1541621.0,1704805.0,706391.0
