year,month,Value
1990,1,63.6
1990,2,67.2
1990,3,71.2
1990,4,75.6
1990,5,83.2
1990,6,90.6
1990,7,92.1
1990,8,92.1
1990,9,88.3
1990,10,78.2
1990,11,71.5
1990,12,62.4
1991,1,55.5
1991,2,63.7
1991,3,70.3
1991,4,77.2
1991,5,83.3
1991,6,86.5
1991,7,89.9
1991,8,87.8
1991,9,85.9
1991,10,77.5
1991,11,64.9
1991,12,62.4
1992,1,56.7
1992,2,63.6
1992,3,68.0
1992,4,74.4
1992,5,80.5
1992,6,85.3
1992,7,90.5
1992,8,86.3
1992,9,83.3
1992,10,73.7
1992,11,65.0
1992,12,56.6
1993,1,59.5
1993,2,57.4
1993,3,63.9
1993,4,72.8
1993,5,82.0
1993,6,89.8
1993,7,95.5
1993,8,91.3
1993,9,87.5
1993,10,75.6
1993,11,65.9
1993,12,56.7
1994,1,53.2
1994,2,63.4
1994,3,70.7
1994,4,78.9
1994,5,81.1
1994,6,87.6
1994,7,87.1
1994,8,86.8
1994,9,82.8
1994,10,73.4
1994,11,70.4
1994,12,60.0
1995,1,57.4
1995,2,59.1
1995,3,70.6
1995,4,77.6
1995,5,85.2
1995,6,86.1
1995,7,92.6
1995,8,90.3
1995,9,83.0
1995,10,76.9
1995,11,63.3
1995,12,56.4
1996,1,56.6
1996,2,61.7
1996,3,62.7
1996,4,74.7
1996,5,85.8
1996,6,88.1
1996,7,90.8
1996,8,87.6
1996,9,83.9
1996,10,75.1
1996,11,64.5
1996,12,61.4
1997,1,58.5
1997,2,62.7
1997,3,75.2
1997,4,73.2
1997,5,79.4
1997,6,82.9
1997,7,91.0
1997,8,88.4
1997,9,86.7
1997,10,75.2
1997,11,62.3
1997,12,57.3
1998,1,59.7
1998,2,60.8
1998,3,64.9
1998,4,74.0
1998,5,86.0
1998,6,93.6
1998,7,93.1
1998,8,90.7
1998,9,86.4
1998,10,79.5
1998,11,71.1
1998,12,63.3
1999,1,62.4
1999,2,63.9
1999,3,67.2
1999,4,79.7
1999,5,82.1
1999,6,86.4
1999,7,90.7
1999,8,94.1
1999,9,85.9
1999,10,75.8
1999,11,71.0
1999,12,60.5
2000,1,57.2
2000,2,65.8
2000,3,72.3
2000,4,74.1
2000,5,87.0
2000,6,90.5
2000,7,92.9
2000,8,90.8
2000,9,82.1
2000,10,78.0
2000,11,65.4
2000,12,51.2
2001,1,55.6
2001,2,65.5
2001,3,64.9
2001,4,77.2
2001,5,84.1
2001,6,86.6
2001,7,89.4
2001,8,89.5
2001,9,82.9
2001,10,75.7
2001,11,74.1
2001,12,64.8
2002,1,60.0
2002,2,61.6
2002,3,70.7
2002,4,79.8
2002,5,83.0
2002,6,88.4
2002,7,91.7
2002,8,90.8
2002,9,85.8
2002,10,76.7
2002,11,63.9
2002,12,56.7
2003,1,53.9
2003,2,60.2
2003,3,69.3
2003,4,74.6
2003,5,82.1
2003,6,86.3
2003,7,87.9
2003,8,88.2
2003,9,83.9
2003,10,76.2
2003,11,72.1
2003,12,57.1
2004,1,57.4
2004,2,55.6
2004,3,72.6
2004,4,76.7
2004,5,85.7
2004,6,88.0
2004,7,90.5
2004,8,87.7
2004,9,82.3
2004,10,77.4
2004,11,68.7
2004,12,58.8
2005,1,60.9
2005,2,61.5
2005,3,65.4
2005,4,73.7
2005,5,80.8
2005,6,85.8
2005,7,90.1
2005,8,89.3
2005,9,88.4
2005,10,76.7
2005,11,70.0
2005,12,56.5
2006,1,63.8
2006,2,58.9
2006,3,69.1
2006,4,80.6
2006,5,82.8
2006,6,90.0
2006,7,92.8
2006,8,92.3
2006,9,84.2
2006,10,75.5
2006,11,66.8
2006,12,64.2
2007,1,59.5
2007,2,59.5
