year,month,Value
1990,1,19.5
1990,2,14.8
1990,3,24.5
1990,4,33.7
1990,5,35.4
1990,6,43.3
1990,7,50.8
1990,8,49.7
1990,9,45.5
1990,10,30.8
1990,11,24.1
1990,12,4.9
1991,1,12.0
1991,2,24.3
1991,3,23.3
1991,4,28.6
1991,5,35.5
1991,6,41.4
1991,7,50.0
1991,8,51.1
1991,9,41.9
1991,10,31.0
1991,11,22.5
1991,12,17.5
1992,1,17.4
1992,2,24.8
1992,3,28.6
1992,4,33.1
1992,5,40.3
1992,6,46.5
1992,7,47.7
1992,8,48.6
1992,9,39.4
1992,10,34.6
1992,11,20.5
1992,12,12.6
1993,1,10.5
1993,2,13.1
1993,3,25.8
1993,4,29.7
1993,5,40.5
1993,6,41.6
1993,7,43.5
1993,8,45.2
1993,9,38.9
1993,10,33.1
1993,11,15.8
1993,12,17.3
1994,1,21.2
1994,2,15.8
1994,3,24.5
1994,4,32.0
1994,5,39.7
1994,6,43.2
1994,7,50.5
1994,8,50.0
1994,9,42.6
1994,10,31.7
1994,11,17.5
1994,12,17.4
1995,1,19.6
1995,2,23.5
1995,3,24.2
1995,4,28.8
1995,5,37.0
1995,6,42.3
1995,7,48.5
1995,8,46.0
1995,9,41.6
1995,10,29.6
1995,11,28.1
1995,12,19.4
1996,1,16.3
1996,2,17.2
1996,3,24.2
1996,4,30.1
1996,5,35.7
1996,6,43.1
1996,7,50.3
1996,8,47.6
1996,9,38.4
1996,10,31.4
1996,11,24.8
1996,12,18.8
1997,1,16.4
1997,2,17.4
1997,3,23.7
1997,4,27.5
1997,5,38.5
1997,6,44.6
1997,7,48.2
1997,8,49.5
1997,9,43.8
1997,10,31.5
1997,11,24.5
1997,12,15.2
1998,1,20.7
1998,2,20.8
1998,3,24.0
1998,4,29.7
1998,5,37.4
1998,6,41.6
1998,7,53.3
1998,8,50.3
1998,9,46.4
1998,10,31.2
1998,11,27.5
1998,12,15.0
1999,1,19.9
1999,2,18.4
1999,3,22.5
1999,4,26.9
1999,5,34.1
1999,6,42.6
1999,7,46.8
1999,8,49.8
1999,9,38.0
1999,10,31.7
1999,11,28.4
1999,12,18.3
2000,1,18.4
2000,2,23.7
2000,3,23.3
2000,4,32.4
2000,5,38.1
2000,6,43.5
2000,7,50.0
2000,8,49.4
2000,9,39.9
2000,10,33.0
2000,11,16.9
2000,12,16.3
2001,1,14.1
2001,2,15.8
2001,3,25.8
2001,4,28.8
2001,5,37.8
2001,6,43.0
2001,7,50.8
2001,8,51.0
2001,9,43.3
2001,10,32.4
2001,11,27.0
2001,12,14.5
2002,1,16.0
2002,2,13.0
2002,3,20.0
2002,4,29.6
2002,5,35.7
2002,6,44.6
2002,7,52.8
2002,8,46.0
2002,9,41.2
2002,10,27.8
2002,11,23.1
2002,12,21.9
2003,1,24.2
2003,2,17.6
2003,3,26.7
2003,4,30.0
2003,5,37.0
2003,6,44.1
2003,7,53.2
2003,8,51.6
