,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65
2010-01,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-02,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-03,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-04,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-05,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-06,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-07,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-08,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-09,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-10,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-11,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2010-12,-1.8580285874315503,-1.5672937205581117,-1.78663661265072,-1.5541381077740735,-1.6518259288376214,-1.5148692344696355,-1.739920501162462,-1.5486398907031858
2011-01,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-02,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-03,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-04,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-05,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-06,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-07,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-08,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-09,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-10,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-11,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2011-12,-1.0269851434601858,-1.252097688747845,-1.251046774786681,-1.3424152899816177,-1.2966751697631638,-1.151686887051893,-1.3289712076409606,-1.332035081409389
2012-01,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-02,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-03,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-04,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-05,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-06,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-07,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-08,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-09,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-10,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-11,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2012-12,-0.899805201345484,-0.8990265374649115,-0.9810511887716122,-1.1162435763188876,-0.9555242215490806,-0.8854714577955621,-1.0786769369312945,-1.110521843550145
2013-01,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-02,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-03,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-04,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-05,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-06,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-07,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-08,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-09,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-10,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-11,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2013-12,-0.7080024342990223,-0.8653917907453716,-0.6174709665937406,-0.8767325256481335,-0.8489052486695402,-0.8419567849062236,-0.7044051891669193,-0.8654830240121532
2014-01,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-02,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-03,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-04,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-05,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-06,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-07,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-08,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-09,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-10,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-11,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2014-12,-0.5908402729200303,-0.7489276609186183,-0.36876820291528495,-0.6080863533074279,-0.6041075873624338,-0.7182578856428332,-0.4772117660650279,-0.6032457673747277
2015-01,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
2015-02,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
2015-03,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
2015-04,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
2015-05,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
2015-06,-0.4815883991592,-0.40182356368161254,-0.35336523262835606,-0.3211648671105299,-0.45080430811676375,-0.5876305312721192,-0.1993949795167521,-0.34375257229376216
