,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,28.2,20.7,52.7,2.54,-1.06,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,28.9,19.9,52.5,1.06,-2.38,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,35.2,24.1,63.7,1.86,-1.33,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,40.0,28.3,79.1,2.64,1.51,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,44.1,32.9,84.8,2.77,2.34,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,55.5,43.4,92.1,3.24,2.93,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,64.2,48.1,93.0,0.52,1.25,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,0.0,62.8,47.1,91.8,0.83,1.09,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,0.0,56.4,41.2,89.4,0.94,-0.42,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,0.0,47.5,35.6,79.3,2.49,0.92,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5
2010-11,0.0,30.5,22.1,68.3,3.03,1.09,215232.0,230115.0,235248.0,83834.0,203980.0,221703.0,237511.0,99174.0,1526797.0,764429.0,762368.0,1407354.0,8674.0,18951.0,17939.0,2284.0,570283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384
