,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-02,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-03,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-04,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-05,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-06,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-07,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-08,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-09,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-10,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-11,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2010-12,-1.6400199001475901,-1.6562882470297482,-1.623254720369899,-1.69923334028244,-1.340260813492497,-1.5494430374964472,-1.6074532104291084,-0.45088638323419233,-1.4500135730720731
2011-01,-1.2832677198008837,-1.2737434738479658,-1.2928494336670946,-1.2875148927402549,-1.231423670330699,-1.1308355448961787,-1.3692792981043196,-0.07897468242399322,-1.163002177515442
2011-02,-1.2832677198008837,-1.2737434738479658,-1.2928494336670946,-1.2875148927402549,-1.231423670330699,-1.1308355448961787,-1.3692792981043196,-0.07897468242399322,-1.163002177515442
2011-03,-1.2832677198008837,-1.2737434738479658,-1.2928494336670946,-1.2875148927402549,-1.231423670330699,-1.1308355448961787,-1.3692792981043196,-0.07897468242399322,-1.163002177515442
2011-04,-1.2832677198008837,-1.2737434738479658,-1.2928494336670946,-1.2875148927402549,-1.231423670330699,-1.1308355448961787,-1.3692792981043196,-0.07897468242399322,-1.163002177515442
2011-05,-1.2832677198008837,-1.2737434738479658,-1.2928494336670946,-1.2875148927402549,-1.231423670330699,-1.1308355448961787,-1.3692792981043196,-0.07897468242399322,-1.163002177515442
