year,month,Value
1990,1,2.05
1990,2,4.02
1990,3,3.35
1990,4,2.85
1990,5,7.91
1990,6,6.44
1990,7,4.11
1990,8,3.81
1990,9,1.84
1990,10,4.18
1990,11,4.08
1990,12,5.3
1991,1,1.6
1991,2,0.96
1991,3,3.98
1991,4,3.38
1991,5,4.99
1991,6,1.62
1991,7,2.06
1991,8,2.7
1991,9,3.13
1991,10,5.96
1991,11,3.65
1991,12,2.09
1992,1,1.18
1992,2,1.46
1992,3,2.54
1992,4,2.93
1992,5,1.28
1992,6,1.72
1992,7,7.61
1992,8,1.9
1992,9,4.69
1992,10,1.31
1992,11,6.51
1992,12,2.68
1993,1,3.67
1993,2,1.78
1993,3,3.05
1993,4,5.13
1993,5,3.29
1993,6,6.85
1993,7,6.61
1993,8,5.05
1993,9,7.54
1993,10,2.46
1993,11,4.22
1993,12,1.53
1994,1,1.87
1994,2,1.7
1994,3,1.31
1994,4,6.14
1994,5,2.15
1994,6,4.16
1994,7,2.73
1994,8,3.58
1994,9,2.38
1994,10,2.03
1994,11,5.54
1994,12,1.92
1995,1,3.17
1995,2,1.0
1995,3,2.46
1995,4,4.47
1995,5,8.89
1995,6,3.53
1995,7,2.97
1995,8,4.18
1995,9,1.28
1995,10,3.02
1995,11,2.53
1995,12,1.41
1996,1,2.32
1996,2,0.8
1996,3,2.09
1996,4,5.03
1996,5,7.74
1996,6,4.24
1996,7,4.35
1996,8,2.02
1996,9,2.94
1996,10,2.4
1996,11,3.19
1996,12,1.7
1997,1,2.49
1997,2,3.9
1997,3,3.0
1997,4,2.26
1997,5,4.03
1997,6,3.76
1997,7,2.21
1997,8,4.76
1997,9,2.38
1997,10,1.94
1997,11,2.46
1997,12,1.91
1998,1,2.74
1998,2,2.53
1998,3,4.58
1998,4,4.93
1998,5,4.78
1998,6,7.64
1998,7,3.47
1998,8,3.3
1998,9,2.28
1998,10,4.23
1998,11,2.45
1998,12,1.56
1999,1,4.21
1999,2,2.42
1999,3,1.72
1999,4,5.53
1999,5,3.68
1999,6,5.28
1999,7,2.93
1999,8,2.79
1999,9,2.18
1999,10,1.69
1999,11,0.53
1999,12,2.75
2000,1,1.53
2000,2,2.53
2000,3,2.03
2000,4,2.99
2000,5,4.4
