,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income,1y,1m,2m,3m,3m_average,diff1-2,diff2-3,month_sin,month_cos
2010-01,0.0,21.5,14.8,35.6,1.44,-0.37,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387
2010-02,0.0,25.7,18.0,37.8,1.53,-0.22,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001
2010-03,0.0,43.8,34.1,46.3,2.74,-0.84,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17
2010-04,0.0,58.7,46.1,51.7,3.36,-1.39,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844388,-0.4999999999999998
2010-05,0.0,64.3,53.9,55.3,5.4,1.14,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387
2010-06,0.0,74.9,64.8,67.6,7.71,3.89,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0
2010-07,0.0,77.6,67.6,80.2,5.35,2.06,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000001,-0.8660254037844386
2010-08,11.0,76.8,65.6,78.4,3.18,-0.06,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844384,-0.5000000000000004
2010-09,31.0,67.2,55.4,71.6,3.73,0.68,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,11.0,0.0,0.0,3.6666666666666665,11.0,0.0,-1.0,-1.8369701987210297e-16
2010-10,3.0,56.5,42.4,59.3,1.32,-1.62,1611721.0,1957245.0,2028163.0,653223.0,1541738.0,1917442.0,2120850.0,914977.0,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0,0.0,31.0,11.0,0.0,14.0,20.0,11.0,-0.8660254037844386,0.5
