,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-02,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-03,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-04,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-05,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-06,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-07,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-08,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-09,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-10,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-11,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2010-12,12745359.0,6250352.0,6495007.0,9136680.0,1860305.0,24729.0,571537.0,3290.0,4769951.0
2011-01,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-02,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-03,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-04,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-05,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-06,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-07,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-08,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-09,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-10,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-11,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2011-12,12790182.0,6272579.0,6517603.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,4773002.0
2012-01,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-02,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-03,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-04,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-05,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-06,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-07,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-08,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-09,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-10,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-11,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2012-12,12823860.0,6291373.0,6532487.0,9298731.0,1860471.0,26669.0,595110.0,2907.0,4774275.0
2013-01,12848554.0,6304099.0,6544455.0,9320910.0,1851524.0,27548.0,609923.0,2979.0,4772723.0
2013-02,12848554.0,6304099.0,6544455.0,9320910.0,1851524.0,27548.0,609923.0,2979.0,4772723.0
2013-03,12848554.0,6304099.0,6544455.0,9320910.0,1851524.0,27548.0,609923.0,2979.0,4772723.0
2013-04,12848554.0,6304099.0,6544455.0,9320910.0,1851524.0,27548.0,609923.0,2979.0,4772723.0
