,count,avgTemp,minTemp,maxTemp,precipitation,zindex
2010-01,0.0,21.5,14.8,35.6,1.44,-0.37
2010-02,0.0,25.7,18.0,37.8,1.53,-0.22
2010-03,0.0,43.8,34.1,46.3,2.74,-0.84
2010-04,0.0,58.7,46.1,51.7,3.36,-1.39
2010-05,0.0,64.3,53.9,55.3,5.4,1.14
2010-06,0.0,74.9,64.8,67.6,7.71,3.89
2010-07,0.0,77.6,67.6,80.2,5.35,2.06
2010-08,11.0,76.8,65.6,78.4,3.18,-0.06
2010-09,31.0,67.2,55.4,71.6,3.73,0.68
2010-10,3.0,56.5,42.4,59.3,1.32,-1.62
2010-11,0.0,43.7,32.6,38.9,3.15,0.06
2010-12,0.0,24.0,16.8,33.7,1.77,-0.53
2011-01,0.0,22.7,15.2,31.9,1.19,-0.69
2011-02,0.0,30.2,22.0,33.6,3.24,2.3
2011-03,0.0,41.6,32.6,42.3,2.72,-0.59
2011-04,0.0,53.1,42.5,46.8,7.62,4.51
2011-05,0.0,62.1,51.8,57.2,5.28,1.34
2011-06,0.0,72.9,62.8,66.9,6.69,2.99
2011-07,2.0,79.9,69.7,80.2,3.61,-0.38
2011-08,8.0,74.8,63.2,82.5,1.87,-2.07
2011-09,12.0,63.6,52.7,75.7,3.56,0.45
2011-10,0.0,55.2,42.5,56.1,1.8,-1.34
2011-11,0.0,45.8,37.2,40.0,5.17,1.56
2011-12,0.0,35.9,28.4,34.7,3.35,1.35
2012-01,0.0,31.9,22.7,36.0,1.89,0.21
2012-02,0.0,35.8,27.1,37.4,1.48,-0.52
2012-03,0.0,55.5,44.2,46.5,2.08,-3.41
2012-04,0.0,54.6,42.4,57.2,3.13,-1.06
2012-05,0.0,68.1,55.7,62.2,2.47,-2.65
2012-06,0.0,72.6,59.8,71.6,1.73,-3.16
2012-07,22.0,81.8,69.2,84.5,1.4,-4.82
2012-08,115.0,73.6,60.3,84.2,3.5,-1.13
2012-09,47.0,64.9,52.9,74.9,5.04,1.42
2012-10,2.0,52.5,41.9,56.1,3.93,1.19
2012-11,1.0,41.2,30.8,44.4,1.21,-2.15
2012-12,0.0,36.8,29.0,32.6,2.25,-1.18
2013-01,0.0,29.2,20.0,29.1,3.81,2.15
2013-02,0.0,29.9,21.8,36.6,2.65,1.43
2013-03,0.0,34.3,26.4,46.4,2.61,-0.02
2013-04,0.0,50.2,39.3,52.0,6.93,4.1
2013-05,0.0,63.9,53.1,64.4,6.57,2.48
2013-06,0.0,71.5,61.4,74.1,5.33,1.6
2013-07,2.0,73.1,63.2,86.2,3.16,-0.05
2013-08,25.0,72.8,61.8,83.8,1.44,-2.16
2013-09,55.0,68.6,56.1,69.2,1.69,-2.35
2013-10,3.0,54.5,43.3,54.2,3.33,0.27
2013-11,1.0,38.8,29.1,43.3,2.49,-0.68
2013-12,0.0,26.2,17.4,29.8,2.48,-0.23
2014-01,0.0,19.3,9.2,36.7,1.72,-0.01
2014-02,0.0,19.4,9.9,36.3,2.22,0.8
2014-03,0.0,34.4,23.4,46.8,1.46,-1.56
2014-04,0.0,52.4,40.8,53.8,5.15,1.68
2014-05,0.0,63.7,52.9,65.2,3.29,-1.07
2014-06,0.0,73.0,63.2,70.4,6.77,3.01
2014-07,1.0,70.3,59.6,85.3,3.29,0.46
2014-08,14.0,73.8,64.3,77.4,5.19,2.74
2014-09,20.0,64.7,53.1,71.9,4.11,1.81
2014-10,1.0,54.3,44.0,61.0,4.33,2.76
2014-11,0.0,34.6,25.7,40.3,1.86,0.94
2014-12,0.0,33.9,27.9,36.2,1.9,0.13
2015-01,0.0,25.7,17.6,36.7,1.5,-0.29
2015-02,0.0,19.4,9.8,44.8,1.43,-0.37
2015-03,0.0,38.3,27.7,53.5,2.35,-0.72
2015-04,0.0,54.3,42.3,55.3,3.41,-0.66
2015-05,0.0,64.9,54.5,63.8,5.39,1.04
2015-06,0.0,71.7,62.5,80.0,9.44,6.41
2015-07,1.0,74.2,64.8,79.6,5.21,2.32
2015-08,26.0,71.9,61.3,81.4,3.02,0.36
2015-09,20.0,70.4,58.8,71.9,3.42,0.16
2015-10,3.0,56.0,44.6,62.6,1.44,-1.31
2015-11,1.0,46.6,36.8,38.7,5.52,2.77
2015-12,0.0,41.1,33.9,31.5,6.67,5.26
2016-01,0.0,26.9,19.0,33.2,0.86,-1.11
2016-02,0.0,33.8,25.4,41.2,1.31,-0.63
2016-03,0.0,47.3,37.6,46.6,3.35,-0.49
2016-04,0.0,53.0,41.6,59.7,3.3,-0.61
2016-05,1.0,62.0,51.5,63.0,4.34,0.33
2016-06,0.0,74.8,63.3,76.4,3.13,-1.48
2016-07,5.0,75.6,66.4,80.6,6.9,3.78
2016-08,49.0,75.7,66.5,81.3,6.77,4.46
2016-09,37.0,70.8,60.1,67.8,3.42,0.53
2016-10,5.0,59.9,49.2,55.4,2.38,-0.21
2016-11,0.0,48.1,37.7,48.2,2.59,0.18
2016-12,1.0,28.9,21.8,27.6,1.4,-0.39
2017-01,0.0,32.1,24.9,27.3,2.13,0.52
2017-02,0.0,41.1,30.2,37.2,0.73,-2.11
2017-03,0.0,43.2,33.5,47.8,3.56,0.33
2017-04,0.0,56.5,45.5,50.9,6.88,3.13
2017-05,0.0,61.9,51.3,64.1,5.17,1.25
2017-06,1.0,72.7,61.0,73.2,3.19,-1.09
2017-07,4.0,76.1,65.4,86.4,4.81,1.26
2017-08,40.0,70.5,59.5,82.9,2.4,-0.82
2017-09,19.0,68.8,55.9,69.0,0.83,-3.3
2017-10,7.0,58.1,48.0,53.9,5.0,1.77
2017-11,1.0,41.9,32.1,43.1,2.26,-0.69
2017-12,0.0,29.8,20.8,33.5,0.84,-1.85
2018-01,0.0,24.1,14.6,38.1,1.3,-0.9
2018-02,0.0,31.8,22.0,35.1,4.88,4.72
2018-03,0.0,39.2,30.0,43.7,3.91,1.27
2018-04,0.0,44.8,33.3,53.8,2.42,-0.55
2018-05,0.0,70.7,59.0,66.5,3.8,-1.61
2018-06,0.0,74.9,64.6,71.2,6.29,2.06
2018-07,8.0,75.0,64.7,84.9,3.44,0.0
2018-08,77.0,74.7,64.6,80.8,4.91,1.94
2018-09,37.0,70.3,59.6,71.7,4.9,1.72
2018-10,4.0,54.2,43.7,55.4,3.68,1.66
2018-11,0.0,35.6,28.5,41.3,3.01,1.99
2018-12,0.0,34.4,26.6,32.0,3.25,1.69
2019-01,0.0,25.4,17.5,34.9,3.31,2.03
2019-02,0.0,29.3,20.8,31.2,3.21,2.26
2019-03,0.0,37.3,27.9,43.9,4.06,1.66
2019-04,0.0,52.5,41.7,53.2,4.58,0.99
2019-05,0.0,62.5,52.6,61.7,8.16,4.43
2019-06,0.0,70.9,60.8,71.0,5.16,1.49
2019-07,2.0,77.4,67.2,80.7,3.05,-0.74
2019-08,8.0,72.8,62.5,81.8,4.05,1.02
2019-09,9.0,71.6,61.1,67.6,5.0,1.52
2019-10,3.0,53.7,43.0,48.7,5.0,3.11
2019-11,0.0,36.2,27.2,45.0,2.4,1.47
2019-12,0.0,35.6,26.6,33.4,1.88,0.01
2020-01,0.0,31.8,25.0,34.2,4.36,3.38
2020-02,0.0,31.9,24.0,36.7,2.01,0.49
2020-03,0.0,44.4,35.6,45.6,3.95,0.7
2020-04,0.0,49.6,38.3,54.4,4.32,1.08
2020-05,0.0,60.6,50.9,63.5,5.28,1.56
2020-06,0.0,73.6,62.3,68.8,3.61,-0.74
2020-07,0.0,77.3,67.3,80.7,5.61,2.14
2020-08,15.0,72.8,61.9,83.0,1.91,-1.58
2020-09,21.0,65.6,54.6,74.8,3.26,-0.02
2020-10,0.0,52.0,40.8,58.4,2.97,0.44
2020-11,0.0,47.1,36.4,42.3,2.95,-0.35
2020-12,0.0,33.0,24.3,35.2,1.71,-0.72
2021-01,0.0,29.5,23.3,34.6,2.46,0.94
2021-02,0.0,20.8,12.8,33.6,1.67,-0.02
2021-03,0.0,46.2,35.6,46.9,3.97,0.49
2021-04,0.0,52.5,41.4,55.3,3.04,-0.84
2021-05,0.0,61.1,50.7,63.0,4.31,0.43
2021-06,1.0,74.1,63.6,80.9,5.17,1.02
2021-07,1.0,74.6,65.3,88.0,4.97,1.96
2021-08,13.0,75.6,65.1,78.8,3.73,0.74
2021-09,28.0,69.6,57.5,72.9,2.29,-1.22
2021-10,6.0,60.2,51.1,55.8,6.02,3.27
2021-11,0.0,40.9,30.5,45.4,0.86,-0.88
2021-12,0.0,40.2,30.6,33.7,2.52,0.39
2022-01,0.0,22.2,12.6,32.6,1.05,-0.87
2022-02,0.0,28.0,18.0,35.1,3.13,2.14
2022-03,0.0,43.1,32.6,46.9,4.35,1.4
2022-04,0.0,49.6,39.4,48.5,3.55,0.17
2022-05,0.0,65.3,55.1,57.7,4.09,-0.44
2022-06,0.0,73.5,61.7,70.6,2.72,-1.77
2022-07,1.0,75.8,65.8,85.8,5.28,1.73
