year,month,Value
1990,1,39.7
1990,2,38.4
1990,3,49.5
1990,4,60.1
1990,5,67.2
1990,6,80.6
1990,7,82.0
1990,8,81.8
1990,9,77.9
1990,10,63.3
1990,11,52.3
1990,12,29.0
1991,1,22.8
1991,2,39.1
1991,3,50.1
1991,4,62.1
1991,5,73.6
1991,6,83.4
1991,7,84.7
1991,8,82.6
1991,9,74.3
1991,10,61.9
1991,11,36.3
1991,12,35.0
1992,1,35.4
1992,2,39.4
1992,3,49.1
1992,4,56.4
1992,5,73.0
1992,6,79.8
1992,7,77.6
1992,8,76.6
1992,9,72.1
1992,10,62.6
1992,11,38.5
1992,12,31.5
1993,1,26.0
1993,2,25.8
1993,3,38.9
1993,4,55.1
1993,5,69.4
1993,6,77.0
1993,7,80.3
1993,8,80.9
1993,9,67.5
1993,10,60.2
1993,11,42.9
1993,12,33.4
1994,1,19.6
1994,2,27.0
1994,3,49.5
1994,4,62.2
1994,5,73.5
1994,6,81.4
1994,7,80.8
1994,8,79.7
1994,9,75.8
1994,10,64.1
1994,11,48.7
1994,12,34.7
1995,1,25.6
1995,2,35.0
1995,3,46.6
1995,4,55.3
1995,5,66.7
1995,6,80.0
1995,7,85.0
1995,8,86.3
1995,9,72.1
1995,10,61.9
1995,11,39.8
1995,12,31.3
1996,1,25.3
1996,2,32.8
1996,3,41.5
1996,4,58.5
1996,5,65.5
1996,6,79.6
1996,7,81.2
1996,8,80.5
1996,9,71.5
1996,10,63.7
1996,11,36.4
1996,12,27.1
1997,1,23.9
1997,2,32.5
1997,3,47.9
1997,4,55.5
1997,5,66.2
1997,6,82.2
1997,7,83.7
1997,8,79.8
1997,9,75.8
1997,10,63.8
1997,11,40.2
1997,12,33.3
1998,1,30.2
1998,2,41.2
1998,3,40.0
1998,4,59.8
1998,5,76.3
1998,6,76.8
1998,7,83.9
1998,8,82.4
1998,9,80.8
1998,10,63.5
1998,11,49.6
1998,12,39.5
1999,1,25.0
1999,2,41.1
1999,3,47.0
1999,4,59.7
1999,5,70.8
1999,6,78.7
1999,7,87.3
1999,8,80.6
1999,9,74.6
1999,10,64.9
1999,11,57.0
1999,12,37.0
2000,1,31.5
2000,2,42.0
2000,3,54.6
2000,4,62.2
2000,5,74.9
2000,6,78.7
2000,7,81.8
2000,8,83.0
2000,9,78.0
2000,10,66.2
2000,11,40.4
2000,12,18.6
2001,1,29.1
2001,2,26.9
2001,3,38.4
2001,4,65.1
2001,5,71.1
2001,6,78.9
2001,7,85.4
2001,8,83.5
2001,9,72.3
2001,10,61.7
2001,11,59.0
2001,12,39.7
2002,1,38.8
2002,2,39.7
2002,3,41.6
2002,4,60.3
2002,5,69.1
2002,6,83.3
2002,7,87.4
2002,8,81.6
2002,9,77.8
2002,10,56.0
2002,11,44.6
2002,12,39.1
2003,1,28.7
2003,2,31.2
2003,3,46.0
2003,4,62.3
2003,5,69.2
2003,6,78.4
2003,7,84.0
2003,8,86.4
2003,9,74.0
2003,10,65.8
2003,11,44.7
2003,12,35.7
2004,1,26.7
2004,2,30.9
2004,3,50.0
2004,4,64.5
2004,5,71.9
2004,6,77.4
2004,7,80.5
2004,8,77.1
2004,9,79.1
2004,10,62.7
2004,11,49.7
2004,12,36.1
2005,1,26.2
2005,2,39.6
2005,3,47.0
2005,4,65.3
2005,5,69.4
2005,6,83.4
2005,7,86.0
2005,8,82.9
2005,9,80.2
2005,10,64.9
2005,11,50.3
2005,12,26.4
2006,1,39.9
2006,2,36.2
2006,3,45.8
2006,4,65.9
2006,5,71.7
2006,6,81.8
2006,7,87.3
2006,8,81.8
2006,9,70.7
2006,10,58.6
2006,11,50.0
2006,12,40.1
2007,1,30.3
2007,2,23.3
2007,3,51.3
2007,4,57.9
2007,5,76.2
2007,6,81.6
2007,7,85.1
2007,8,83.9
2007,9,77.4
2007,10,66.1
2007,11,47.7
2007,12,27.6
2008,1,25.4
2008,2,25.8
2008,3,41.9
2008,4,56.1
2008,5,69.3
2008,6,80.1
2008,7,83.6
2008,8,81.4
2008,9,74.4
2008,10,62.0
2008,11,46.1
2008,12,27.6
2009,1,23.2
2009,2,36.9
2009,3,47.6
2009,4,58.4
2009,5,71.3
2009,6,79.2
2009,7,78.3
2009,8,78.6
2009,9,75.1
2009,10,53.2
2009,11,53.2
2009,12,27.5
2010,1,20.2
2010,2,26.2
2010,3,47.7
2010,4,67.7
2010,5,71.2
2010,6,81.1
2010,7,84.1
2010,8,84.8
2010,9,74.2
2010,10,68.1
2010,11,48.0
2010,12,26.9
2011,1,23.1
2011,2,31.1
2011,3,44.5
2011,4,57.9
2011,5,70.4
2011,6,79.3
2011,7,87.7
2011,8,83.1
2011,9,71.9
2011,10,67.0
2011,11,49.9
2011,12,37.8
2012,1,36.3
2012,2,38.3
2012,3,62.9
2012,4,64.5
2012,5,77.6
2012,6,83.1
2012,7,92.0
2012,8,84.3
2012,9,76.9
2012,10,60.5
2012,11,50.1
2012,12,36.6
2013,1,31.8
2013,2,32.6
2013,3,37.3
2013,4,54.5
2013,5,69.4
2013,6,78.5
2013,7,83.4
2013,8,83.4
2013,9,79.5
2013,10,61.8
2013,11,43.8
2013,12,26.8
2014,1,25.6
2014,2,23.2
2014,3,40.1
2014,4,59.7
2014,5,71.5
2014,6,80.2
2014,7,79.2
2014,8,80.3
2014,9,73.1
2014,10,62.4
2014,11,38.8
2014,12,34.1
2015,1,30.7
2015,2,24.3
2015,3,50.0
2015,4,63.5
2015,5,70.0
2015,6,79.3
2015,7,82.0
2015,8,79.1
2015,9,79.3
2015,10,64.4
2015,11,51.3
2015,12,39.5
2016,1,26.7
2016,2,36.0
2016,3,52.8
2016,4,61.0
2016,5,70.9
2016,6,84.8
2016,7,82.6
2016,8,81.9
2016,9,77.8
2016,10,66.3
2016,11,56.0
2016,12,30.4
