year,month,Value
1990,1,23.3
1990,2,24.5
1990,3,34.1
1990,4,40.1
1990,5,49.1
1990,6,63.9
1990,7,65.1
1990,8,64.3
1990,9,58.0
1990,10,41.4
1990,11,34.0
1990,12,16.4
1991,1,15.4
1991,2,26.1
1991,3,32.8
1991,4,43.5
1991,5,55.4
1991,6,64.4
1991,7,66.3
1991,8,63.8
1991,9,55.0
1991,10,41.6
1991,11,26.2
1991,12,26.9
1992,1,25.3
1992,2,29.7
1992,3,34.9
1992,4,41.2
1992,5,50.1
1992,6,57.9
1992,7,63.6
1992,8,59.7
1992,9,54.6
1992,10,42.4
1992,11,29.7
1992,12,20.2
1993,1,16.6
1993,2,19.0
1993,3,30.6
1993,4,38.8
1993,5,51.4
1993,6,59.8
1993,7,66.6
1993,8,65.2
1993,9,50.4
1993,10,41.0
1993,11,25.9
1993,12,24.0
1994,1,17.5
1994,2,17.2
1994,3,32.2
1994,4,39.7
1994,5,51.8
1994,6,64.0
1994,7,62.9
1994,8,63.6
1994,9,54.5
1994,10,44.9
1994,11,32.8
1994,12,25.6
1995,1,20.0
1995,2,25.8
1995,3,31.9
1995,4,37.7
1995,5,47.5
1995,6,58.6
1995,7,64.9
1995,8,67.8
1995,9,53.8
1995,10,41.0
1995,11,27.2
1995,12,21.6
1996,1,14.1
1996,2,20.7
1996,3,23.7
1996,4,38.0
1996,5,53.7
1996,6,61.9
1996,7,65.0
1996,8,64.0
1996,9,53.5
1996,10,43.4
1996,11,28.0
1996,12,19.4
1997,1,16.1
1997,2,24.8
1997,3,31.3
1997,4,36.5
1997,5,47.0
1997,6,60.2
1997,7,65.8
1997,8,63.8
1997,9,57.6
1997,10,44.6
1997,11,29.3
1997,12,24.6
1998,1,23.1
1998,2,30.1
1998,3,28.4
1998,4,39.6
1998,5,54.5
1998,6,59.7
1998,7,68.5
1998,8,65.5
1998,9,60.9
1998,10,46.2
1998,11,36.4
1998,12,22.6
1999,1,20.6
1999,2,29.2
1999,3,31.0
1999,4,42.0
1999,5,50.7
1999,6,60.1
1999,7,68.5
1999,8,64.8
1999,9,53.1
1999,10,40.9
1999,11,34.6
1999,12,24.8
2000,1,21.1
2000,2,27.3
2000,3,35.0
2000,4,39.2
2000,5,53.4
2000,6,59.5
2000,7,66.6
2000,8,68.7
2000,9,55.2
2000,10,47.7
2000,11,25.6
2000,12,13.7
2001,1,20.1
2001,2,20.6
2001,3,30.3
2001,4,44.9
2001,5,52.7
2001,6,60.5
2001,7,70.1
2001,8,65.3
2001,9,54.8
2001,10,42.0
2001,11,36.5
2001,12,23.5
2002,1,20.2
2002,2,22.9
2002,3,24.4
2002,4,42.8
2002,5,49.0
2002,6,64.2
2002,7,67.6
2002,8,66.1
2002,9,56.8
2002,10,40.3
2002,11,30.0
2002,12,23.4
2003,1,19.3
2003,2,19.6
2003,3,31.6
2003,4,42.8
2003,5,50.3
2003,6,58.7
2003,7,67.5
2003,8,66.7
2003,9,52.0
2003,10,43.9
2003,11,31.1
2003,12,24.0
2004,1,18.5
2004,2,20.2
2004,3,36.8
2004,4,41.9
2004,5,53.5
2004,6,59.2
2004,7,63.9
2004,8,60.4
2004,9,57.0
2004,10,46.4
2004,11,35.0
2004,12,22.7
2005,1,20.7
2005,2,28.1
2005,3,31.7
2005,4,42.3
2005,5,50.6
2005,6,62.4
2005,7,65.4
2005,8,65.4
2005,9,59.1
2005,10,44.7
2005,11,32.2
2005,12,19.7
2006,1,27.1
