year,month,Unnamed: 0,fips,state,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000,1,2000-01,20,,0,33.3,21.1,31.5,0.42,-0.74,,,,,,,,,,,,,,,,,
2000,2,2000-02,20,,0,41.0,27.3,42.0,1.61,0.63,,,,,,,,,,,,,,,,,
2000,3,2000-03,20,,0,46.3,35.0,54.6,4.16,2.71,,,,,,,,,,,,,,,,,
2000,4,2000-04,20,,0,53.8,39.2,62.2,1.35,-1.25,,,,,,,,,,,,,,,,,
2000,5,2000-05,20,,0,66.5,53.4,74.9,2.67,-1.6,,,,,,,,,,,,,,,,,
2000,6,2000-06,20,,0,72.0,59.5,78.7,4.25,0.65,,,,,,,,,,,,,,,,,
2000,7,2000-07,20,,0,79.0,66.6,81.8,3.68,1.0,,,,,,,,,,,,,,,,,
2000,8,2000-08,20,,0,83.0,68.7,83.0,0.62,-3.52,,,,,,,,,,,,,,,,,
2000,9,2000-09,20,,0,71.1,55.2,78.0,1.01,-2.88,,,,,,,,,,,,,,,,,
2000,10,2000-10,20,,0,59.4,47.7,66.2,3.98,2.06,,,,,,,,,,,,,,,,,
2000,11,2000-11,20,,0,36.8,25.6,40.4,1.24,0.27,,,,,,,,,,,,,,,,,
2000,12,2000-12,20,,0,24.2,13.7,18.6,0.49,-0.65,,,,,,,,,,,,,,,,,
2001,1,2001-01,20,,0,31.0,20.1,29.1,1.31,1.06,,,,,,,,,,,,,,,,,
2001,2,2001-02,20,,0,30.4,20.6,26.9,2.46,3.23,,,,,,,,,,,,,,,,,
2001,3,2001-03,20,,0,41.1,30.3,38.4,1.48,0.26,,,,,,,,,,,,,,,,,
2001,4,2001-04,20,,0,58.3,44.9,65.1,1.81,-1.29,,,,,,,,,,,,,,,,,
2001,5,2001-05,20,,0,65.1,52.7,71.1,5.26,1.96,,,,,,,,,,,,,,,,,
2001,6,2001-06,20,,0,72.9,60.5,78.9,3.81,0.45,,,,,,,,,,,,,,,,,
2001,7,2001-07,20,,0,83.0,70.1,85.4,3.71,1.18,,,,,,,,,,,,,,,,,
2001,8,2001-08,20,,0,79.0,65.3,83.5,2.4,-0.69,,,,,,,,,,,,,,,,,
2001,9,2001-09,20,,0,67.9,54.8,72.3,3.55,0.98,,,,,,,,,,,,,,,,,
2001,10,2001-10,20,,0,56.2,42.0,61.7,1.11,-1.12,,,,,,,,,,,,,,,,,
2001,11,2001-11,20,,0,49.2,36.5,59.0,0.58,-1.93,,,,,,,,,,,,,,,,,
2001,12,2001-12,20,,0,36.9,23.5,39.7,0.27,-1.71,,,,,,,,,,,,,,,,,
2002,1,2002-01,20,,0,33.8,20.2,38.8,1.06,0.03,,,,,,,,,,,,,,,,,
2002,2,2002-02,20,,0,35.9,22.9,39.7,0.42,-1.34,,,,,,,,,,,,,,,,,
2002,3,2002-03,20,,0,39.2,24.4,41.6,0.53,-1.99,,,,,,,,,,,,,,,,,
2002,4,2002-04,20,,0,56.4,42.8,60.3,2.34,-0.72,,,,,,,,,,,,,,,,,
2002,5,2002-05,20,,0,62.1,49.0,69.1,3.9,-0.46,,,,,,,,,,,,,,,,,
2002,6,2002-06,20,,0,76.9,64.2,83.3,2.74,-2.38,,,,,,,,,,,,,,,,,
2002,7,2002-07,20,,0,80.7,67.6,87.4,1.72,-3.01,,,,,,,,,,,,,,,,,
2002,8,2002-08,20,,8,78.4,66.1,81.6,3.09,-1.05,,,,,,,,,,,,,,,,,
2002,9,2002-09,20,,14,70.4,56.8,77.8,1.5,-2.29,,,,,,,,,,,,,,,,,
2002,10,2002-10,20,,0,50.5,40.3,56.0,4.43,3.67,,,,,,,,,,,,,,,,,
2002,11,2002-11,20,,0,42.4,30.0,44.6,0.24,-1.36,,,,,,,,,,,,,,,,,
2002,12,2002-12,20,,0,35.5,23.4,39.1,0.47,-0.91,,,,,,,,,,,,,,,,,
2003,1,2003-01,20,,0,31.8,19.3,28.7,0.18,-1.18,,,,,,,,,,,,,,,,,
2003,2,2003-02,20,,0,31.3,19.6,31.2,1.15,0.42,,,,,,,,,,,,,,,,,
2003,3,2003-03,20,,0,44.2,31.6,46.0,2.22,0.23,,,,,,,,,,,,,,,,,
2003,4,2003-04,20,,0,56.1,42.8,62.3,3.23,0.86,,,,,,,,,,,,,,,,,
2003,5,2003-05,20,,0,62.9,50.3,69.2,3.47,-0.08,,,,,,,,,,,,,,,,,
2003,6,2003-06,20,,0,70.4,58.7,78.4,4.19,0.89,,,,,,,,,,,,,,,,,
2003,7,2003-07,20,,11,81.8,67.5,84.0,0.85,-2.05,,,,,,,,,,,,,,,,,
2003,8,2003-08,20,,39,80.2,66.7,86.4,4.31,0.59,,,,,,,,,,,,,,,,,
2003,9,2003-09,20,,36,65.1,52.0,74.0,2.51,-0.16,,,,,,,,,,,,,,,,,
2003,10,2003-10,20,,3,58.3,43.9,65.8,1.21,-1.41,,,,,,,,,,,,,,,,,
2003,11,2003-11,20,,0,42.2,31.1,44.7,0.64,-1.33,,,,,,,,,,,,,,,,,
2003,12,2003-12,20,,0,35.3,24.0,35.7,1.15,-0.08,,,,,,,,,,,,,,,,,
2004,1,2004-01,20,,0,30.4,18.5,26.7,0.83,-0.26,,,,,,,,,,,,,,,,,
2004,2,2004-02,20,,0,31.8,20.2,30.9,0.86,-0.28,,,,,,,,,,,,,,,,,
2004,3,2004-03,20,,0,49.2,36.8,50.0,3.38,0.96,,,,,,,,,,,,,,,,,
2004,4,2004-04,20,,0,54.9,41.9,64.5,2.5,0.0,,,,,,,,,,,,,,,,,
2004,5,2004-05,20,,0,66.9,53.5,71.9,2.47,-2.33,,,,,,,,,,,,,,,,,
2004,6,2004-06,20,,0,71.2,59.2,77.4,5.34,1.49,,,,,,,,,,,,,,,,,
2004,7,2004-07,20,,2,75.2,63.9,80.5,5.81,3.36,,,,,,,,,,,,,,,,,
2004,8,2004-08,20,,8,72.7,60.4,77.1,2.51,0.68,,,,,,,,,,,,,,,,,
2004,9,2004-09,20,,8,70.8,57.0,79.1,2.15,-0.69,,,,,,,,,,,,,,,,,
2004,10,2004-10,20,,0,57.8,46.4,62.7,2.29,0.46,,,,,,,,,,,,,,,,,
2004,11,2004-11,20,,0,44.2,35.0,49.7,2.47,1.75,,,,,,,,,,,,,,,,,
2004,12,2004-12,20,,0,35.7,22.7,36.1,0.3,-0.79,,,,,,,,,,,,,,,,,
2005,1,2005-01,20,,0,29.9,20.7,26.2,1.77,2.34,,,,,,,,,,,,,,,,,
2005,2,2005-02,20,,0,39.2,28.1,39.6,1.59,1.65,,,,,,,,,,,,,,,,,
2005,3,2005-03,20,,0,44.7,31.7,47.0,1.37,-0.05,,,,,,,,,,,,,,,,,
2005,4,2005-04,20,,0,55.0,42.3,65.3,2.02,-0.48,,,,,,,,,,,,,,,,,
2005,5,2005-05,20,,0,64.1,50.6,69.4,3.18,-0.36,,,,,,,,,,,,,,,,,
2005,6,2005-06,20,,0,74.7,62.4,83.4,6.03,2.51,,,,,,,,,,,,,,,,,
2005,7,2005-07,20,,1,78.7,65.4,86.0,3.22,1.27,,,,,,,,,,,,,,,,,
2005,8,2005-08,20,,5,77.3,65.4,82.9,5.16,3.66,,,,,,,,,,,,,,,,,
2005,9,2005-09,20,,4,72.2,59.1,80.2,1.58,-1.27,,,,,,,,,,,,,,,,,
2005,10,2005-10,20,,6,57.7,44.7,64.9,2.58,0.94,,,,,,,,,,,,,,,,,
2005,11,2005-11,20,,1,46.4,32.2,50.3,0.68,-0.96,,,,,,,,,,,,,,,,,
2005,12,2005-12,20,,0,30.8,19.7,26.4,0.42,-0.66,,,,,,,,,,,,,,,,,
2006,1,2006-01,20,,0,41.3,27.1,39.9,0.3,-1.42,,,,,,,,,,,,,,,,,
2006,2,2006-02,20,,0,34.5,19.9,36.2,0.01,-1.69,,,,,,,,,,,,,,,,,
2006,3,2006-03,20,,0,45.6,32.9,45.8,1.87,-0.63,,,,,,,,,,,,,,,,,
2006,4,2006-04,20,,0,59.6,44.3,65.9,2.43,-0.99,,,,,,,,,,,,,,,,,
2006,5,2006-05,20,,0,65.8,52.7,71.7,2.76,-2.27,,,,,,,,,,,,,,,,,
2006,6,2006-06,20,,1,75.8,61.9,81.8,3.02,-1.99,,,,,,,,,,,,,,,,,
2006,7,2006-07,20,,7,81.1,67.6,87.3,2.39,-2.22,,,,,,,,,,,,,,,,,
2006,8,2006-08,20,,7,78.8,66.8,81.8,4.77,1.17,,,,,,,,,,,,,,,,,
2006,9,2006-09,20,,1,64.4,51.2,70.7,1.9,-0.93,,,,,,,,,,,,,,,,,
2006,10,2006-10,20,,1,55.1,42.4,58.6,2.14,0.13,,,,,,,,,,,,,,,,,
2006,11,2006-11,20,,0,44.6,30.8,50.0,0.47,-1.71,,,,,,,,,,,,,,,,,
2006,12,2006-12,20,,0,35.9,24.5,40.1,2.67,2.64,,,,,,,,,,,,,,,,,
2007,1,2007-01,20,,0,27.0,17.3,30.3,0.89,0.17,,,,,,,,,,,,,,,,,
2007,2,2007-02,20,,0,30.0,19.7,23.3,0.88,0.1,,,,,,,,,,,,,,,,,
2007,3,2007-03,20,,0,52.3,40.1,51.3,3.44,0.95,,,,,,,,,,,,,,,,,
2007,4,2007-04,20,,0,50.9,39.3,57.9,2.98,1.37,,,,,,,,,,,,,,,,,
2007,5,2007-05,20,,0,65.9,54.8,76.2,5.98,2.9,,,,,,,,,,,,,,,,,
2007,6,2007-06,20,,1,72.3,61.0,81.6,5.69,2.5,,,,,,,,,,,,,,,,,
2007,7,2007-07,20,,2,78.0,66.3,85.1,3.35,1.46,,,,,,,,,,,,,,,,,
2007,8,2007-08,20,,8,81.5,69.6,83.9,2.57,-0.01,,,,,,,,,,,,,,,,,
2007,9,2007-09,20,,1,70.5,57.3,77.4,2.02,-1.06,,,,,,,,,,,,,,,,,
2007,10,2007-10,20,,2,59.1,45.3,66.1,2.83,0.88,,,,,,,,,,,,,,,,,
2007,11,2007-11,20,,0,44.1,29.2,47.7,0.15,-1.75,,,,,,,,,,,,,,,,,
2007,12,2007-12,20,,0,29.3,19.6,27.6,2.48,2.83,,,,,,,,,,,,,,,,,
2008,1,2008-01,20,,0,30.0,17.9,25.4,0.4,-0.42,,,,,,,,,,,,,,,,,
2008,2,2008-02,20,,1,32.3,20.7,25.8,1.38,1.25,,,,,,,,,,,,,,,,,
2008,3,2008-03,20,,0,43.2,29.9,41.9,1.47,-0.22,,,,,,,,,,,,,,,,,
2008,4,2008-04,20,,0,50.5,37.7,56.1,2.81,1.21,,,,,,,,,,,,,,,,,
2008,5,2008-05,20,,0,63.0,49.7,69.3,5.13,2.33,,,,,,,,,,,,,,,,,
2008,6,2008-06,20,,1,73.8,61.0,80.1,4.81,1.39,,,,,,,,,,,,,,,,,
2008,7,2008-07,20,,3,78.6,66.0,83.6,3.37,1.39,,,,,,,,,,,,,,,,,
2008,8,2008-08,20,,3,75.2,64.2,81.4,3.62,1.76,,,,,,,,,,,,,,,,,
2008,9,2008-09,20,,3,66.4,54.6,74.4,3.97,2.08,,,,,,,,,,,,,,,,,
2008,10,2008-10,20,,3,55.4,42.9,62.0,4.78,4.44,,,,,,,,,,,,,,,,,
