,XGBoost_weather,XGBoost_census,XGBoost_temporal
2010-01,0.0025414056,0.452,-0.0025677616
2010-02,0.0025414056,0.452,0.003057389
2010-03,0.0025414056,0.452,0.003057389
2010-04,0.0025414056,0.452,0.07297209
2010-05,0.0025414056,0.452,0.026962867
2010-06,0.0025414056,0.452,0.27323535
2010-07,0.99655145,0.452,0.4630837
2010-08,0.99655145,0.452,1.388732
2010-09,0.99655145,0.452,1.0976021
2010-10,0.99655145,0.452,1.0447708
2010-11,0.0025414056,0.452,0.058791064
2010-12,0.0025414056,0.452,-0.0074948166
2011-01,0.0025414056,0.452,-0.0025677616
2011-02,0.0025414056,0.452,0.003057389
2011-03,0.0025414056,0.452,0.003057389
2011-04,0.0025414056,0.452,0.07297209
2011-05,0.0025414056,0.452,0.026962867
2011-06,0.0025414056,0.452,0.27323535
2011-07,0.0025414056,0.452,0.4183065
2011-08,0.0025414056,0.452,0.14012986
2011-09,3.9785018,0.452,3.8478417
2011-10,0.0025414056,0.452,-0.0033815114
2011-11,0.0025414056,0.452,0.00998603
2011-12,0.0025414056,0.452,0.004230976
2012-01,0.0025414056,0.84864867,-0.0025677616
2012-02,0.0025414056,0.84864867,0.003057389
2012-03,0.0025414056,0.84864867,0.003057389
2012-04,0.99655145,0.84864867,0.07297209
2012-05,0.0025414056,0.84864867,0.017898645
2012-06,0.99655145,0.84864867,0.8924839
2012-07,6.906334,0.84864867,6.8180146
2012-08,3.9785018,0.84864867,3.9979148
2012-09,4.962054,0.84864867,5.0039806
2012-10,0.99655145,0.84864867,1.0251927
2012-11,0.99655145,0.84864867,0.7894324
2012-12,0.0025414056,0.84864867,0.006606535
2013-01,0.0025414056,1.1461539,-0.0025677616
2013-02,0.0025414056,1.1461539,0.003057389
2013-03,0.0025414056,1.1461539,0.003057389
2013-04,0.0025414056,1.1461539,0.0023072618
2013-05,0.0025414056,1.1461539,0.026962867
2013-06,0.0025414056,1.1461539,0.081034884
2013-07,1.990611,1.1461539,2.0180223
2013-08,5.940404,1.1461539,6.0214314
2013-09,19.208471,1.1461539,20.584696
2013-10,4.962054,1.1461539,4.9182773
2013-11,0.0025414056,1.1461539,-0.032145053
2013-12,0.0025414056,1.1461539,0.0031169672
2014-01,0.0025414056,0.77692306,0.008412127
2014-02,0.0025414056,0.77692306,0.003057389
