,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-02,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-03,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-04,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-05,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-06,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-07,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-08,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-09,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-10,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-11,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2010-12,2809329.0,1391010.0,1418319.0,2391786.0,161768.0,24422.0,66119.0,1625.0,1101672.0
2011-01,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-02,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-03,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-04,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-05,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-06,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-07,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-08,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-09,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-10,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-11,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2011-12,2830985.0,1403192.0,1427793.0,2412703.0,163063.0,23860.0,67532.0,1734.0,1104479.0
2012-01,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-02,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-03,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-04,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-05,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-06,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-07,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-08,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-09,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-10,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-11,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2012-12,2851183.0,1414881.0,1436302.0,2435253.0,164177.0,23435.0,68683.0,1603.0,1109391.0
2013-01,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-02,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-03,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-04,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-05,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-06,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-07,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-08,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-09,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-10,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-11,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2013-12,2868107.0,1425049.0,1443058.0,2449273.0,164299.0,23958.0,70408.0,1887.0,1110440.0
2014-01,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-02,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-03,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-04,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-05,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-06,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
2014-07,2882946.0,1433243.0,1449703.0,2457815.0,167220.0,23727.0,72568.0,1655.0,1112335.0
