year,month,Value
1990,1,41.6
1990,2,44.6
1990,3,49.4
1990,4,53.9
1990,5,62.0
1990,6,72.2
1990,7,75.4
1990,8,73.7
1990,9,69.0
1990,10,56.0
1990,11,49.8
1990,12,40.2
1991,1,34.3
1991,2,39.5
1991,3,48.3
1991,4,58.8
1991,5,70.0
1991,6,74.0
1991,7,77.4
1991,8,75.0
1991,9,68.7
1991,10,58.4
1991,11,43.8
1991,12,40.3
1992,1,35.6
1992,2,42.2
1992,3,45.7
1992,4,55.6
1992,5,61.9
1992,6,68.8
1992,7,75.9
1992,8,70.7
1992,9,67.0
1992,10,55.0
1992,11,46.1
1992,12,36.5
1993,1,37.7
1993,2,34.3
1993,3,42.2
1993,4,53.1
1993,5,64.3
1993,6,71.8
1993,7,79.3
1993,8,76.0
1993,9,66.5
1993,10,54.5
1993,11,44.4
1993,12,35.9
1994,1,27.0
1994,2,37.8
1994,3,44.8
1994,4,58.0
1994,5,60.0
1994,6,74.6
1994,7,75.6
1994,8,72.7
1994,9,65.4
1994,10,57.0
1994,11,50.7
1994,12,41.1
1995,1,35.0
1995,2,35.0
1995,3,48.4
1995,4,56.1
1995,5,63.6
1995,6,72.0
1995,7,76.8
1995,8,79.3
1995,9,66.5
1995,10,57.2
1995,11,40.6
1995,12,33.9
1996,1,32.4
1996,2,36.4
1996,3,40.0
1996,4,52.5
1996,5,66.5
1996,6,72.4
1996,7,73.8
1996,8,74.3
1996,9,66.2
1996,10,57.0
1996,11,41.0
1996,12,40.3
1997,1,32.5
1997,2,41.9
1997,3,48.5
1997,4,50.2
1997,5,59.0
1997,6,70.1
1997,7,76.3
1997,8,73.0
1997,9,67.2
1997,10,56.2
1997,11,42.2
1997,12,36.6
1998,1,40.8
1998,2,42.4
1998,3,46.5
1998,4,54.5
1998,5,67.9
1998,6,73.5
1998,7,76.0
1998,8,75.4
1998,9,73.0
1998,10,59.2
1998,11,48.3
1998,12,40.7
1999,1,37.5
1999,2,41.4
1999,3,41.7
1999,4,58.4
1999,5,64.9
1999,6,73.5
1999,7,79.5
1999,8,75.3
1999,9,68.1
1999,10,56.8
1999,11,51.3
1999,12,38.7
2000,1,33.8
2000,2,43.1
2000,3,50.1
2000,4,53.9
2000,5,67.0
2000,6,73.1
2000,7,74.5
2000,8,74.8
2000,9,67.2
2000,10,59.6
2000,11,44.2
2000,12,26.7
2001,1,31.8
2001,2,41.3
2001,3,41.4
2001,4,59.9
2001,5,66.2
2001,6,71.0
2001,7,75.7
2001,8,76.4
2001,9,66.3
2001,10,56.1
2001,11,51.2
2001,12,41.8
2002,1,37.9
2002,2,38.8
2002,3,45.6
2002,4,58.6
2002,5,62.1
2002,6,74.3
2002,7,78.3
2002,8,77.2
2002,9,71.7
2002,10,57.4
2002,11,43.6
2002,12,36.5
2003,1,28.4
2003,2,33.6
2003,3,48.8
2003,4,57.7
2003,5,64.2
2003,6,68.7
2003,7,75.2
2003,8,75.9
2003,9,66.2
2003,10,56.7
2003,11,50.5
2003,12,37.0
2004,1,32.5
2004,2,36.9
2004,3,49.3
2004,4,55.8
2004,5,69.2
2004,6,72.1
2004,7,74.3
2004,8,71.2
2004,9,68.7
2004,10,60.0
2004,11,50.5
2004,12,36.4
2005,1,39.0
2005,2,40.9
2005,3,42.6
2005,4,57.0
2005,5,61.7
2005,6,73.9
2005,7,77.4
2005,8,78.0
2005,9,71.5
2005,10,57.9
2005,11,48.2
2005,12,33.3
2006,1,43.1
2006,2,36.2
2006,3,46.1
2006,4,60.3
2006,5,62.6
2006,6,71.4
2006,7,76.7
2006,8,77.4
2006,9,64.8
2006,10,54.2
2006,11,47.3
2006,12,41.6
2007,1,38.0
2007,2,29.8
2007,3,53.3
2007,4,53.5
2007,5,67.8
2007,6,73.7
2007,7,74.6
2007,8,80.9
2007,9,71.9
2007,10,62.4
2007,11,46.0
2007,12,40.7
2008,1,33.3
2008,2,37.5
2008,3,45.2
2008,4,55.4
2008,5,61.8
2008,6,74.3
2008,7,75.2
2008,8,73.9
2008,9,71.0
2008,10,56.7
2008,11,43.2
2008,12,36.7
2009,1,30.2
2009,2,38.9
2009,3,48.1
2009,4,55.8
2009,5,64.8
2009,6,73.9
2009,7,71.8
2009,8,73.6
2009,9,69.0
2009,10,53.8
2009,11,49.2
2009,12,35.6
2010,1,29.8
2010,2,30.6
2010,3,46.5
2010,4,59.9
2010,5,67.3
2010,6,77.0
2010,7,78.4
2010,8,78.3
2010,9,70.0
2010,10,58.2
2010,11,47.1
2010,12,29.0
2011,1,30.2
2011,2,39.1
2011,3,47.9
2011,4,58.8
2011,5,64.2
2011,6,74.2
2011,7,79.5
2011,8,75.8
2011,9,66.9
2011,10,55.6
2011,11,49.9
2011,12,41.0
2012,1,38.7
2012,2,41.2
2012,3,58.0
2012,4,57.3
2012,5,69.4
2012,6,72.5
2012,7,80.5
2012,8,74.6
2012,9,67.3
2012,10,55.2
2012,11,43.2
2012,12,43.0
2013,1,36.7
2013,2,36.8
2013,3,39.4
2013,4,55.2
2013,5,64.9
2013,6,72.9
2013,7,74.0
2013,8,73.7
2013,9,69.1
2013,10,57.6
2013,11,42.8
2013,12,37.4
2014,1,26.8
2014,2,33.2
2014,3,41.5
2014,4,57.4
2014,5,66.1
2014,6,74.1
2014,7,72.6
2014,8,75.1
2014,9,68.2
2014,10,57.6
2014,11,39.8
2014,12,39.7
2015,1,32.2
2015,2,26.3
2015,3,44.5
2015,4,57.4
2015,5,67.3
2015,6,74.2
2015,7,76.5
2015,8,72.8
2015,9,70.2
2015,10,57.8
2015,11,50.9
2015,12,48.7
2016,1,31.6
2016,2,38.9
2016,3,51.8
2016,4,57.3
2016,5,62.9
2016,6,74.9
2016,7,77.9
2016,8,78.0
2016,9,72.2
2016,10,62.7
2016,11,49.9
2016,12,37.0
2017,1,40.9
2017,2,46.2
2017,3,47.9
2017,4,61.5
2017,5,65.0
2017,6,71.7
2017,7,76.9
2017,8,73.1
2017,9,68.3
2017,10,59.4
2017,11,47.1
2017,12,35.8
2018,1,30.0
2018,2,44.6
2018,3,44.1
2018,4,50.7
2018,5,71.8
2018,6,75.5
2018,7,76.6
2018,8,75.8
2018,9,73.1
2018,10,58.9
2018,11,41.9
2018,12,40.5
2019,1,35.1
2019,2,42.3
2019,3,43.1
2019,4,57.8
2019,5,68.4
2019,6,71.9
2019,7,77.4
2019,8,75.6
2019,9,74.8
2019,10,60.0
2019,11,41.2
2019,12,42.1
2020,1,40.2
2020,2,39.7
2020,3,51.4
2020,4,52.8
2020,5,62.2
2020,6,72.6
2020,7,78.7
2020,8,74.8
2020,9,68.3
2020,10,57.8
2020,11,49.9
2020,12,37.3
2021,1,35.7
2021,2,32.3
2021,3,50.4
2021,4,54.6
2021,5,62.4
2021,6,73.4
2021,7,75.9
2021,8,76.6
2021,9,68.9
2021,10,62.4
2021,11,43.4
2021,12,47.6
2022,1,31.2
2022,2,38.4
2022,3,49.0
2022,4,54.4
2022,5,67.6
2022,6,74.1
2022,7,78.3
2022,8,75.4
2022,9,68.2
2022,10,55.1
2022,11,47.0
2022,12,37.9
