year,month,Value
1990,1,32.0
1990,2,33.9
1990,3,38.9
1990,4,41.4
1990,5,51.6
1990,6,60.6
1990,7,63.9
1990,8,62.6
1990,9,57.6
1990,10,43.5
1990,11,37.1
1990,12,29.6
1991,1,26.2
1991,2,28.9
1991,3,37.4
1991,4,47.4
1991,5,59.8
1991,6,63.4
1991,7,66.5
1991,8,62.9
1991,9,57.4
1991,10,45.5
1991,11,34.1
1991,12,31.0
1992,1,26.4
1992,2,31.6
1992,3,34.6
1992,4,43.9
1992,5,50.6
1992,6,58.2
1992,7,66.1
1992,8,60.5
1992,9,55.9
1992,10,42.1
1992,11,36.9
1992,12,28.6
1993,1,29.0
1993,2,23.6
1993,3,32.7
1993,4,41.3
1993,5,52.2
1993,6,60.1
1993,7,68.2
1993,8,64.6
1993,9,55.7
1993,10,42.4
1993,11,34.0
1993,12,28.4
1994,1,18.6
1994,2,26.7
1994,3,33.4
1994,4,44.9
1994,5,47.1
1994,6,63.1
1994,7,65.5
1994,8,61.2
1994,9,53.2
1994,10,44.0
1994,11,39.3
1994,12,31.8
1995,1,26.8
1995,2,24.4
1995,3,35.9
1995,4,42.6
1995,5,52.6
1995,6,61.0
1995,7,65.4
1995,8,68.2
1995,9,54.4
1995,10,44.7
1995,11,29.9
1995,12,24.8
1996,1,23.4
1996,2,26.2
1996,3,28.9
1996,4,39.7
1996,5,55.4
1996,6,61.6
1996,7,63.2
1996,8,63.3
1996,9,55.1
1996,10,44.9
1996,11,31.8
1996,12,31.0
1997,1,22.6
1997,2,32.8
1997,3,36.9
1997,4,37.2
1997,5,46.8
1997,6,61.2
1997,7,64.7
1997,8,62.1
1997,9,54.9
1997,10,43.5
1997,11,33.6
1997,12,28.8
1998,1,33.2
1998,2,34.1
1998,3,37.0
1998,4,43.2
1998,5,56.8
1998,6,63.0
1998,7,66.5
1998,8,63.9
1998,9,58.9
1998,10,46.0
1998,11,36.6
1998,12,31.4
1999,1,27.7
1999,2,30.8
1999,3,30.6
1999,4,46.8
1999,5,51.4
1999,6,62.5
1999,7,68.1
1999,8,61.7
1999,9,52.0
1999,10,43.0
1999,11,38.7
1999,12,28.5
2000,1,24.3
2000,2,32.2
2000,3,37.4
2000,4,41.7
2000,5,55.1
2000,6,62.0
2000,7,63.7
2000,8,63.9
2000,9,56.0
2000,10,45.8
2000,11,34.0
2000,12,18.0
2001,1,22.3
2001,2,31.1
2001,3,30.9
2001,4,47.4
2001,5,54.1
2001,6,59.4
2001,7,65.0
2001,8,66.2
2001,9,54.3
2001,10,42.7
2001,11,37.0
2001,12,32.0
2002,1,27.6
2002,2,27.3
2002,3,34.1
2002,4,46.3
2002,5,50.0
2002,6,63.0
2002,7,67.8
2002,8,65.6
2002,9,59.5
2002,10,48.9
2002,11,34.5
2002,12,28.7
2003,1,19.8
2003,2,26.2
2003,3,36.7
2003,4,45.5
2003,5,54.4
2003,6,57.7
2003,7,64.9
2003,8,65.6
2003,9,55.0
2003,10,44.4
2003,11,39.8
2003,12,28.2
2004,1,22.6
2004,2,26.5
2004,3,38.1
2004,4,44.0
2004,5,58.3
2004,6,61.6
2004,7,64.2
2004,8,60.4
2004,9,57.2
2004,10,49.2
2004,11,41.2
2004,12,26.5
2005,1,31.1
2005,2,31.4
2005,3,31.9
2005,4,44.6
2005,5,48.3
2005,6,62.4
2005,7,67.4
2005,8,66.9
2005,9,58.8
2005,10,46.2
2005,11,35.6
2005,12,24.8
2006,1,32.9
2006,2,26.2
2006,3,35.1
2006,4,47.7
2006,5,51.1
2006,6,59.7
2006,7,65.7
2006,8,67.0
2006,9,54.9
2006,10,43.2
2006,11,36.4
2006,12,30.6
2007,1,29.4
2007,2,20.1
2007,3,40.7
2007,4,41.5
2007,5,54.1
2007,6,61.0
2007,7,63.1
2007,8,68.0
2007,9,58.5
2007,10,50.1
2007,11,34.3
2007,12,31.8
2008,1,23.8
2008,2,28.5
2008,3,34.3
2008,4,43.4
2008,5,49.8
2008,6,62.6
2008,7,63.5
2008,8,61.8
2008,9,58.2
2008,10,43.3
2008,11,32.1
2008,12,26.4
2009,1,21.0
2009,2,27.8
2009,3,37.0
2009,4,43.9
2009,5,54.4
2009,6,63.0
2009,7,62.0
2009,8,63.2
2009,9,59.6
2009,10,43.7
2009,11,37.6
2009,12,27.3
2010,1,22.1
2010,2,22.8
2010,3,35.9
2010,4,45.8
2010,5,56.5
2010,6,66.2
2010,7,67.6
2010,8,66.6
2010,9,56.0
2010,10,43.2
2010,11,34.6
2010,12,21.8
2011,1,22.0
2011,2,28.6
2011,3,37.9
2011,4,46.9
2011,5,53.7
2011,6,63.1
2011,7,69.1
2011,8,64.0
2011,9,56.8
2011,10,43.1
2011,11,39.1
2011,12,31.6
2012,1,28.2
2012,2,31.1
2012,3,45.6
2012,4,44.3
2012,5,57.4
2012,6,58.8
2012,7,68.9
2012,8,62.5
2012,9,56.2
2012,10,44.2
2012,11,30.2
2012,12,34.3
2013,1,27.9
2013,2,26.6
2013,3,30.0
2013,4,42.8
2013,5,53.7
2013,6,62.3
2013,7,64.3
2013,8,63.9
2013,9,57.7
2013,10,46.7
2013,11,31.3
2013,12,28.3
2014,1,15.6
2014,2,23.4
2014,3,28.9
2014,4,44.0
2014,5,54.0
2014,6,63.6
2014,7,61.2
2014,8,64.6
2014,9,56.8
2014,10,46.7
2014,11,29.6
2014,12,32.4
2015,1,22.9
2015,2,16.0
2015,3,33.1
2015,4,45.2
2015,5,55.2
2015,6,63.9
2015,7,67.1
2015,8,61.8
2015,9,58.2
2015,10,46.1
2015,11,39.9
2015,12,39.3
2016,1,21.8
2016,2,29.6
2016,3,40.4
2016,4,44.2
2016,5,52.0
2016,6,63.2
2016,7,68.0
2016,8,68.4
2016,9,59.6
2016,10,49.9
2016,11,36.8
2016,12,27.8
2017,1,33.1
2017,2,34.7
2017,3,36.4
2017,4,49.9
2017,5,53.8
2017,6,60.2
2017,7,66.5
