year,month,Value
1990,1,4.05
1990,2,6.36
1990,3,3.04
1990,4,2.96
1990,5,6.58
1990,6,3.36
1990,7,3.79
1990,8,3.79
1990,9,3.11
1990,10,4.8
1990,11,2.9
1990,12,10.67
1991,1,3.4
1991,2,4.84
1991,3,5.52
1991,4,3.2
1991,5,4.17
1991,6,3.1
1991,7,3.72
1991,8,2.79
1991,9,2.99
1991,10,2.6
1991,11,2.56
1991,12,7.14
1992,1,2.43
1992,2,2.43
1992,3,5.13
1992,4,1.94
1992,5,4.31
1992,6,4.35
1992,7,6.51
1992,8,4.02
1992,9,3.56
1992,10,1.48
1992,11,3.72
1992,12,2.91
1993,1,3.18
1993,2,3.74
1993,3,4.47
1993,4,3.72
1993,5,3.33
1993,6,4.95
1993,7,3.12
1993,8,3.91
1993,9,3.93
1993,10,4.05
1993,11,4.35
1993,12,4.12
1994,1,4.8
1994,2,4.86
1994,3,7.22
1994,4,5.71
1994,5,3.22
1994,6,3.54
1994,7,4.22
1994,8,3.62
1994,9,2.38
1994,10,2.42
1994,11,3.34
1994,12,3.33
1995,1,4.72
1995,2,3.0
1995,3,3.02
1995,4,3.8
1995,5,9.13
1995,6,4.37
1995,7,3.19
1995,8,3.59
1995,9,2.62
1995,10,4.65
1995,11,3.51
1995,12,2.35
1996,1,4.78
1996,2,2.4
1996,3,5.06
1996,4,5.39
1996,5,7.12
1996,6,4.83
1996,7,5.63
1996,8,2.52
1996,9,6.36
1996,10,2.9
1996,11,5.0
1996,12,4.76
1997,1,3.36
1997,2,3.28
1997,3,11.11
1997,4,2.45
1997,5,5.45
1997,6,7.11
1997,7,2.4
1997,8,3.35
1997,9,2.36
1997,10,1.88
1997,11,3.25
1997,12,3.05
1998,1,3.75
1998,2,3.22
1998,3,3.21
1998,4,7.55
1998,5,5.08
1998,6,8.86
1998,7,4.92
1998,8,2.11
1998,9,1.08
1998,10,2.71
1998,11,2.02
1998,12,4.81
1999,1,6.7
1999,2,2.87
1999,3,3.43
1999,4,3.48
1999,5,2.89
1999,6,4.62
1999,7,2.13
1999,8,1.97
1999,9,1.33
1999,10,2.98
1999,11,2.25
1999,12,3.44
2000,1,3.79
2000,2,4.68
2000,3,3.53
2000,4,4.55
2000,5,4.66
2000,6,4.41
2000,7,4.72
2000,8,3.91
2000,9,3.49
2000,10,0.88
2000,11,2.82
2000,12,3.85
2001,1,2.09
2001,2,4.22
2001,3,2.82
2001,4,1.91
2001,5,4.57
2001,6,3.99
2001,7,6.33
2001,8,3.68
2001,9,2.59
2001,10,4.4
2001,11,4.36
2001,12,4.47
2002,1,3.87
2002,2,1.6
2002,3,7.41
2002,4,4.96
2002,5,6.23
2002,6,3.75
2002,7,3.4
2002,8,2.28
2002,9,6.15
2002,10,5.47
2002,11,3.52
2002,12,4.87
2003,1,1.98
2003,2,6.81
