year,month,Value
1990,1,-0.25
1990,2,2.26
1990,3,-2.2
1990,4,-1.11
1990,5,2.56
1990,6,-0.69
1990,7,-0.74
1990,8,0.12
1990,9,-0.34
1990,10,2.62
1990,11,-0.52
1990,12,7.05
1991,1,-0.49
1991,2,1.06
1991,3,0.51
1991,4,-1.55
1991,5,-1.0
1991,6,-1.3
1991,7,-1.44
1991,8,-1.62
1991,9,-0.68
1991,10,-0.83
1991,11,-1.88
1991,12,2.22
1992,1,-1.42
1992,2,-1.61
1992,3,0.38
1992,4,-2.52
1992,5,0.21
1992,6,0.95
1992,7,2.73
1992,8,1.55
1992,9,0.97
1992,10,-0.32
1992,11,0.83
1992,12,-0.55
1993,1,-0.83
1993,2,0.19
1993,3,0.01
1993,4,-0.12
1993,5,-0.99
1993,6,1.16
1993,7,-2.01
1993,8,-0.17
1993,9,0.9
1993,10,2.02
1993,11,1.27
1993,12,0.7
1994,1,0.84
1994,2,1.17
1994,3,2.65
1994,4,1.46
1994,5,-0.5
1994,6,-0.86
1994,7,-0.31
1994,8,0.1
1994,9,-0.71
1994,10,-0.48
1994,11,-1.15
1994,12,-1.07
1995,1,0.69
1995,2,-0.6
1995,3,-2.11
1995,4,-0.45
1995,5,4.87
1995,6,0.49
1995,7,-1.52
1995,8,-0.99
1995,9,-0.7
1995,10,2.08
1995,11,0.37
1995,12,-1.0
1996,1,0.82
1996,2,-1.28
1996,3,0.81
1996,4,1.88
1996,5,2.46
1996,6,0.95
1996,7,1.99
1996,8,-0.77
1996,9,4.08
1996,10,1.35
1996,11,2.79
1996,12,1.11
1997,1,-0.48
1997,2,-0.7
1997,3,6.34
1997,4,-1.2
1997,5,1.85
1997,6,3.89
1997,7,-2.35
1997,8,-0.32
1997,9,-1.01
1997,10,-1.17
1997,11,-0.9
1997,12,-1.19
1998,1,-0.48
1998,2,-0.8
1998,3,-1.71
1998,4,4.09
1998,5,0.22
1998,6,5.36
1998,7,0.78
1998,8,-1.5
1998,9,-3.26
1998,10,-0.77
1998,11,-2.71
1998,12,-0.44
1999,1,2.39
1999,2,-1.09
1999,3,-1.03
1999,4,-1.16
1999,5,-1.51
1999,6,0.48
1999,7,-3.46
1999,8,-2.95
1999,9,-2.7
1999,10,-0.47
1999,11,-3.02
1999,12,-1.98
2000,1,-0.51
2000,2,0.63
2000,3,-1.76
2000,4,0.72
2000,5,-0.06
2000,6,0.36
2000,7,0.72
2000,8,0.59
2000,9,0.55
2000,10,-2.28
2000,11,-1.05
2000,12,-0.05
2001,1,-1.63
2001,2,0.3
2001,3,-1.64
2001,4,-3.2
2001,5,-0.53
2001,6,0.2
2001,7,2.45
2001,8,0.31
2001,9,-0.33
2001,10,2.52
2001,11,1.2
2001,12,0.72
2002,1,-0.21
2002,2,-2.22
2002,3,2.77
2002,4,0.51
2002,5,2.2
2002,6,-0.57
2002,7,-1.72
2002,8,-2.51
2002,9,2.56
2002,10,3.5
2002,11,1.0
2002,12,1.42
2003,1,-1.73
2003,2,3.36
2003,3,-3.05
2003,4,1.29
2003,5,2.47
2003,6,2.96
2003,7,0.61
2003,8,1.8
2003,9,3.52
2003,10,0.79
2003,11,2.62
2003,12,-0.15
2004,1,0.0
2004,2,-1.07
2004,3,-0.94
2004,4,0.57
2004,5,3.2
2004,6,0.06
2004,7,1.39
2004,8,1.24
2004,9,1.04
2004,10,2.82
2004,11,2.73
2004,12,1.2
2005,1,0.67
2005,2,-1.36
2005,3,-0.76
2005,4,0.63
2005,5,-1.5
2005,6,-1.76
2005,7,-0.99
2005,8,2.41
2005,9,-2.77
2005,10,-2.56
2005,11,-1.93
2005,12,-2.33
2006,1,0.59
2006,2,-1.45
2006,3,-1.32
2006,4,-0.34
2006,5,0.22
2006,6,0.16
2006,7,0.12
2006,8,0.9
2006,9,6.34
2006,10,4.2
2006,11,0.58
2006,12,-0.78
2007,1,0.07
2007,2,-1.18
2007,3,-2.94
2007,4,0.0
2007,5,-2.77
2007,6,-1.61
2007,7,-0.56
2007,8,-4.21
2007,9,-2.42
2007,10,1.93
2007,11,-0.86
2007,12,2.39
2008,1,-0.61
2008,2,0.88
2008,3,2.34
2008,4,1.44
2008,5,0.99
2008,6,-1.07
2008,7,0.25
2008,8,-2.47
2008,9,-3.42
2008,10,-1.15
2008,11,-2.07
2008,12,1.11
2009,1,0.65
2009,2,-1.34
2009,3,-1.84
2009,4,0.79
2009,5,2.2
2009,6,1.7
2009,7,3.6
2009,8,0.08
2009,9,2.83
2009,10,6.03
2009,11,-1.68
2009,12,0.77
2010,1,-0.32
2010,2,-1.28
2010,3,-2.25
2010,4,-1.73
2010,5,3.42
2010,6,-0.44
2010,7,-0.3
2010,8,-0.96
2010,9,-2.11
2010,10,-1.88
2010,11,0.01
2010,12,-0.92
2011,1,-1.56
2011,2,1.12
2011,3,0.55
2011,4,8.66
2011,5,2.42
2011,6,1.27
2011,7,-1.02
2011,8,-1.79
2011,9,3.11
2011,10,0.96
2011,11,4.15
2011,12,1.26
2012,1,-0.31
2012,2,-1.65
2012,3,-1.71
2012,4,-2.32
2012,5,-0.83
2012,6,-2.87
2012,7,-0.25
2012,8,-1.13
2012,9,2.94
2012,10,0.94
2012,11,-1.67
2012,12,1.33
2013,1,1.42
2013,2,-1.51
2013,3,0.74
2013,4,1.01
2013,5,0.03
2013,6,2.47
2013,7,2.95
2013,8,1.31
2013,9,0.81
2013,10,1.93
2013,11,1.1
2013,12,2.64
2014,1,-1.4
2014,2,0.97
2014,3,-1.0
2014,4,2.38
2014,5,-0.93
2014,6,-0.3
2014,7,-0.43
2014,8,2.04
2014,9,-1.13
2014,10,3.68
2014,11,0.24
2014,12,-0.26
2015,1,-1.74
2015,2,-0.25
2015,3,1.76
2015,4,4.51
2015,5,-2.08
2015,6,1.23
2015,7,5.93
2015,8,0.27
2015,9,-0.36
2015,10,1.87
2015,11,1.15
2015,12,2.26
2016,1,-1.82
2016,2,1.21
2016,3,-1.24
2016,4,-0.82
2016,5,1.92
2016,6,-0.68
2016,7,4.42
2016,8,1.79
2016,9,-1.37
2016,10,-2.49
2016,11,-2.29
2016,12,1.47
2017,1,-0.03
2017,2,-2.33
2017,3,-0.43
2017,4,-0.5
2017,5,1.66
2017,6,1.21
2017,7,0.25
2017,8,1.46
2017,9,1.67
2017,10,3.64
2017,11,-0.31
2017,12,-0.5
2018,1,-1.28
2018,2,4.96
2018,3,0.58
2018,4,1.04
2018,5,-0.57
2018,6,1.97
2018,7,-0.11
2018,8,1.54
2018,9,5.26
2018,10,1.33
2018,11,3.53
2018,12,1.93
2019,1,0.7
2019,2,5.54
2019,3,-0.89
2019,4,0.61
2019,5,-0.5
2019,6,4.75
2019,7,0.94
2019,8,0.14
2019,9,-4.29
2019,10,3.64
2019,11,1.8
2019,12,2.34
2020,1,0.22
2020,2,2.65
2020,3,1.55
2020,4,1.34
2020,5,1.54
2020,6,1.3
2020,7,0.69
2020,8,2.24
2020,9,1.22
2020,10,3.13
2020,11,-0.6
2020,12,0.0
2021,1,0.12
2021,2,1.03
2021,3,1.6
2021,4,-1.07
2021,5,-0.48
2021,6,1.01
2021,7,2.34
2021,8,2.33
2021,9,1.55
2021,10,2.52
2021,11,-0.34
2021,12,0.06
2022,1,1.3
2022,2,2.74
2022,3,-1.78
2022,4,0.47
2022,5,0.05
2022,6,-1.74
2022,7,3.69
2022,8,1.4
2022,9,-1.26
2022,10,-1.15
2022,11,-1.33
2022,12,-0.4
