,count,avgTemp,minTemp,maxTemp,precipitation,zindex,male_under_17,male_18_to_40,male_40_to_64,male_over_65,female_under_17,female_18_to_40,female_40_to_64,female_over_65,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2000-01,0.0,33.8,24.3,45.5,3.79,-0.51,,,,,,,,,,,,,,,,,
2000-02,0.0,43.1,32.2,54.8,4.68,0.63,,,,,,,,,,,,,,,,,
2000-03,0.0,50.1,37.4,57.6,3.53,-1.76,,,,,,,,,,,,,,,,,
2000-04,0.0,53.9,41.7,68.5,4.55,0.72,,,,,,,,,,,,,,,,,
2000-05,0.0,67.0,55.1,79.5,4.66,-0.06,,,,,,,,,,,,,,,,,
2000-06,0.0,73.1,62.0,84.5,4.41,0.36,,,,,,,,,,,,,,,,,
2000-07,0.0,74.5,63.7,91.4,4.72,0.72,,,,,,,,,,,,,,,,,
2000-08,0.0,74.8,63.9,97.2,3.91,0.59,,,,,,,,,,,,,,,,,
2000-09,0.0,67.2,56.0,87.1,3.49,0.55,,,,,,,,,,,,,,,,,
2000-10,0.0,59.6,45.8,71.0,0.88,-2.28,,,,,,,,,,,,,,,,,
2000-11,0.0,44.2,34.0,47.9,2.82,-1.05,,,,,,,,,,,,,,,,,
2000-12,0.0,26.7,18.0,34.7,3.85,-0.05,,,,,,,,,,,,,,,,,
2001-01,0.0,31.8,22.3,41.9,2.09,-1.63,,,,,,,,,,,,,,,,,
2001-02,0.0,41.3,31.1,40.2,4.22,0.3,,,,,,,,,,,,,,,,,
2001-03,0.0,41.4,30.9,51.9,2.82,-1.64,,,,,,,,,,,,,,,,,
2001-04,0.0,59.9,47.4,71.7,1.91,-3.2,,,,,,,,,,,,,,,,,
2001-05,0.0,66.2,54.1,77.5,4.57,-0.53,,,,,,,,,,,,,,,,,
2001-06,0.0,71.0,59.4,85.3,3.99,0.2,,,,,,,,,,,,,,,,,
2001-07,0.0,75.7,65.0,95.9,6.33,2.45,,,,,,,,,,,,,,,,,
2001-08,0.0,76.4,66.2,92.7,3.68,0.31,,,,,,,,,,,,,,,,,
2001-09,0.0,66.3,54.3,80.9,2.59,-0.33,,,,,,,,,,,,,,,,,
2001-10,0.0,56.1,42.7,70.5,4.4,2.52,,,,,,,,,,,,,,,,,
2001-11,0.0,51.2,37.0,62.0,4.36,1.2,,,,,,,,,,,,,,,,,
2001-12,0.0,41.8,32.0,50.3,4.47,0.72,,,,,,,,,,,,,,,,,
2002-01,0.0,37.9,27.6,47.3,3.87,-0.21,,,,,,,,,,,,,,,,,
2002-02,0.0,38.8,27.3,48.8,1.6,-2.22,,,,,,,,,,,,,,,,,
2002-03,0.0,45.6,34.1,54.1,7.41,2.77,,,,,,,,,,,,,,,,,
2002-04,0.0,58.6,46.3,69.9,4.96,0.51,,,,,,,,,,,,,,,,,
2002-05,0.0,62.1,50.0,75.2,6.23,2.2,,,,,,,,,,,,,,,,,
2002-06,0.0,74.3,63.0,89.7,3.75,-0.57,,,,,,,,,,,,,,,,,
2002-07,0.0,78.3,67.8,93.8,3.4,-1.72,,,,,,,,,,,,,,,,,
2002-08,25.0,77.2,65.6,90.7,2.28,-2.51,,,,,,,,,,,,,,,,,
2002-09,24.0,71.7,59.5,84.0,6.15,2.56,,,,,,,,,,,,,,,,,
2002-10,4.0,57.4,48.9,60.6,5.47,3.5,,,,,,,,,,,,,,,,,
2002-11,0.0,43.6,34.5,54.7,3.52,1.0,,,,,,,,,,,,,,,,,
2002-12,0.0,36.5,28.7,47.6,4.87,1.42,,,,,,,,,,,,,,,,,
2003-01,0.0,28.4,19.8,44.3,1.98,-1.73,,,,,,,,,,,,,,,,,
2003-02,0.0,33.6,26.2,43.1,6.81,3.36,,,,,,,,,,,,,,,,,
2003-03,0.0,48.8,36.7,56.7,2.16,-3.05,,,,,,,,,,,,,,,,,
2003-04,0.0,57.7,45.5,69.2,5.52,1.29,,,,,,,,,,,,,,,,,
2003-05,0.0,64.2,54.4,75.5,6.8,2.47,,,,,,,,,,,,,,,,,
2003-06,0.0,68.7,57.7,82.2,6.1,2.96,,,,,,,,,,,,,,,,,
2003-07,3.0,75.2,64.9,96.0,4.67,0.61,,,,,,,,,,,,,,,,,
2003-08,2.0,75.9,65.6,93.7,4.87,1.8,,,,,,,,,,,,,,,,,
2003-09,6.0,66.2,55.0,78.3,5.75,3.52,,,,,,,,,,,,,,,,,
2003-10,0.0,56.7,44.4,72.6,2.42,0.79,,,,,,,,,,,,,,,,,
2003-11,0.0,50.5,39.8,53.4,5.57,2.62,,,,,,,,,,,,,,,,,
2003-12,0.0,37.0,28.2,46.5,3.33,-0.15,,,,,,,,,,,,,,,,,
2004-01,0.0,32.5,22.6,42.2,3.88,0.0,,,,,,,,,,,,,,,,,
2004-02,0.0,36.9,26.5,43.3,2.63,-1.07,,,,,,,,,,,,,,,,,
