,total_population,male_population,female_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,household_income
2010-01,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-02,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-03,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-04,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-05,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-06,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-07,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-08,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-09,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-10,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-11,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2010-12,4285828.0,2105483.0,2180345.0,3792514.0,330764.0,8794.0,45604.0,2674.0,1676708.0
2011-01,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-02,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-03,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-04,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-05,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-06,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-07,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-08,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-09,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-10,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-11,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2011-12,4316040.0,2120101.0,2195939.0,3808381.0,336628.0,8913.0,47754.0,2403.0,1681085.0
2012-01,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-02,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-03,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-04,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-05,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-06,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-07,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-08,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-09,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
2012-10,4340167.0,2134355.0,2205812.0,3823344.0,339228.0,8607.0,49681.0,2370.0,1691716.0
